axis_tau,coordinate_time_N128,coordinate_time_N256,coordinate_time_N512,field,N128,N256,N512,difference_128_256,difference_256_512,observed_order,monotone_decreasing_with_resolution
0.0,0.0,0.0,0.0,C-norm2,0.0006854074319407438,2.9331766164378906e-06,1.8386809373981325e-08,0.0006824742553243058,2.9147898070639095e-06,7.871238963930816,True
0.0,0.0,0.0,0.0,H-norm2,0.0006818808093213485,2.918561975175879e-06,1.8328859507076853e-08,0.0006789622473461726,2.900233115668802e-06,7.871018681424402,True
0.0,0.0,0.0,0.0,M-norm2,0.0,0.0,0.0,0.0,0.0,,True
0.0,0.0,0.0,0.0,Z-norm2,8.816556548488162e-07,3.653660315503079e-09,1.4487466726118349e-11,8.780019945333132e-07,3.6391728487769606e-09,7.914469830779679,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,C-norm2,0.0011133842745506067,6.668177383965282e-06,1.9105729221679635e-06,0.0011067160971666415,4.757604461797319e-06,7.861834129833902,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,H-norm2,0.0007730293365158932,4.6410791914698965e-06,1.3643124118003822e-06,0.0007683882573244233,3.2767667796695143e-06,7.873418667092981,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,M-norm2,0.0002829484111183552,1.755057330185237e-06,5.082676990488236e-07,0.00028119335378817,1.2467896311364132e-06,7.817200623404578,True
0.125,0.20296274782465737,0.2029627478344473,0.2029627478432296,Z-norm2,1.2930158927560528e-05,6.19212257463316e-08,9.444752208964985e-09,1.2868237701814196e-05,5.247647353736661e-08,7.937928002536052,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,C-norm2,0.0032281440564772544,1.8376015015090386e-05,4.072444524449715e-06,0.003209768041462164,1.4303570490640671e-05,7.809949911580376,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,H-norm2,0.001154956484637294,7.555156043567468e-06,2.723588910894305e-06,0.0011474013285937266,4.831567132673164e-06,7.8916631710386165,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,M-norm2,0.0016333013407643952,8.687945325226406e-06,1.0536096305223203e-06,0.0016246133954391688,7.634335694704085e-06,7.733378103971395,True
0.25,0.4059254776060779,0.4059254776937283,0.4059254777693208,Z-norm2,0.00010640384094732076,5.17933913319905e-07,7.353885189305788e-08,0.00010588590703400085,4.443950614268471e-07,7.896452086055726,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,C-norm2,0.004652150702317684,3.171042856947646e-05,9.76331773469222e-06,0.004620440273748207,2.1947110834784244e-05,7.717855487117348,True
0.5,0.8118504055316131,0.8118504057268486,0.8118504062261142,H-norm2,0.0005260139444330753,8.522793192220787e-06,5.4170326669171365e-06,0.0005174911512408546,3.10576052530365e-06,7.380443790783438,True
