time,axisTau,dt,cycle,axisKret,axisLapse,max_abs_K,maxAbsKret,maxRefLev,nmb_total,C-Linf,C-rho,C-z,C-norm2,H-norm2,M-norm2,Z-norm2
0.0,0.0,0.012450252253786,0.0,0.000565395004843922,1.0,0.0,95.40720648624131,3.0,104.0,0.0059806319316564405,5.25,0.0,0.0006850478187546891,0.0006815211961352934,0.0,8.816556548489689e-07
0.024902953201920264,0.02490295320190115,0.0031135853139483837,4.0,0.0005653949389394953,0.9999999999960345,0.00038847558113739607,94.96384254819522,5.0,212.0,0.005900832253091652,5.5625,0.0,0.0007008614405878728,0.0005778297213866568,2.671916382166747e-05,2.396219445952929e-05
0.03736082587794586,0.03736082587778624,0.003115081301888936,8.0,0.0005653900807726921,0.9999999999781615,0.00033315702227341585,92.92975821479304,5.0,212.0,0.0031921075689240507,5.5625,0.0,0.00039963809183861203,0.00021791826386744365,8.846342165236586e-05,2.309698986986493e-05
0.049826352986998675,0.049826352986306374,0.003117245728421821,12.0,0.000565383320222129,0.9999999999299972,0.0002273250593333095,90.18114413918151,5.0,212.0,0.002557620330730832,5.53125,-0.03125,0.0002435883380146485,3.311089095512858e-05,0.00012006716765703138,2.228575354600215e-05
0.062302210966278915,0.062302210964140924,0.003120079320807343,16.0,0.0005653746830572935,0.999999999827505,0.0006936317951832975,86.88603381931405,5.0,212.0,0.00413462610940754,5.5,-0.0625,0.0003310114717048381,0.00014730177187777393,9.50636509893099e-05,2.176119081737333e-05
0.0747910713347399,0.07479107132937154,0.003123579631845908,20.0,0.0005653641912706132,0.9999999996389017,0.001379773221989291,83.17889809217739,5.0,212.0,0.005526109094384851,5.5,-0.0625,0.000502487021773078,0.0003687407351338829,4.627352061207743e-05,2.13877916661323e-05
0.08729559001252393,0.08729559000082114,0.003127742191286621,24.0,0.0005653518678926725,0.9999999993250399,0.002112756399769393,79.1338527706997,5.0,212.0,0.0051780631642289925,5.5625,0.0,0.0005680741741051731,0.00046180336779616846,2.0493481174815516e-05,2.087032557458848e-05
0.09981840605401825,0.09981840603101613,0.0031325632883660785,28.0,0.0005653377390463482,0.9999999988397502,0.0030684183454764958,74.77178254406925,5.0,212.0,0.0036091308866275625,5.5,-0.375,0.0004931142871100994,0.0003782394049987599,3.207607532595408e-05,2.001150366939435e-05
0.11236215038961828,0.11236215034785775,0.003138042034328214,32.0,0.0005653218319852814,0.999999998130021,0.0046133539707850085,70.09167148940872,5.0,212.0,0.0031352552701091035,5.34375,0.21875,0.00037206927722948133,0.00023298169805484046,6.0528049681888e-05,1.8818926970408027e-05
0.12492945737855281,0.12492945730735397,0.0031441801513151205,36.0,0.0005653041703665531,0.9999999971359147,0.006394050748887793,65.10790525117346,5.0,212.0,0.0023656787005155,5.4375,0.0,0.00029922870186503003,0.0001471377404093035,7.839887477348628e-05,1.7457828519020378e-05
0.13752297012422926,0.13752297000886643,0.0031509797736961197,40.0,0.0005652847679854746,0.9999999957902155,0.00842168374166828,59.87539176229064,5.0,212.0,0.0035861566491465265,5.5625,0.0,0.0002977859818603675,0.0001546313666068772,7.418505964918195e-05,1.6132320774755707e-05
0.15014533618495657,0.15014533600572683,0.003158441199306802,44.0,0.0005652636226802693,0.9999999940178683,0.010873135196251573,54.49218065202293,5.0,212.0,0.0039001127743538513,5.5625,0.0,0.00033545787879438654,0.00021461419381418902,5.598544039120541e-05,1.4969020425711193e-05
0.16279919779608468,0.16279919752725883,0.0031665621259799053,48.0,0.0005652407128652636,0.9999999917352888,0.013727140859732137,49.08138045214949,5.0,212.0,0.004151559721944578,5.28125,0.15625,0.0003659160814843002,0.00026422381915494836,4.037746169745051e-05,1.3959763100874946e-05
0.17548718245550224,0.17548718206414626,0.003175338135707424,52.0,0.0005652159969267121,0.9999999888496566,0.01688510239557514,43.76412288876336,5.0,212.0,0.0038687212937882965,5.28125,0.15625,0.0003590830664537005,0.00026339226054942984,3.776195369805684e-05,1.2997705744363953e-05
0.1882118963383789,0.18821189578303357,0.0031847634331934843,56.0,0.0005651894161889902,0.9999999852582826,0.020330404891902663,38.637575344651495,5.0,212.0,0.002743373659628603,5.71875,0.15625,0.0003175481712481285,0.00021731882673724112,4.591470150710952e-05,1.1980700016189222e-05
0.2009759202904078,0.20097591951961521,0.003194831429559454,60.0,0.0005651609008449333,0.99999998084809,0.02405313632037168,33.76637302195966,5.0,212.0,0.0021300045343951367,5.375,0.125,0.0002714535219182853,0.00016616158155205094,5.482996939261706e-05,1.090329089836001e-05
0.21378180792818724,0.21378180687885384,0.0032055352459738617,64.0,0.0005651303769965018,0.9999999754952243,0.02804912006395803,29.187205310304563,5.0,212.0,0.002736576087973561,5.34375,-0.09375,0.00025008319478788695,0.00014702411551254305,5.6303098379748385e-05,9.864820268056413e-06
0.22663208551059677,0.22663208410618377,0.00321686809964067,68.0,0.0005650977743871929,0.9999999690647537,0.03231525338254014,24.920193768732528,5.0,212.0,0.003970670767292921,5.34375,-0.09375,0.00025581627882522714,0.0001621934115783732,4.998350355395104e-05,8.984818363458333e-06
