time,resolution,radius,field,coordinate_inventory,proper_inventory,coordinate_volume,proper_volume,proper_rms_amplitude,common_lattice_spacing,q128_256_amplitude,q256_512_amplitude
0.0,n128,4.0,con_C,9.207737062665893e-05,0.00046717182976845046,264.48283152409067,1129.0918750738847,0.0006432409467172248,0.25,3.898232582922204,3.9747253839380488
0.0,n128,4.0,con_H,9.074188415311874e-05,0.00046037185981073937,264.48283152409067,1129.0918750738847,0.000638542405021204,0.25,3.8972168877089146,3.9744891645038654
0.0,n128,4.0,con_M,0.0,0.0,264.48283152409067,1129.0918750738847,0.0,0.25,nan,nan
0.0,n128,4.0,con_Z,3.338718288213968e-07,1.6999935510236153e-06,264.48283152409067,1129.0918750738847,3.880243640640424e-05,0.25,3.9705534761735075,3.9926511307013373
0.0,n128,8.0,con_C,0.042873193945475715,0.13050540442831363,2138.0501503087035,6857.336060891037,0.0043625109653531256,0.25,3.7868806887183895,3.9449590103611887
0.0,n128,8.0,con_H,0.0426614456245356,0.1297844166185893,2138.0501503087035,6857.336060891037,0.00435044375088901,0.25,3.786607755075409,3.9448953260472535
0.0,n128,8.0,con_M,0.0,0.0,2138.0501503087035,6857.336060891037,0.0,0.25,nan,nan
0.0,n128,8.0,con_Z,5.293709835008835e-05,0.00018024695737544838,2138.0501503087035,6857.336060891037,0.00016212733888918833,0.25,3.8377780268542434,3.9573678243465458
0.0,n128,12.0,con_C,0.04287319809842313,0.1305054158212783,7201.5121097320525,17519.672172207887,0.002729300028143384,0.25,3.7868807128555297,3.9449590149388643
0.0,n128,12.0,con_H,0.042661446282218386,0.1297844184069279,7201.5121097320525,17519.672172207887,0.0027217503656872806,0.25,3.7866077570988987,3.9448953265619644
0.0,n128,12.0,con_M,0.0,0.0,7201.5121097320525,17519.672172207887,0.0,0.25,nan,nan
0.0,n128,12.0,con_Z,5.29379721662607e-05,0.00018024935853202292,7201.5121097320525,17519.672172207887,0.00010143174014271189,0.25,3.8377816224515486,3.9573685235403917
0.0,n256,4.0,con_C,4.146440362806636e-07,2.1013905363924866e-06,264.48283152409067,1129.0918750738847,4.314085468947508e-05,0.25,3.898232582922204,3.9747253839380488
