time,dt,C_norm2,H_norm2,M_norm2,Z_norm2,Mx_norm2,My_norm2,Mz_norm2,Theta_norm,Volume,max_abs_K,nmb_total,maxAbsKret,maxRefLev,maxNmbRank,ahStatus,ahLastCyc,cycle,axisLapse,axisTau,axisKret,axis_C2,axis_H2,axis_M2,axis_Z2,axis_N,off_C2,off_H2,off_M2,off_Z2,off_Volume,L0_C2,L0_H2,L0_M2,L0_Z2,L0_N,L1_C2,L1_H2,L1_M2,L1_Z2,L1_N,L2_C2,L2_H2,L2_M2,L2_Z2,L2_N,L3_C2,L3_H2,L3_M2,L3_Z2,L3_N,L4_C2,L4_H2,L4_M2,L4_Z2,L4_N,C_Linf,C_rho,C_z,H_Linf,H_rho,H_z,M_Linf,M_rho,M_z,Z_Linf,Z_rho,Z_z,muMin,muMax
0.0,0.01875,0.006573187668165552,0.0065731591024798565,0.0,7.1414214239373765e-09,0.0,0.0,0.0,0.0,47761.35772252525,0.0,8.0,92.73666448316953,0.0,8.0,0.0,-1.0,0.0,0.615887363748436,0.0,0.0005644963254781964,6.182908550957594e-05,6.18290855095759e-05,0.0,1.118761310697633e-25,1280.0,0.006570125768887157,0.006570097203201454,0.0,7.141421423937353e-09,47661.88480466721,1.2335486065995309e-05,1.2335486065995307e-05,0.0,1.5165059057341843e-28,256.0,1.2325876818512272e-05,1.2325876818512268e-05,0.0,1.2618995334536245e-28,256.0,1.2325955200834919e-05,1.2325955200834914e-05,0.0,5.327201010073424e-28,256.0,1.231963089267934e-05,1.2319630892679345e-05,0.0,7.38278390582486e-27,256.0,1.2522136531554046e-05,1.2522136531554042e-05,0.0,1.0368278651901223e-25,256.0,0.008215491010820163,5.4375,-0.0625,0.008215489611287048,5.4375,-0.0625,0.0,0.0625,-15.9375,1.1581663014582164e-05,5.1875,0.0625,0.0,0.0
0.056249999999999994,0.009374999999999994,0.023041851372761435,0.022670926643636794,0.00024335511721077448,3.1608765441945395e-05,0.00023327961321684753,9.205384111753884e-05,0.0,1.1345501460861779e-06,47761.1437974246,0.049505595445129565,62.0,95.12953875522417,2.0,62.0,0.0,-1.0,4.0,0.6158771585898027,0.03464351108827011,0.0005648368353973982,0.00011191932257043409,0.0001099869235377127,1.9275784605516215e-06,9.307748357300866e-12,3840.0,0.023041172567038797,0.022670259573842198,0.0002433434098745049,3.160876538533208e-05,47748.181468407405,2.2399615312708144e-05,2.2014293599718644e-05,3.843486475100343e-07,1.8621414459081116e-12,768.0,2.2385038194764002e-05,2.1999761055183355e-05,3.843068595521039e-07,1.8619914291548404e-12,768.0,2.2395072380917498e-05,2.200949770357162e-05,3.846091571305783e-07,1.8616985277499522e-12,768.0,2.2378141048499518e-05,2.1990089009333027e-05,3.870961033411615e-07,1.8612534574663236e-12,768.0,2.23614556335452e-05,2.197328216990602e-05,3.8721769301774295e-07,1.860663497021602e-12,768.0,0.024246081956608573,5.390625,-0.140625,0.024168097582670287,5.390625,-0.140625,0.002063971573398498,5.734375,0.015625,0.0007084399533871066,5.015625,-0.234375,0.0,0.049377429415433174
0.07031249999999999,0.0023437499999999917,0.023328242895839613,0.02219352336479084,0.0010112683585152215,3.001545558396506e-05,0.0009008770079177734,0.0004280951767952254,0.0,3.3893501976918385e-06,47761.13386759571,0.061674985657653836,80.0,95.05860931978017,4.0,80.0,0.0,-1.0,8.0,0.6158771664706459,0.0433042836863641,0.0005648531832302558,0.00010034486591888294,9.557158917576403e-05,4.760070862267219e-06,2.6294566171160668e-11,3840.0,0.023327634468776882,0.022192943946676667,0.001011239428791416,3.0015455424091617e-05,47748.17153790568,2.0084672245684838e-05,1.91318398425112e-05,9.501779377898702e-07,5.260752861886548e-12,768.0,2.00727918401435e-05,1.9120113821903058e-05,9.500287181382207e-07,5.260289410657981e-12,768.0,2.0077244097965878e-05,1.9124544712446676e-05,9.50054818048721e-07,5.259377014706359e-12,768.0,2.0061646200744532e-05,1.910415127412472e-05,9.548651360244074e-07,5.2579919563473945e-12,768.0,2.0048511534344405e-05,1.909093952477852e-05,9.549442522659971e-07,5.256154927562365e-12,768.0,0.025626423278743152,5.3984375,-0.1328125,0.025559143729830806,5.3984375,-0.1328125,0.005828943399695289,5.7421875,-0.0078125,0.0010269041562578397,4.99609375,-0.24609375,0.0,0.06167560368375657
0.075,0.001171875,0.02183929955383164,0.020322483073379596,0.0014012375923264312,2.7783943437700956e-05,0.0012302443968455323,0.0006090161325241251,0.0,4.443114374808616e-06,47761.132127632685,0.0656924211697059,80.0,94.87156918576223,4.0,80.0,0.0,-1.0,12.0,0.6158771690637592,0.046191207910287364,0.0005648624763229755,9.612371047787594e-05,9.036575338702564e-05,5.741279554120424e-06,3.5980192985935264e-11,3840.0,0.021838716789696476,0.02032193530535635,0.0014012026964145866,2.778394321895798e-05,47748.16979768737,1.924033480593549e-05,1.8090818904083526e-05,1.1461654712848353e-06,7.198619238986206e-12,768.0,1.922985952126221e-05,1.8080535632572645e-05,1.1459794416763249e-06,7.197970887885698e-12,768.0,1.9232224487487845e-05,1.8082942366160384e-05,1.145942487228781e-06,7.196688332807781e-12,768.0,1.9216495476257483e-05,1.8061611816171414e-05,1.151560728615783e-06,7.194746506168073e-12,768.0,1.9204796186933113e-05,1.8049844668037337e-05,1.1516314253146847e-06,7.1921680200875e-12,768.0,0.02469172133864873,5.3984375,0.1328125,0.024608471327612066,5.3984375,0.1328125,0.006975294680181462,5.7421875,-0.0078125,0.0009829294321802339,4.99609375,-0.24609375,0.06569259505944999,0.06569259505944999
0.07968750000000001,0.001171875,0.02016628474650628,0.018224670575985046,0.0018347471851574899,2.531654108583056e-05,0.0015938007323485954,0.0008132114228054718,0.0,5.600821020424374e-06,47761.130278858196,0.06969604098418909,80.0,94.66956462341997,4.0,80.0,0.0,-1.0,16.0,0.6158771716077247,0.04907813214625764,0.0005648732488226311,9.200255990472685e-05,8.530674041510463e-05,6.675445631289403e-06,4.8536401644022286e-11,3840.0,0.02016572703374731,0.018224153561771574,0.0018347066091471218,2.5316540790769926e-05,47748.16794864469,1.8415965478838607e-05,1.7079141447171427e-05,1.3327326149176282e-06,9.710836687958218e-12,768.0,1.8407069861400903e-05,1.707047316482442e-05,1.3325120561387968e-06,9.709944826765527e-12,768.0,1.8407250525551322e-05,1.707074399107147e-05,1.3324268697295689e-06,9.708173249202758e-12,768.0,1.8391256214964573e-05,1.704834282431834e-05,1.338852472913776e-06,9.70550116221598e-12,768.0,1.8381017823971414e-05,1.7038038987718936e-05,1.3389216175896437e-06,9.701945717879719e-12,768.0,0.02360275876039313,5.3984375,-0.1484375,0.023596945903127036,5.3984375,-0.1484375,0.008030730839858773,5.7421875,-0.0078125,0.0009283822485275699,4.99609375,-0.24609375,0.06969620794640513,0.06969620794640513
0.08437500000000002,0.001171875,0.018479480158451692,0.01610143548674753,0.002280456197489301,2.2690750625352153e-05,0.0019669752608271283,0.0010229967280968495,0.0,6.825471713451921e-06,47761.12832297645,0.07368655259076892,80.0,94.45264927438969,4.0,80.0,0.0,-1.0,20.0,0.6158771740837685,0.05196505639400031,0.0005648851914813835,8.813897837120095e-05,8.058531048276312e-05,7.529444085653053e-06,6.46183323592565e-11,3840.0,0.01847894592674722,0.016100947169362684,0.002280410428964454,2.2690750232548643e-05,47748.16599247521,1.7643084726715244e-05,1.6134964301008844e-05,1.5032572137840895e-06,1.2928487638939246e-11,768.0,1.7635890794471803e-05,1.61280289991696e-05,1.5030061037131444e-06,1.2927279462545768e-11,768.0,1.7633799630565503e-05,1.6126061901877475e-05,1.502887282260744e-06,1.2924872643136376e-11,768.0,1.7617509582579435e-05,1.6102571405208908e-05,1.5101086533436193e-06,1.2921257904385277e-11,768.0,1.760869363686892e-05,1.6093683875498382e-05,1.510184832551446e-06,1.291643471025005e-11,768.0,0.022772485316720915,5.3984375,-0.1484375,0.022766466089445252,5.3984375,-0.1484375,0.008975580272094549,5.7421875,-0.0078125,0.0008647957822780409,4.99609375,-0.24609375,0.07368672849725282,0.07368672849725282
0.08906250000000003,0.001171875,0.01693524019995181,0.014138304810549665,0.0027089081533180417,1.9986767748949276e-05,0.002326442237917176,0.0012222221117864462,0.0,8.080165088307037e-06,47761.12626184484,0.07766277107072411,80.0,94.22083147255483,4.0,80.0,0.0,-1.0,24.0,0.6158771764739461,0.05485198065315456,0.0005648979873165347,8.467335291104705e-05,7.636969235208556e-05,8.275502807930928e-06,8.498394413142307e-11,3840.0,0.016934727024828043,0.01413784210949464,0.0027088578488067543,1.9986767232368893e-05,47748.163931042196,1.6949777764109467e-05,1.5291937933759925e-05,1.6521879409583355e-06,1.700322605643794e-11,768.0,1.6944353428028508e-05,1.5286797883125257e-05,1.651911848839252e-06,1.7001612644255135e-11,768.0,1.6939914360719215e-05,1.5282502416256056e-05,1.6517738948954186e-06,1.6998393244492707e-11,768.0,1.692340120149495e-05,1.5258018361519325e-05,1.6597680292944688e-06,1.6993579038321138e-11,768.0,1.6915906156694937e-05,1.5250435757425016e-05,1.6598610939434407e-06,1.6987133147916324e-11,768.0,0.021861120159535747,5.3984375,-0.1484375,0.021854182761927934,5.3984375,-0.1484375,0.009793739741428503,5.7421875,-0.0078125,0.0007939633486640625,4.99609375,-0.24609375,0.07766295813653971,0.07766295813653971
0.09375000000000004,0.001171875,0.015640754692363326,0.012464160544934277,0.003098137251582462,1.728126134273138e-05,0.002654312416077589,0.0013999184365490656,0.0,9.331850475661815e-06,47761.12409746561,0.081623766620717,80.0,93.97411413318689,4.0,80.0,0.0,-1.0,28.0,0.6158771787614842,0.0577389049232781,0.000564911326733535,8.172338716626785e-05,7.279948245375413e-05,8.891794963796016e-06,1.1049713415658477e-10,3840.0,0.01564025943332344,0.012463719530497413,0.003098083200398177,1.7281260671090215e-05,47748.1617663483,1.63595932260439e-05,1.4577986310952173e-05,1.7751626588456648e-06,2.2107901270639552e-11,768.0,1.635595203473787e-05,1.4574648010273353e-05,1.7748685430439801e-06,2.2105775902664468e-11,768.0,1.6349104026221172e-05,1.4567948493214012e-05,1.7747262572611517e-06,2.2101532392975598e-11,768.0,1.633253654118406e-05,1.4542674533670948e-05,1.7834584347767137e-06,2.2095210633475655e-11,768.0,1.6326201338080884e-05,1.4536225105643558e-05,1.78357906986851e-06,2.2086713956829626e-11,768.0,0.02085164499137306,5.3984375,-0.1484375,0.020843774170349445,5.3984375,-0.1484375,0.010473238865019482,5.7421875,0.0078125,0.0007176994154381068,4.99609375,0.24609375,0.08162396684497761,0.08162396684497761
0.09843750000000005,0.001171875,0.014637906581721784,0.011132347963139222,0.00343643240842229,1.4643205606071353e-05,0.002940341670663433,0.001551769600319243,0.0,1.055338773598644e-05,47761.12183197761,0.08556845615716145,80.0,93.71253977777889,4.0,80.0,0.0,-1.0,32.0,0.6158771809311254,0.060625829203853426,0.000564924921723776,7.937988784952354e-05,6.998106326345117e-05,9.362805087851955e-06,1.421270626903602e-10,3840.0,0.014637425545989768,0.011131924058570376,0.0034363754942758067,1.4643204742197143e-05,47748.15950052669,1.5890700447469132e-05,1.4014390657476274e-05,1.8690815379376001e-06,2.8436422902586598e-11,768.0,1.5888802544611876e-05,1.4012806093478736e-05,1.868777446145184e-06,2.8433660050712778e-11,768.0,1.5879504450196853e-05,1.400364586659688e-05,1.8686465279181584e-06,2.842814275036064e-11,768.0,1.586313531252494e-05,1.397788145175643e-05,1.8780701216476467e-06,2.8419947392272523e-11,768.0,1.5857745094720905e-05,1.3972339194142652e-05,1.8782294542033548e-06,2.840888959442795e-11,768.0,0.01972848911400922,5.3984375,-0.1484375,0.01971858557589254,5.3984375,-0.1484375,0.011006610000418072,5.7421875,0.0078125,0.000637681245986534,4.99609375,0.24609375,0.08556867110851282,0.08556867110851282
0.10312500000000006,0.001171875,0.013909022803148496,0.010127024915988353,0.0037217446971413316,1.2132392406955676e-05,0.0031817812067764803,0.0016791718040867854,0.0,1.172362039098748e-05,47761.119467648605,0.0894956403213632,80.0,93.50187429535949,4.0,80.0,0.0,-1.0,36.0,0.6158771829694638,0.06351275349429573,0.0005649385167483881,7.770397244613228e-05,6.798467592754201e-05,9.679462498845437e-06,1.8094309308292516e-10,3840.0,0.013908551926402026,0.010126613117473758,0.0037216858589376846,1.2132391307173408e-05,47748.157135850524,1.5555330997350828e-05,1.361520406048061e-05,1.932133655513995e-06,3.6202748050816896e-11,768.0,1.5555085154986953e-05,1.3615273134900904e-05,1.93182833458984e-06,3.619920283210619e-11,768.0,1.5543321654651732e-05,1.3603619748938954e-05,1.9317261245186395e-06,3.619212166439659e-11,768.0,1.552747036489535e-05,1.3577743093172616e-05,1.9417825662034805e-06,3.618162061084173e-11,768.0,1.5522764274247623e-05,1.35728358900491e-05,1.941991818019514e-06,3.6167399924764325e-11,768.0,0.019232185690334004,5.4140625,0.1484375,0.019179021135703127,5.4140625,0.1484375,0.011391046976112387,5.7421875,0.0078125,0.0005570917149191256,5.0078125,-0.2421875,0.0894958709965899,0.0894958709965899
