requested_time,run,time,dt,C_norm2,H_norm2,M_norm2,Z_norm2,max_abs_K,nmb_total,maxRefLev,cycle
0.0,arm_zero_shift,0.0,0.01875,0.006573187668165552,0.0065731591024798565,0.0,7.1414214239373765e-09,0.0,8.0,0.0,0.0
0.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
0.0,arm_zero_shift_native,0.0,0.01875,0.006573187668165552,0.0065731591024798565,0.0,7.1414214239373765e-09,0.0,8.0,0.0,0.0
1.0,arm_zero_shift,0.9960937499999919,0.00234375,0.019095628979430082,0.012356247514656193,0.0023425501323022244,0.001021536007126837,0.1965228453007688,74.0,3.0,500.0
1.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
1.0,arm_zero_shift_native,1.0007812499999933,0.00234375,0.06077994136410928,0.02516610711336352,0.004364508917948447,0.006540969421165413,0.19560270002646848,38.0,3.0,416.0
2.0,arm_zero_shift,1.9992187500000298,0.00234375,0.11342200801246238,0.02858797821636623,0.005684484485997612,0.01735966372127003,0.39516191659086985,74.0,3.0,928.0
2.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
2.0,arm_zero_shift_native,2.000390625000031,0.001171875,178.88781922407293,9.599216008085188,159.03524796985954,2.4746005351209734,0.5280320309334225,56.0,4.0,848.0
2.45,arm_zero_shift,2.4492187500000466,0.00234375,1.1909791240129097,0.31703646635015686,0.04789322634095204,0.18254791951949806,0.5048389117897606,74.0,3.0,1120.0
2.45,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
2.45,arm_zero_shift_native,2.4499877929687988,1.8310546875e-05,4844779.435983181,3463016.5305509707,1381688.5605609445,16.967983740757628,22.739182396790255,404.0,10.0,2504.0
3.0,arm_zero_shift,3.0023437500000676,0.00234375,31.7809264549441,11.533318971732056,0.9837301005518918,4.299525626237969,0.5741321265143884,74.0,3.0,1356.0
3.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
3.0,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
3.9,arm_zero_shift,3.9023437500001017,0.00234375,32876.21589545479,30465.45747586884,457.18339259354275,451.0508955301357,5.086086168131906,74.0,3.0,1740.0
3.9,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
3.9,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
5.0,arm_zero_shift,3.967968750000104,0.00234375,1375805.6027137737,927303.3822514848,399293.38332008023,11833.162534222047,134.85446245052577,74.0,3.0,1768.0
5.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
5.0,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
8.0,arm_zero_shift,3.967968750000104,0.00234375,1375805.6027137737,927303.3822514848,399293.38332008023,11833.162534222047,134.85446245052577,74.0,3.0,1768.0
8.0,arm_gamma_o2_short,9.360937500000007,0.00234375,263.0989666236957,93.76265015866059,36.90865604817599,28.449728944575394,10.206821328657524,74.0,3.0,4100.0
8.0,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
10.0,arm_zero_shift,3.967968750000104,0.00234375,1375805.6027137737,927303.3822514848,399293.38332008023,11833.162534222047,134.85446245052577,74.0,3.0,1768.0
10.0,arm_gamma_o2_short,10.000195312500042,0.0005859375,662.3257012359898,414.1748531537339,116.33955211647536,27.800464337829208,55.90392771722238,98.0,5.0,4632.0
10.0,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
10.2,arm_zero_shift,3.967968750000104,0.00234375,1375805.6027137737,927303.3822514848,399293.38332008023,11833.162534222047,134.85446245052577,74.0,3.0,1768.0
10.2,arm_gamma_o2_short,10.199414062500162,0.0005859375,356464.1876407008,333464.65251560154,22846.380143922284,31.002757676543695,292.63515055268005,98.0,5.0,4972.0
10.2,arm_zero_shift_native,2.4527332305908875,5.7220458984375e-07,1123842234.9910903,868699604.7875009,255142511.19036078,26.655247120188143,355.48415415227873,962.0,15.0,2952.0
