line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
1606	4	1	0	staged_scalar_source_components	32	256	7
1608	4	1	base	psi_rhs	32	256	82
1610	3	1	0	staged_scalar_source_components	32	256	28
1612	3	1	base	psi_rhs	32	256	82
1614	2	1	0	staged_scalar_source_components	32	256	28
1616	2	1	base	psi_rhs	32	256	82
1702	2	1	0	staged_physical_geometry_and_gauge	32	256	887
1704	2	1	1	staged_covariant_preparation	32	256	903
1706	3	1	0	staged_physical_geometry_and_gauge	32	256	887
1708	3	1	1	staged_covariant_preparation	32	256	903
1710	4	1	0	staged_physical_geometry_and_gauge	32	256	887
1712	4	1	1	staged_covariant_preparation	32	256	903
