metric	value
refgh_dynamic_zone_cycles_per_s	5.75990900000000023e+05
refgh_static_zone_cycles_per_s	6.21692500000000000e+05
z4c_zone_cycles_per_s	6.99559800000000000e+06
dynamic_q_over_static_time	1.07934430908543866e+00
refgh_over_z4c_complete_time	1.21453272959694321e+01
