line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
7732	4	1	base	psi_rhs	32	256	82
7874	4	1	1	compatible_phi_rhs	16	256	1281
7930	4	1	0	staged_physical_geometry_and_gauge	32	256	893
7984	3	1	base	psi_rhs	32	256	82
8060	3	1	1	compatible_phi_rhs	16	256	1281
8145	3	1	0	staged_physical_geometry_and_gauge	32	256	893
8208	2	1	base	psi_rhs	32	256	82
8222	2	1	1	compatible_phi_rhs	16	256	1284
8230	2	1	0	staged_physical_geometry_and_gauge	32	256	887
