
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 1464
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 1 (logical level = 3): 448 MeshBlocks, cost = 448
  Physical level = 2 (logical level = 4): 496 MeshBlocks, cost = 496
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 120 MeshBlocks, cost = 120
  Physical level = 7 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
PC-GH ADM initialization: min unguarded w=0.031115, division_floor=1e-14, guarded cells=0
TwoPuncture initialized.

Setup complete, executing task list(s)...

elapsed=2.297380e+01 cycle=0 time=0.000000e+00 dt=5.412659e-03
AMR_CHANGE cycle=10 time=5.412570e-02 created=0 deleted=672 blocks=792
elapsed=2.862472e+01 cycle=10 time=5.412570e-02 dt=5.412347e-03
elapsed=3.119689e+01 cycle=20 time=1.082455e-01 dt=5.411416e-03
elapsed=3.374219e+01 cycle=30 time=1.623523e-01 dt=5.409616e-03
elapsed=3.630169e+01 cycle=40 time=2.164344e-01 dt=5.406093e-03
elapsed=3.994703e+01 cycle=50 time=2.704718e-01 dt=5.400502e-03
elapsed=4.247725e+01 cycle=60 time=3.244466e-01 dt=5.393628e-03
elapsed=4.500636e+01 cycle=70 time=3.783495e-01 dt=5.386145e-03
elapsed=4.754099e+01 cycle=80 time=4.321766e-01 dt=5.378521e-03
elapsed=5.010483e+01 cycle=90 time=4.859280e-01 dt=5.370939e-03
elapsed=5.376247e+01 cycle=100 time=5.395997e-01 dt=5.362609e-03
elapsed=5.632760e+01 cycle=110 time=5.931894e-01 dt=5.354568e-03
elapsed=5.889460e+01 cycle=120 time=6.467000e-01 dt=5.346830e-03
elapsed=6.144383e+01 cycle=130 time=7.001345e-01 dt=5.339355e-03
elapsed=6.397468e+01 cycle=140 time=7.534951e-01 dt=5.332070e-03
elapsed=6.760574e+01 cycle=150 time=8.067835e-01 dt=5.324902e-03
elapsed=7.015118e+01 cycle=160 time=8.600005e-01 dt=5.317786e-03
elapsed=7.271201e+01 cycle=170 time=9.131463e-01 dt=5.310679e-03
elapsed=7.528177e+01 cycle=180 time=9.662211e-01 dt=5.303551e-03
elapsed=7.894883e+01 cycle=190 time=1.019224e+00 dt=5.296374e-03
elapsed=8.150095e+01 cycle=200 time=1.072156e+00 dt=5.289122e-03
elapsed=8.403167e+01 cycle=210 time=1.125012e+00 dt=5.281281e-03
elapsed=8.656142e+01 cycle=220 time=1.177789e+00 dt=5.273276e-03
elapsed=8.909132e+01 cycle=230 time=1.230485e+00 dt=5.265080e-03
elapsed=9.274352e+01 cycle=240 time=1.283098e+00 dt=5.256667e-03
elapsed=9.531048e+01 cycle=250 time=1.335626e+00 dt=5.248018e-03
elapsed=9.785959e+01 cycle=260 time=1.388066e+00 dt=5.239115e-03
elapsed=1.004310e+02 cycle=270 time=1.440416e+00 dt=5.229939e-03
elapsed=1.029688e+02 cycle=280 time=1.492673e+00 dt=5.220474e-03
elapsed=1.066013e+02 cycle=290 time=1.544834e+00 dt=5.210707e-03
elapsed=1.091311e+02 cycle=300 time=1.596896e+00 dt=5.200632e-03
elapsed=1.116646e+02 cycle=310 time=1.648856e+00 dt=5.190250e-03
elapsed=1.142186e+02 cycle=320 time=1.700711e+00 dt=5.179568e-03
elapsed=1.167805e+02 cycle=330 time=1.752457e+00 dt=5.168602e-03
elapsed=1.204504e+02 cycle=340 time=1.804093e+00 dt=5.157374e-03
elapsed=1.230057e+02 cycle=350 time=1.855615e+00 dt=5.145908e-03
elapsed=1.255530e+02 cycle=360 time=1.907022e+00 dt=5.134236e-03
elapsed=1.280848e+02 cycle=370 time=1.958311e+00 dt=5.122390e-03
elapsed=1.308422e+02 cycle=380 time=2.009481e+00 dt=5.110407e-03
elapsed=1.344881e+02 cycle=390 time=2.060531e+00 dt=5.098322e-03
elapsed=1.370500e+02 cycle=400 time=2.111460e+00 dt=5.086174e-03
elapsed=1.396226e+02 cycle=410 time=2.162267e+00 dt=5.073999e-03
elapsed=1.421824e+02 cycle=420 time=2.212952e+00 dt=5.061830e-03
elapsed=1.447354e+02 cycle=430 time=2.263515e+00 dt=5.049699e-03
elapsed=1.483839e+02 cycle=440 time=2.313958e+00 dt=5.037633e-03
elapsed=1.509150e+02 cycle=450 time=2.364280e+00 dt=5.025656e-03
elapsed=1.534431e+02 cycle=460 time=2.414483e+00 dt=5.013788e-03
elapsed=1.559926e+02 cycle=470 time=2.464568e+00 dt=5.002049e-03
elapsed=1.585561e+02 cycle=480 time=2.514536e+00 dt=4.990191e-03
elapsed=1.622243e+02 cycle=490 time=2.564381e+00 dt=4.977377e-03
elapsed=1.647887e+02 cycle=500 time=2.614097e+00 dt=4.964636e-03
elapsed=1.673360e+02 cycle=510 time=2.663686e+00 dt=4.951981e-03
elapsed=1.698654e+02 cycle=520 time=2.713150e+00 dt=4.939425e-03
elapsed=1.723950e+02 cycle=530 time=2.762488e+00 dt=4.926982e-03
elapsed=1.760247e+02 cycle=540 time=2.811702e+00 dt=4.914661e-03
elapsed=1.785695e+02 cycle=550 time=2.860794e+00 dt=4.902473e-03
elapsed=1.811337e+02 cycle=560 time=2.909764e+00 dt=4.890428e-03
elapsed=1.836809e+02 cycle=570 time=2.958615e+00 dt=4.878533e-03
elapsed=1.862455e+02 cycle=580 time=3.007347e+00 dt=4.866794e-03
elapsed=1.898831e+02 cycle=590 time=3.055963e+00 dt=4.855217e-03
elapsed=1.924130e+02 cycle=600 time=3.104463e+00 dt=4.843805e-03
elapsed=1.949425e+02 cycle=610 time=3.152851e+00 dt=4.832563e-03
elapsed=1.974786e+02 cycle=620 time=3.201126e+00 dt=4.821494e-03
elapsed=2.000355e+02 cycle=630 time=3.249292e+00 dt=4.810600e-03
elapsed=2.036935e+02 cycle=640 time=3.297350e+00 dt=4.799524e-03
elapsed=2.062550e+02 cycle=650 time=3.345285e+00 dt=4.786303e-03
elapsed=2.088172e+02 cycle=660 time=3.393090e+00 dt=4.773481e-03
elapsed=2.113508e+02 cycle=670 time=3.440769e+00 dt=4.761088e-03
elapsed=2.138802e+02 cycle=680 time=3.488326e+00 dt=4.749152e-03
elapsed=2.164140e+02 cycle=690 time=3.535765e+00 dt=4.737694e-03
elapsed=2.200531e+02 cycle=700 time=3.583092e+00 dt=4.726730e-03
elapsed=2.225983e+02 cycle=710 time=3.630312e+00 dt=4.716270e-03
elapsed=2.251493e+02 cycle=720 time=3.677430e+00 dt=4.706318e-03
elapsed=2.277074e+02 cycle=730 time=3.724450e+00 dt=4.696871e-03
elapsed=2.302551e+02 cycle=740 time=3.771378e+00 dt=4.687924e-03
elapsed=2.338857e+02 cycle=750 time=3.818219e+00 dt=4.679466e-03
elapsed=2.364169e+02 cycle=760 time=3.864977e+00 dt=4.671480e-03
elapsed=2.389452e+02 cycle=770 time=3.911655e+00 dt=4.662123e-03
elapsed=2.414870e+02 cycle=780 time=3.958222e+00 dt=4.650272e-03
elapsed=2.442628e+02 cycle=790 time=4.004676e+00 dt=4.639731e-03
elapsed=2.479132e+02 cycle=800 time=4.051031e+00 dt=4.630477e-03
elapsed=2.504687e+02 cycle=810 time=4.097299e+00 dt=4.622467e-03
elapsed=2.530280e+02 cycle=820 time=4.143492e+00 dt=4.615634e-03
elapsed=2.555635e+02 cycle=830 time=4.189621e+00 dt=4.609898e-03
elapsed=2.580920e+02 cycle=840 time=4.235698e+00 dt=4.605163e-03
elapsed=2.606218e+02 cycle=850 time=4.281732e+00 dt=4.601323e-03
elapsed=2.642660e+02 cycle=860 time=4.327731e+00 dt=4.598266e-03
elapsed=2.668220e+02 cycle=870 time=4.373702e+00 dt=4.595870e-03
elapsed=2.693779e+02 cycle=880 time=4.419652e+00 dt=4.594016e-03
elapsed=2.719563e+02 cycle=890 time=4.465586e+00 dt=4.592584e-03
elapsed=2.745056e+02 cycle=900 time=4.511506e+00 dt=4.591457e-03
elapsed=2.781453e+02 cycle=910 time=4.557416e+00 dt=4.590530e-03
elapsed=2.806767e+02 cycle=920 time=4.603318e+00 dt=4.589708e-03
elapsed=2.832102e+02 cycle=930 time=4.649212e+00 dt=4.588913e-03
elapsed=2.857542e+02 cycle=940 time=4.695097e+00 dt=4.588080e-03
elapsed=2.883220e+02 cycle=950 time=4.740974e+00 dt=4.587165e-03
elapsed=2.908719e+02 cycle=960 time=4.786841e+00 dt=4.586135e-03
elapsed=2.945277e+02 cycle=970 time=4.832697e+00 dt=4.584977e-03
elapsed=2.970664e+02 cycle=980 time=4.878541e+00 dt=4.583565e-03
AMR_CHANGE cycle=985 time=4.901457e+00 created=56 deleted=0 blocks=848
elapsed=2.997489e+02 cycle=990 time=4.924369e+00 dt=4.581899e-03
elapsed=3.024389e+02 cycle=1000 time=4.970181e+00 dt=4.580284e-03
elapsed=3.059856e+02 cycle=1010 time=5.015977e+00 dt=4.578713e-03
elapsed=3.098094e+02 cycle=1020 time=5.061757e+00 dt=4.577183e-03
elapsed=3.125274e+02 cycle=1030 time=5.107522e+00 dt=4.575695e-03
elapsed=3.152503e+02 cycle=1040 time=5.153271e+00 dt=4.573922e-03
elapsed=3.179751e+02 cycle=1050 time=5.199002e+00 dt=4.572137e-03
elapsed=3.206660e+02 cycle=1060 time=5.244715e+00 dt=4.570356e-03
elapsed=3.233570e+02 cycle=1070 time=5.290411e+00 dt=4.568590e-03
elapsed=3.271478e+02 cycle=1080 time=5.336089e+00 dt=4.566846e-03
elapsed=3.298536e+02 cycle=1090 time=5.381750e+00 dt=4.565127e-03
elapsed=3.325709e+02 cycle=1100 time=5.427393e+00 dt=4.563426e-03
elapsed=3.352869e+02 cycle=1110 time=5.473020e+00 dt=4.561734e-03
elapsed=3.380075e+02 cycle=1120 time=5.518630e+00 dt=4.560034e-03
elapsed=3.418208e+02 cycle=1130 time=5.564222e+00 dt=4.558308e-03
elapsed=3.445163e+02 cycle=1140 time=5.609797e+00 dt=4.556532e-03
elapsed=3.472053e+02 cycle=1150 time=5.655354e+00 dt=4.554676e-03
elapsed=3.498910e+02 cycle=1160 time=5.700892e+00 dt=4.552699e-03
elapsed=3.525971e+02 cycle=1170 time=5.746410e+00 dt=4.550536e-03
elapsed=3.553169e+02 cycle=1180 time=5.791905e+00 dt=4.548096e-03
elapsed=3.591438e+02 cycle=1190 time=5.837373e+00 dt=4.545242e-03
elapsed=3.618661e+02 cycle=1200 time=5.882811e+00 dt=4.541777e-03
elapsed=3.645637e+02 cycle=1210 time=5.928210e+00 dt=4.537406e-03
elapsed=3.672556e+02 cycle=1220 time=5.973559e+00 dt=4.531684e-03
elapsed=3.702109e+02 cycle=1230 time=6.018843e+00 dt=4.523899e-03
elapsed=3.728972e+02 cycle=1240 time=6.064036e+00 dt=4.512863e-03
