tag,gamma2,dissipation,final_time,final_gh_growth,final_reduction_growth,final_reduction_ko_factor,final_reduction_predicted,max_reduction_absolute_error,reduction_pass,final_curl_growth,final_curl_ko_factor,final_curl_predicted,max_curl_absolute_error,curl_pass
g0p0_d0p0,0.0,0.0,0.2,0.9255861061753148,1.0,1.0,1.0,0.0,True,1.0,1.0,1.0,0.0,True
g0p5_d0p0,0.5,0.0,0.2,0.9693230705680357,0.9048375220653099,1.0,0.9048374180359595,8.993432522030886e-07,True,0.9048382303051906,1.0,0.9048374180359595,1.9677801844641962e-06,True
g1p0_d0p0,1.0,0.0,0.2,1.1469274034845713,0.8187312205075479,1.0,0.8187307530779818,6.297480950046008e-07,True,0.8187316056157844,1.0,0.8187307530779818,1.9677801844641962e-06,True
g0p0_d0p02,0.0,0.02,0.2,0.8990018915032115,0.9720308640269057,0.9720308640269057,0.9720308640269057,0.0,True,0.9718943688484402,0.9718943688484402,0.9718943688484402,0.0,True
g0p5_d0p02,0.5,0.02,0.2,0.9419554184032666,0.8795297921821209,0.9720308640269057,0.8795298972573682,6.499371214552241e-07,True,0.8794065901446825,0.9718943688484402,0.8794063913125111,2.5191994493800607e-06,True
g1p0_d0p02,1.0,0.02,0.2,1.1148151646116435,0.7958314090791436,0.9720308640269057,0.7958315613197899,7.063396911810571e-07,True,0.7957201494142386,0.9718943688484402,0.7957198085195333,2.863621965665253e-06,True
