cycle,time,dt_spatial,dt_source,dt_final,max_source_rate,max_coordinate_speed,negative_real_stability_radius,limiter
0,0,0.036028027330188006,1.3957170865364181,0.0054042040995282009,2,1.7347605359350617,3.489292716341045,z4c_spatial_or_other
1,0.0054042040995282009,0.035982404242476923,1.3957170865364181,0.0053973606363715383,2,1.7369600869032336,3.489292716341045,z4c_spatial_or_other
2,0.01080156473589974,0.035939083938589314,1.3957170865364181,0.0053908625907883971,2,1.7390537863123192,3.489292716341045,z4c_spatial_or_other
3,0.016192427326688137,0.035887808204017692,1.3957170865364181,0.0053831712306026533,2,1.7415385092534861,3.489292716341045,z4c_spatial_or_other
4,0.021575598557290791,0.035823538451058665,1.3957170865364181,0.0053735307676587999,2,1.7446629423664035,3.489292716341045,z4c_spatial_or_other
5,0.02694912932494959,0.035761966438698153,1.3957170865364181,0.005364294965804723,2,1.7476667595204867,3.489292716341045,z4c_spatial_or_other
6,0.032313424290754317,0.035703045857065498,1.3957170865364181,0.0053554568785598245,2,1.7505509263891414,3.489292716341045,z4c_spatial_or_other
7,0.03766888116931414,0.03564673142193947,1.3957170865364181,0.00534700971329092,2,1.7533164334257354,3.489292716341045,z4c_spatial_or_other
8,0.04301589088260506,0.035584183565014534,1.3957170865364181,0.0053376275347521802,2,1.7563983134756649,3.489292716341045,z4c_spatial_or_other
9,0.048353518417357237,0.035510742250596611,1.3957170865364181,0.0053266113375894913,2,1.7600307974117311,3.489292716341045,z4c_spatial_or_other
10,0.05368012975494673,0.035440316601397619,1.3957170865364181,0.0053160474902096428,2,1.7635282636706258,3.489292716341045,z4c_spatial_or_other
11,0.058996177245156371,0.035372858989949775,1.3957170865364181,0.0053059288484924661,2,1.7668913903102277,3.489292716341045,z4c_spatial_or_other
12,0.064302106093648836,0.035308322872587075,1.3957170865364181,0.0052962484308880613,2,1.7701208926160632,3.489292716341045,z4c_spatial_or_other
13,0.069598354524536901,0.035246662760242659,1.3957170865364181,0.0052869994140363986,2,1.7732175220429214,3.489292716341045,z4c_spatial_or_other
14,0.074885353938573304,0.035184280413965548,1.3957170865364181,0.0052776420620948318,2,1.7763614678102708,3.489292716341045,z4c_spatial_or_other
15,0.080162996000668132,0.035109852929803412,1.3957170865364181,0.0052664779394705112,2,1.7801270807074825,3.489292716341045,z4c_spatial_or_other
16,0.085429473940138639,0.035038652982361029,1.3957170865364181,0.0052557979473541539,2,1.7837443702948117,3.489292716341045,z4c_spatial_or_other
17,0.090685271887492799,0.034970629910321557,1.3957170865364181,0.0052455944865482333,2,1.7872140181710932,3.489292716341045,z4c_spatial_or_other
18,0.095930866374041038,0.03490573419021549,1.3957170865364181,0.005235860128532323,2,1.7905367542023949,3.489292716341045,z4c_spatial_or_other
19,0.10116672650257336,0.034843917395551524,1.3957170865364181,0.0052265876093327288,2,1.7937133557772496,3.489292716341045,z4c_spatial_or_other
20,0.10639331411190608,0.034785132154749952,1.3957170865364181,0.0052177698232124927,2,1.7967446471657444,3.489292716341045,z4c_spatial_or_other
21,0.11161108393511858,0.034729332108125205,1.3957170865364181,0.0052093998162187809,2,1.7996314989707973,3.489292716341045,z4c_spatial_or_other
22,0.11682048375133736,0.034676471864147039,1.3957170865364181,0.0052014707796220559,2,1.8023748276600329,3.489292716341045,z4c_spatial_or_other
23,0.12202195453095942,0.034613412389967187,1.3957170865364181,0.0051920118584950778,2,1.8056584336687889,3.489292716341045,z4c_spatial_or_other
24,0.12721396638945451,0.034552302976325007,1.3957170865364181,0.0051828454464487505,2,1.8088519321801664,3.489292716341045,z4c_spatial_or_other
25,0.13239681183590327,0.034494363839053528,1.3957170865364181,0.005174154575858029,2,1.8118902059367534,3.489292716341045,z4c_spatial_or_other
26,0.13757096641176131,0.034439544456841338,1.3957170865364181,0.0051659316685262009,2,1.8147742946577947,3.489292716341045,z4c_spatial_or_other
27,0.1427368980802875,0.03438779540040416,1.3957170865364181,0.0051581693100606237,2,1.8175052884973673,3.489292716341045,z4c_spatial_or_other
28,0.14789506739034813,0.034339068284990691,1.3957170865364181,0.0051508602427486035,2,1.8200843273117635,3.489292716341045,z4c_spatial_or_other
29,0.15304592763309674,0.03429331572312589,1.3957170865364181,0.005143997358468883,2,1.8225125999657352,3.489292716341045,z4c_spatial_or_other
30,0.15818992499156562,0.034250491277711181,1.3957170865364181,0.0051375736916566767,2,1.8247913436696437,3.489292716341045,z4c_spatial_or_other
31,0.1633274986832223,0.03421054941558932,1.3957170865364181,0.0051315824123383978,2,1.8269218433399241,3.489292716341045,z4c_spatial_or_other
32,0.16845908109556071,0.034173445461671142,1.3957170865364181,0.0051260168192506714,2,1.8289054309756345,3.489292716341045,z4c_spatial_or_other
33,0.17358509791481139,0.034139135553712091,1.3957170865364181,0.0051208703330568135,2,1.8307434850442226,3.489292716341045,z4c_spatial_or_other
34,0.17870596824786819,0.034102586778279424,1.3957170865364181,0.0051153880167419136,2,1.8327055483019083,3.489292716341045,z4c_spatial_or_other
35,0.1838213562646101,0.034063047879909401,1.3957170865364181,0.0051094571819864099,2,1.8348328728640544,3.489292716341045,z4c_spatial_or_other
36,0.18893081344659651,0.034026409767219476,1.3957170865364181,0.0051039614650829216,2,1.8368085386490449,3.489292716341045,z4c_spatial_or_other
37,0.19403477491167945,0.033992626068020081,1.3957170865364181,0.0050988939102030121,2,1.8386340577199292,3.489292716341045,z4c_spatial_or_other
38,0.19913366882188246,0.033961651365229294,1.3957170865364181,0.0050942477047843937,2,1.8403109827571256,3.489292716341045,z4c_spatial_or_other
39,0.20422791652666686,0.033933441150307296,1.3957170865364181,0.0050900161725460939,2,1.8418409062363548,3.489292716341045,z4c_spatial_or_other
40,0.20931793269921295,0.033907951777454683,1.3957170865364181,0.0050861927666182019,2,1.8432254596267328,3.489292716341045,z4c_spatial_or_other
41,0.21440412546583115,0.033885140418603257,1.3957170865364181,0.0050827710627904888,2,1.8444663126048881,3.489292716341045,z4c_spatial_or_other
42,0.21948689652862163,0.033864965019225597,1.3957170865364181,0.0050797447528838392,2,1.8455651722810846,3.489292716341045,z4c_spatial_or_other
43,0.22456664128150547,0.033847384254988608,1.3957170865364181,0.005077107638248291,2,1.8465237824334511,3.489292716341045,z4c_spatial_or_other
44,0.22964374891975375,0.033832357489275051,1.3957170865364181,0.0050748536233912577,2,1.8473439227465205,3.489292716341045,z4c_spatial_or_other
45,0.234718602543145,0.03381984473159666,1.3957170865364181,0.0050729767097394988,2,1.8480274080504131,3.489292716341045,z4c_spatial_or_other
46,0.2397915792528845,0.033809806596922662,1.3957170865364181,0.0050714709895383989,2,1.8485760875570549,3.489292716341045,z4c_spatial_or_other
47,0.24486305024242289,0.033802204265947905,1.3957170865364181,0.0050703306398921857,2,1.8489918440899442,3.489292716341045,z4c_spatial_or_other
48,0.24993338088231506,0.033796999446325554,1.3957170865364181,0.0050695499169488333,2,1.8492765933040562,3.489292716341045,z4c_spatial_or_other
49,0.25500293079926389,0.033788754723694171,1.3957170865364181,0.0050683132085541259,2,1.8497278313773498,3.489292716341045,z4c_spatial_or_other
50,0.260071244007818,0.033779685308891687,1.3957170865364181,0.0050669527963337528,2,1.8502244597153894,3.489292716341045,z4c_spatial_or_other
51,0.26513819680415174,0.033773046216364205,1.3957170865364181,0.0050659569324546308,2,1.8505881761330902,3.489292716341045,z4c_spatial_or_other
52,0.27020415373660639,0.033768800158718616,1.3957170865364181,0.0050653200238077924,2,1.8508208673758104,3.489292716341045,z4c_spatial_or_other
53,0.27526947376041416,0.033766910458175092,1.3957170865364181,0.0050650365687262633,2,1.8509244450248044,3.489292716341045,z4c_spatial_or_other
54,0.28033451032914042,0.033767341004707303,1.3957170865364181,0.005065101150706095,2,1.8509008450291435,3.489292716341045,z4c_spatial_or_other
55,0.28539961147984649,0.033770056215015429,1.3957170865364181,0.0050655084322523145,2,1.850752027241523,3.489292716341045,z4c_spatial_or_other
56,0.29046511991209883,0.033775020992356873,1.3957170865364181,0.0050662531488535308,2,1.8504799749537817,3.489292716341045,z4c_spatial_or_other
57,0.29553137306095234,0.033782200687262627,1.3957170865364181,0.0050673301030893939,2,1.8500866944279697,3.489292716341045,z4c_spatial_or_other
58,0.30059870316404175,0.033791561059170319,1.3957170865364181,0.0050687341588755474,2,1.8495742144188043,3.489292716341045,z4c_spatial_or_other
59,0.30566743732291729,0.033803068239007639,1.3957170865364181,0.0050704602358511456,2,1.8489445856834095,3.489292716341045,z4c_spatial_or_other
60,0.31073789755876846,0.033816688692763185,1.3957170865364181,0.0050725033039144777,2,1.8481998804742548,3.489292716341045,z4c_spatial_or_other
61,0.31581040086268292,0.033832389186084416,1.3957170865364181,0.0050748583779126619,2,1.8473421920112825,3.489292716341045,z4c_spatial_or_other
62,0.32088525924059558,0.03385013674994538,1.3957170865364181,0.0050775205124918071,2,1.8463736339292882,3.489292716341045,z4c_spatial_or_other
63,0.32596277975308741,0.033869898647429349,1.3957170865364181,0.005080484797114402,2,1.8452963396967124,3.489292716341045,z4c_spatial_or_other
64,0.33104326455020183,0.033891642341674126,1.3957170865364181,0.0050837463512511186,2,1.8441124620021208,3.489292716341045,z4c_spatial_or_other
65,0.33612701090145297,0.033911998287496192,1.3957170865364181,0.0050867997431244287,2,1.8430055188769157,3.489292716341045,z4c_spatial_or_other
66,0.3412138106445774,0.033929936828114363,1.3957170865364181,0.0050894905242171544,2,1.8420311336451554,3.489292716341045,z4c_spatial_or_other
67,0.34630330116879454,0.033949883210221951,1.3957170865364181,0.0050924824815332921,2,1.8409488955526629,3.489292716341045,z4c_spatial_or_other
68,0.35139578365032781,0.033971807840547555,1.3957170865364181,0.0050957711760821331,2,1.8397607891035519,3.489292716341045,z4c_spatial_or_other
