mask,cells,metric,measure,order,integral,integral_over_o6
AXIS,936,M2,proper,o4,2.3359929039485134e-06,0.9933609210308242
AXIS,936,M2,proper,o6,2.3516053978894414e-06,1.0
AXIS,936,Z2,coordinate,o2,0.00013593372660171152,0.9995608192660562
AXIS,936,Z2,coordinate,o4,0.00013598759054391616,0.9999568967336939
AXIS,936,Z2,coordinate,o6,0.00013599345230590678,1.0
AXIS,936,Z2,proper,o2,0.0002328461226179199,0.9995414358291401
AXIS,936,Z2,proper,o4,0.00023294221920890356,0.9999539508560178
AXIS,936,Z2,proper,o6,0.0002329529464926777,1.0
COARSE_FINE,6084,C,coordinate,o2,0.3482158182027313,0.7610999853402783
COARSE_FINE,6084,C,coordinate,o4,0.41892487439668913,0.9156497180618234
COARSE_FINE,6084,C,coordinate,o6,0.4575165220204916,1.0
COARSE_FINE,6084,C,proper,o2,0.7292058775229076,0.7376482212323954
COARSE_FINE,6084,C,proper,o4,0.8971147404860556,0.9075010404590604
COARSE_FINE,6084,C,proper,o6,0.9885550544738207,1.0
COARSE_FINE,6084,H2,coordinate,o2,0.004575848954642341,0.6160277121761311
COARSE_FINE,6084,H2,coordinate,o4,0.006169852749051895,0.8306218826576479
COARSE_FINE,6084,H2,coordinate,o6,0.007427992059769612,1.0
COARSE_FINE,6084,H2,proper,o2,0.010349898335078517,0.6254714053078002
COARSE_FINE,6084,H2,proper,o4,0.01378030438987825,0.8327798083864956
COARSE_FINE,6084,H2,proper,o6,0.01654735651741783,1.0
COARSE_FINE,6084,M2,coordinate,o2,0.1271592212494199,0.5432289424974394
COARSE_FINE,6084,M2,coordinate,o4,0.19655547269845303,0.8396923205956804
COARSE_FINE,6084,M2,coordinate,o6,0.23408035047767967,1.0
COARSE_FINE,6084,M2,proper,o2,0.28628586791245114,0.5297706760273495
COARSE_FINE,6084,M2,proper,o4,0.45134811758277193,0.8352176065100743
COARSE_FINE,6084,M2,proper,o6,0.540395837042652,1.0
COARSE_FINE,6084,Z2,coordinate,o2,0.03435364916883953,1.0034508654645844
COARSE_FINE,6084,Z2,coordinate,o4,0.03428334940646867,1.0013974487505024
COARSE_FINE,6084,Z2,coordinate,o6,0.034235507039932896,1.0
COARSE_FINE,6084,Z2,proper,o2,0.06892871442540877,1.003487633549217
COARSE_FINE,6084,Z2,proper,o4,0.06878276623491544,1.001362870226416
COARSE_FINE,6084,Z2,proper,o6,0.06868915183500175,1.0
MIXED_CORNER,3096,C,coordinate,o2,0.7596942856512815,0.7197879248842953
MIXED_CORNER,3096,C,coordinate,o4,0.9173456316956112,0.8691579245904035
MIXED_CORNER,3096,C,coordinate,o6,1.0554418313886011,1.0
MIXED_CORNER,3096,C,proper,o2,1.6492476906402593,0.7056733062514773
MIXED_CORNER,3096,C,proper,o4,2.0135143600965546,0.861534227840912
MIXED_CORNER,3096,C,proper,o6,2.3371263671585236,1.0
MIXED_CORNER,3096,H2,coordinate,o2,0.021826338510705392,0.5864031941682042
MIXED_CORNER,3096,H2,coordinate,o4,0.032646777937219026,0.8771134403645142
MIXED_CORNER,3096,H2,coordinate,o6,0.03722070194666217,1.0
MIXED_CORNER,3096,H2,proper,o2,0.04599395404095115,0.5862825468689151
MIXED_CORNER,3096,H2,proper,o4,0.06908059988769161,0.8805668241814588
MIXED_CORNER,3096,H2,proper,o6,0.07845015050607464,1.0
MIXED_CORNER,3096,M2,coordinate,o2,0.44985110935666967,0.6168099393335169
MIXED_CORNER,3096,M2,coordinate,o4,0.5958712269229458,0.8170243169002006
MIXED_CORNER,3096,M2,coordinate,o6,0.7293188398402729,1.0
MIXED_CORNER,3096,M2,proper,o2,1.0576394737298316,0.6179685072459783
MIXED_CORNER,3096,M2,proper,o4,1.3973640744041131,0.8164663031093065
MIXED_CORNER,3096,M2,proper,o6,1.7114779496503454,1.0
MIXED_CORNER,3096,Z2,coordinate,o2,0.057322761625197546,0.9961531614903049
MIXED_CORNER,3096,Z2,coordinate,o4,0.057525458888082165,0.9996756281950351
MIXED_CORNER,3096,Z2,coordinate,o6,0.05754412457963719,1.0
MIXED_CORNER,3096,Z2,proper,o2,0.10822666264903769,0.9963543424573177
MIXED_CORNER,3096,Z2,proper,o4,0.1085905183828564,0.999704064527136
MIXED_CORNER,3096,Z2,proper,o6,0.10862266368219693,1.0
PHYSICAL_BOUNDARY,1248,C,coordinate,o2,0.6585339069628444,0.9700813513627209
PHYSICAL_BOUNDARY,1248,C,coordinate,o4,0.6718983308965222,0.9897683838642954
PHYSICAL_BOUNDARY,1248,C,coordinate,o6,0.6788440021424693,1.0
PHYSICAL_BOUNDARY,1248,C,proper,o2,1.1190579166302528,0.9704781320067101
PHYSICAL_BOUNDARY,1248,C,proper,o4,1.1415205088370364,0.9899583163661676
PHYSICAL_BOUNDARY,1248,C,proper,o6,1.1530995699164455,1.0
PHYSICAL_BOUNDARY,1248,H2,coordinate,o2,0.027577952606185122,0.6194401561268985
PHYSICAL_BOUNDARY,1248,H2,coordinate,o4,0.037902921290176764,0.8513536815777584
PHYSICAL_BOUNDARY,1248,H2,coordinate,o6,0.044520769816762576,1.0
PHYSICAL_BOUNDARY,1248,H2,proper,o2,0.04655291127722724,0.6231600547194898
PHYSICAL_BOUNDARY,1248,H2,proper,o4,0.06369734889125697,0.8526565220418227
PHYSICAL_BOUNDARY,1248,H2,proper,o6,0.07470458179188433,1.0
PHYSICAL_BOUNDARY,1248,M2,coordinate,o2,0.004645537394411108,0.9939985397120372
PHYSICAL_BOUNDARY,1248,M2,coordinate,o4,0.00467099021943922,0.9994446418013083
PHYSICAL_BOUNDARY,1248,M2,coordinate,o6,0.00467358573359366,1.0
PHYSICAL_BOUNDARY,1248,M2,proper,o2,0.007599118571780709,0.9936839165045844
PHYSICAL_BOUNDARY,1248,M2,proper,o4,0.007643094330361637,0.9994343207922908
PHYSICAL_BOUNDARY,1248,M2,proper,o6,0.007647420317027593,1.0
PHYSICAL_BOUNDARY,1248,Z2,coordinate,o2,0.12994667261293402,0.9936167765700771
PHYSICAL_BOUNDARY,1248,Z2,coordinate,o4,0.13070017321909805,0.9993783003427587
PHYSICAL_BOUNDARY,1248,Z2,coordinate,o6,0.13078148002040024,1.0
PHYSICAL_BOUNDARY,1248,Z2,proper,o2,0.22025932629106101,0.9934132151993098
PHYSICAL_BOUNDARY,1248,Z2,proper,o4,0.22157787099960433,0.9993601131597946
PHYSICAL_BOUNDARY,1248,Z2,proper,o6,0.22171974654763385,1.0
SAME_LEVEL_SEAM,18564,C,coordinate,o2,10.252527803809986,0.47889706431593543
SAME_LEVEL_SEAM,18564,C,coordinate,o4,17.490275203886323,0.8169732976589736
SAME_LEVEL_SEAM,18564,C,coordinate,o6,21.408625292900613,1.0
SAME_LEVEL_SEAM,18564,C,proper,o2,23.145845750877662,0.4735782691092053
SAME_LEVEL_SEAM,18564,C,proper,o4,39.8385849387452,0.8151220008167387
SAME_LEVEL_SEAM,18564,C,proper,o6,48.87438309704265,1.0
SAME_LEVEL_SEAM,18564,H2,coordinate,o2,2.478585796889276,0.4770055752408986
SAME_LEVEL_SEAM,18564,H2,coordinate,o4,4.297153636405208,0.8269902316088972
SAME_LEVEL_SEAM,18564,H2,coordinate,o6,5.196135906037439,1.0
SAME_LEVEL_SEAM,18564,H2,proper,o2,5.681458957535867,0.4766096419514638
SAME_LEVEL_SEAM,18564,H2,proper,o4,9.857388099698136,0.8269224943607436
SAME_LEVEL_SEAM,18564,H2,proper,o6,11.920570751093713,1.0
SAME_LEVEL_SEAM,18564,M2,coordinate,o2,6.3092072190950805,0.427925648958301
SAME_LEVEL_SEAM,18564,M2,coordinate,o4,11.724736075523442,0.7952370432212238
SAME_LEVEL_SEAM,18564,M2,coordinate,o6,14.743699599342966,1.0
SAME_LEVEL_SEAM,18564,M2,proper,o2,14.559988901113293,0.4277224008630217
SAME_LEVEL_SEAM,18564,M2,proper,o4,27.069053633732363,0.7951957029599536
SAME_LEVEL_SEAM,18564,M2,proper,o6,34.040744351325515,1.0
SAME_LEVEL_SEAM,18564,Z2,coordinate,o2,0.25791342200599066,0.9960848067196274
SAME_LEVEL_SEAM,18564,Z2,coordinate,o4,0.2588260980390219,0.9996096435539759
SAME_LEVEL_SEAM,18564,Z2,coordinate,o6,0.25892717192963544,1.0
SAME_LEVEL_SEAM,18564,Z2,proper,o2,0.5149334213107069,0.995808312454919
SAME_LEVEL_SEAM,18564,Z2,proper,o4,0.5168697495822111,0.9995528971111204
SAME_LEVEL_SEAM,18564,Z2,proper,o6,0.5171009469094167,1.0
