mask,cells,metric,measure,order,integral,integral_over_o6
ALL,88064,C,coordinate,o2,21.118830325752896,0.5410090116697079
ALL,88064,C,coordinate,o4,32.807757332312335,0.8404486468083379
ALL,88064,C,coordinate,o6,39.03600470641731,1.0
ALL,88064,C,proper,o2,46.15555388497104,0.5260809809140201
ALL,88064,C,proper,o4,73.2810249893747,0.8352570874758392
ALL,88064,C,proper,o6,87.73469400999778,1.0
ALL,88064,H2,coordinate,o2,2.6903750760108305,0.48042116203941587
ALL,88064,H2,coordinate,o4,4.6284852175791436,0.8265101273569333
ALL,88064,H2,coordinate,o6,5.600034487635872,1.0
ALL,88064,H2,proper,o2,6.1420244934997505,0.4793075855649189
ALL,88064,H2,proper,o4,10.587667810912539,0.8262340048599003
ALL,88064,H2,proper,o6,12.814369474792832,1.0
ALL,88064,M2,coordinate,o2,11.737790514298176,0.43911763337372806
ALL,88064,M2,coordinate,o4,21.474488435038943,0.803373218155412
ALL,88064,M2,coordinate,o6,26.73040120050992,1.0
ALL,88064,M2,proper,o2,27.23931523500687,0.4385147627276565
ALL,88064,M2,proper,o4,49.89184326159334,0.8031886859544071
ALL,88064,M2,proper,o6,62.1172137183534,1.0
ALL,88064,Z2,coordinate,o2,1.1441050334771277,0.9967538162248639
ALL,88064,Z2,coordinate,o4,1.147634769539952,0.9998289516258455
ALL,88064,Z2,coordinate,o6,1.1478311041841267,1.0
ALL,88064,Z2,proper,o2,2.1892712392820948,0.9967110493002991
ALL,88064,Z2,proper,o4,2.196096179382478,0.9998182445563311
ALL,88064,Z2,proper,o6,2.1964954043792178,1.0
ACTIVE_ONLY,58136,C,coordinate,o2,9.099201402416373,0.5895204932706903
ACTIVE_ONLY,58136,C,coordinate,o4,13.308655849480193,0.8622432908312064
ACTIVE_ONLY,58136,C,coordinate,o6,15.434919576643605,1.0
ACTIVE_ONLY,58136,C,proper,o2,19.511068522590207,0.5675055571348266
ACTIVE_ONLY,58136,C,proper,o4,29.389161446856164,0.8548231185448835
ACTIVE_ONLY,58136,C,proper,o6,34.38040082126423,1.0
ACTIVE_ONLY,58136,H2,coordinate,o2,0.1578070708796153,0.5014094472506009
ACTIVE_ONLY,58136,H2,coordinate,o4,0.25460988320640404,0.8089865687986358
ACTIVE_ONLY,58136,H2,coordinate,o6,0.31472695966325587,1.0
ACTIVE_ONLY,58136,H2,proper,o2,0.3576638666770823,0.4939485308074361
ACTIVE_ONLY,58136,H2,proper,o4,0.5837162369792374,0.8061361645028995
ACTIVE_ONLY,58136,H2,proper,o6,0.7240913665487065,1.0
ACTIVE_ONLY,58136,M2,coordinate,o2,4.846926780687656,0.4398847770681574
ACTIVE_ONLY,58136,M2,coordinate,o4,8.952653983187878,0.8125016901955819
ACTIVE_ONLY,58136,M2,coordinate,o6,11.018628134832351,1.0
ACTIVE_ONLY,58136,M2,proper,o2,11.327799705510136,0.43877381118487313
ACTIVE_ONLY,58136,M2,proper,o4,20.966432005552527,0.8121189919653945
ACTIVE_ONLY,58136,M2,proper,o6,25.8169458084117,1.0
ACTIVE_ONLY,58136,Z2,coordinate,o2,0.664432594337557,0.9973368138056735
ACTIVE_ONLY,58136,Z2,coordinate,o4,0.6661637023967304,0.9999352682024069
ACTIVE_ONLY,58136,Z2,coordinate,o6,0.6662068271622215,1.0
ACTIVE_ONLY,58136,Z2,proper,o2,1.276690268483269,0.9973130274817184
ACTIVE_ONLY,58136,Z2,proper,o4,1.2800423319636838,0.999931561248671
ACTIVE_ONLY,58136,Z2,proper,o6,1.2801299424584844,1.0
AXIS,936,C,coordinate,o2,0.0006571087091514112,0.9994332734278869
AXIS,936,C,coordinate,o4,0.0006574419570420742,0.9999401287253282
AXIS,936,C,coordinate,o6,0.0006574813212868525,1.0
AXIS,936,C,proper,o2,0.0011281267094824718,0.9991378684324215
AXIS,936,C,proper,o4,0.0011289943520206647,0.9999063056202698
AXIS,936,C,proper,o6,0.0011291001423581561,1.0
AXIS,936,H2,coordinate,o2,2.068170452602886e-06,0.9583239879721814
AXIS,936,H2,coordinate,o4,2.145991064562214e-06,0.9943835686056053
AXIS,936,H2,coordinate,o6,2.158111952283638e-06,1.0
AXIS,936,H2,proper,o2,4.905633528773496e-06,0.931154447937585
AXIS,936,H2,proper,o4,5.221066248909081e-06,0.9910277708542963
AXIS,936,H2,proper,o6,5.268334957362862e-06,1.0
AXIS,936,M2,coordinate,o2,6.465150367789555e-07,0.9365943705332078
AXIS,936,M2,coordinate,o4,6.864865466639908e-07,0.994500357262541
AXIS,936,M2,coordinate,o6,6.902828557584553e-07,1.0
AXIS,936,M2,proper,o2,2.1681694498240715e-06,0.9219954384226183
