metric,comparison,pearson_pointwise_magnitude,global_argmax_same_cell,other_argmax_flat_cell,o6_argmax_flat_cell
C,o2_vs_o6,0.9940291897169077,True,31720,31720
C,o4_vs_o6,0.9999130910511161,True,31720,31720
H2,o2_vs_o6,0.9864287762128835,True,52232,52232
H2,o4_vs_o6,0.9992803501029011,True,52232,52232
M2,o2_vs_o6,0.9935073784127043,True,31716,31716
M2,o4_vs_o6,0.9999236101326687,True,31716,31716
Z2,o2_vs_o6,0.9986352950824507,True,31687,31687
Z2,o4_vs_o6,0.9999309620937704,True,31687,31687
