# execution_space=Serial
order,dim,n,curl_max,curl_scaled,target_scaled,old_curl_max,old_curl_scaled,decision
2,2,16,8.8817841970012523e-16,0.085230807066709408,0.077928775827589142,0.33009902594526164,31676750717213.277,PASS
4,2,16,3.1086244689504383e-15,0.1325812554371035,0.28870590674529301,0.16598547616028281,7079196291948.9482,PASS
6,2,16,3.9968028886505635e-15,0.11411066731245391,0.29934508313015845,0.086897279425315332,2480959611747.9292,PASS
2,2,32,1.3322676295501878e-15,0.031961552650016024,0.042427331961590466,0.097146349549267264,2330573900473.8013,PASS
4,2,32,1.1601830607332886e-14,0.12370304636765461,0.27273858261347012,0.013983637349854749,149098758465.25674,PASS
6,2,32,1.7985612998927536e-14,0.12837450072651066,0.32701224715860983,0.0023170837230142016,16538466945.842188,PASS
2,3,16,8.8817841970012523e-16,0.12719608213160175,0.084518839278783925,0.34492380023064673,32931038066348.812,PASS
4,3,16,3.5527136788005009e-15,0.169594776175469,0.37175208713889163,0.17525612255480727,8567467296603.2656,PASS
6,3,16,5.1070259132757201e-15,0.1702955810356982,0.33950855581319395,0.10288441554700234,3506955296664.2295,PASS
2,3,32,1.7763568394002505e-15,0.054633301742418726,0.041613624429644565,0.10495212835597822,2459343397378.2163,PASS
4,3,32,1.4654943925052066e-14,0.15262636677247132,0.32955254706931997,0.01486054522525837,185523119353.11514,PASS
6,3,32,2.3980817331903381e-14,0.17647782003218135,0.3194151774989617,0.0028067726636296086,23481916412.364235,PASS
