# execution_space=Cuda
order,dim,n,curl_max,curl_scaled,target_scaled,old_curl_max,old_curl_scaled,decision
2,2,16,8.8817841970012523e-16,0.085230807066709408,0,0.33009902594526219,31676750717213.332,PASS
4,2,16,2.4980018054066022e-15,0.10653850883338675,0.34092322826683763,0.16598547616028214,7079196291948.9199,PASS
6,2,16,5.3290705182007514e-15,0.15214755641660521,0.27893718676377627,0.086897279425314444,2480959611747.9038,PASS
2,2,32,1.3322676295501878e-15,0.031961552650016024,0,0.097146349549266819,2330573900473.7905,PASS
4,2,32,1.2323475573339238e-14,0.13139749422784366,0.22728215217789177,0.01398363734985697,149098758465.28043,PASS
6,2,32,1.8096635301390052e-14,0.12916693591618048,0.29753299921469467,0.0023170837230095387,16538466945.808905,PASS
2,3,16,8.8817841970012523e-16,0.10198046455614933,0,0.34492380023064673,32931038066348.812,PASS
4,3,16,3.9968028886505635e-15,0.18090109458716694,0.36180218917433388,0.17525612255480727,8567467296603.248,PASS
6,3,16,5.3290705182007514e-15,0.18164861977141139,0.33302246958092097,0.10288441554700412,3506955296664.29,PASS
2,3,32,1.7763568394002505e-15,0.055235735662095158,0,0.10495212835597822,2459343397378.2158,PASS
4,3,32,1.366962099069724e-14,0.1423645561277313,0.3330029820490284,0.01486054522525837,185523119353.18176,PASS
6,3,32,2.528532938583794e-14,0.17628431365056707,0.32694838237540969,0.0028067726636237245,23481916412.315002,PASS
