line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
1816	2	1	0	generic_gauge_driver	32	256	887
1818	2	1	1	scalar_source_and_pi_rhs	32	256	901
1820	3	1	0	generic_gauge_driver	32	256	887
1822	3	1	1	scalar_source_and_pi_rhs	32	256	895
1824	4	1	0	generic_gauge_driver	32	256	887
1826	4	1	1	scalar_source_and_pi_rhs	32	256	908
