cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
30,0.0910739671938657,0.0560916812527049,False,4,34,0,34,0,0,0,34,0,0,0.0179206261855299,0.3368854435549038,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
31,0.09370228375858772,0.0577104289453441,False,4,34,0,34,0,0,0,34,0,0,0.01782831596986132,0.33519392111404495,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
32,0.09632802045169968,0.05932758772864998,False,4,34,0,34,0,0,0,34,0,0,0.017734079050054388,0.33346619741197164,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
33,0.09895123520146443,0.06094319327997001,False,4,34,0,34,0,0,0,34,0,0,0.01763795980410646,0.33170299995469277,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
34,0.10157198550237055,0.06255728100949556,False,4,34,0,34,0,0,0,34,0,0,0.017540002927541095,0.32990506115620394,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
35,0.10419032842091315,0.0641698860638222,False,4,34,0,34,0,0,0,34,0,0,0.017440253432190987,0.32807311892831614,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
36,0.10680632060150315,0.06578104332958924,False,4,34,0,34,0,0,0,34,0,0,0.017338756638921007,0.3262079169280424,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
37,0.10942001827258034,0.06739078743724462,False,4,34,0,34,0,0,0,34,0,0,0.01723555816609621,0.3243102045127088,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
38,0.11203147725295644,0.06899915276495157,False,4,34,0,34,0,0,0,34,0,0,0.01713070391568724,0.32238073647322846,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
39,0.11464075295836627,0.07060617344262345,False,4,34,0,34,0,0,0,34,0,0,0.017024240058810227,0.32042027262754014,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
40,0.11724790040816062,0.07221188335604574,False,4,32,0,32,0,0,0,32,0,0,0.016916213022250208,0.27065940835600333,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
41,0.11985297423203675,0.07381631615102137,False,4,32,0,32,0,0,0,32,0,0,0.01690280627741792,0.26890671163364727,70,"[3, 2, 5, 0]","[8.125, 4.125]"
42,0.12245602649448407,0.07541950389347363,False,4,32,0,32,0,0,0,32,0,0,0.016902808373126004,0.2671305027825688,70,"[3, 2, 5, 0]","[8.125, 4.125]"
43,0.1250568532687443,0.07702132098747759,False,4,32,0,32,0,0,0,32,0,0,0.01690281051253066,0.2653317155206877,70,"[3, 2, 5, 0]","[8.125, 4.125]"
44,0.12765551120895233,0.07862180232566233,False,4,32,0,32,0,0,0,32,0,0,0.01690281269560783,0.2635111123289182,70,"[3, 2, 5, 0]","[8.125, 4.125]"
45,0.13025205655001384,0.08022098254245909,False,4,32,0,32,0,0,0,32,0,0,0.01690281492233587,0.2616694587678452,70,"[3, 2, 5, 0]","[8.125, 4.125]"
46,0.1328465451131068,0.08181889601748957,False,4,32,0,32,0,0,0,32,0,0,0.016902817192697123,0.2598075234700426,70,"[3, 2, 5, 0]","[8.125, 4.125]"
47,0.13543903231112162,0.08341557687891646,False,4,32,0,32,0,0,0,32,0,0,0.01690281950667646,0.2579260781186331,70,"[3, 2, 5, 0]","[8.125, 4.125]"
48,0.13802957315403455,0.08501105900675296,False,4,32,0,32,0,0,0,32,0,0,0.016902821864263055,0.25602589738854065,70,"[3, 2, 5, 0]","[8.125, 4.125]"
49,0.14061822225419462,0.08660537603611881,False,4,32,0,32,0,0,0,32,0,0,0.016902824265448015,0.25410775882791226,70,"[3, 2, 5, 0]","[8.125, 4.125]"
50,0.1432050338314907,0.08819856136042274,False,4,32,0,32,0,0,0,32,0,0,0.016902826710226616,0.25217244266046496,70,"[3, 2, 5, 0]","[8.125, 4.125]"
51,0.14579006171835798,0.0897906481344459,False,4,32,0,32,0,0,0,32,0,0,0.016902829198596248,0.25022073149437096,70,"[3, 2, 5, 0]","[8.125, 4.125]"
52,0.14837335936457718,0.09138166927729757,False,4,32,0,32,0,0,0,32,0,0,0.01690283173055806,0.24825340992964628,70,"[3, 2, 5, 0]","[8.125, 4.125]"
53,0.15095482300573354,0.09297156088180421,False,4,32,0,32,0,0,0,32,0,0,0.016902834305957452,0.24627138495282053,70,"[3, 2, 5, 0]","[8.125, 4.125]"
54,0.1535344388589032,0.09456031445928208,False,4,32,0,32,0,0,0,32,0,0,0.01690283692472372,0.2442754979044939,70,"[3, 2, 5, 0]","[8.125, 4.125]"
55,0.1561122617766189,0.0961479637927786,False,4,32,0,32,0,0,0,32,0,0,0.01690283958685711,0.24226653754146069,70,"[3, 2, 5, 0]","[8.125, 4.125]"
56,0.1586883462119257,0.09773454241930198,False,4,32,0,32,0,0,0,32,0,0,0.01690284229235916,0.24024529165333589,70,"[3, 2, 5, 0]","[8.125, 4.125]"
57,0.16126274622442566,0.09932008363354422,False,4,32,0,32,0,0,0,32,0,0,0.01690284504123638,0.23821254627810579,70,"[3, 2, 5, 0]","[8.125, 4.125]"
58,0.16383551548592917,0.10090462049136165,False,4,32,0,32,0,0,0,32,0,0,0.016902847833495847,0.23616908489725938,70,"[3, 2, 5, 0]","[8.125, 4.125]"
59,0.16640670728567028,0.10248818581298694,False,4,32,0,32,0,0,0,32,0,0,0.016902850669147634,0.23411568763594576,70,"[3, 2, 5, 0]","[8.125, 4.125]"
60,0.16897637453505363,0.1040708121859528,False,4,32,0,32,0,0,0,32,0,0,0.016902853548205442,0.23205313049299148,70,"[3, 2, 5, 0]","[8.125, 4.125]"
61,0.1715445697719129,0.10565253196771465,False,4,32,0,32,0,0,0,32,0,0,0.01690285647068424,0.22998218462343437,70,"[3, 2, 5, 0]","[8.125, 4.125]"
62,0.17411134516427287,0.10723337728796768,False,4,32,0,32,0,0,0,32,0,0,0.016902859436601272,0.22790361569318957,33,"[3, 2, 2, 0]","[8.125, -4.125]"
63,0.1766767525136188,0.10881338005066041,False,4,32,0,32,0,0,0,32,0,0,0.01690286244597646,0.22581818332133968,33,"[3, 2, 2, 0]","[8.125, -4.125]"
64,0.17924084325768863,0.11039257193571436,False,4,32,0,32,0,0,0,32,0,0,0.016902865498831788,0.2237266406210109,33,"[3, 2, 2, 0]","[8.125, -4.125]"
65,0.1818035868017056,0.1119709341002368,False,4,32,0,32,0,0,0,32,0,0,0.01690286859509256,0.22162980076217997,33,"[3, 2, 2, 0]","[8.125, -4.125]"
66,0.18436492215301228,0.11354842897965495,False,4,32,0,32,0,0,0,32,0,0,0.016902871734642673,0.21952849514764294,33,"[3, 2, 2, 0]","[8.125, -4.125]"
67,0.18692490169023068,0.11512508883337014,False,4,32,0,32,0,0,0,32,0,0,0.01690287491750331,0.21742345494746537,33,"[3, 2, 2, 0]","[8.125, -4.125]"
68,0.1894835774166388,0.11670094568961453,False,4,32,0,32,0,0,0,32,0,0,0.01690287814369679,0.21531540369645,33,"[3, 2, 2, 0]","[8.125, -4.125]"
