source,series,tau,log10_abs_I
rendered_paper,bamps,0,-3.2476465904846403
rendered_paper,bamps,1.6072822280082257,-3.25973899795533
rendered_paper,bamps,2.8817959780874309,-3.2696889047882851
rendered_paper,bamps,3.1392373371966431,-3.2426451090575488
rendered_paper,bamps,3.3125026641858537,-3.2006338067818376
rendered_paper,bamps,3.4432655862072936,-3.1490381693299723
rendered_paper,bamps,3.5746952027373426,-3.0747775368865295
rendered_paper,bamps,3.7067666720430412,-2.9738523361383273
rendered_paper,bamps,3.8394509040950693,-2.8443973233349249
rendered_paper,bamps,3.9727090881859914,-2.6875304806282299
rendered_paper,bamps,4.1512241573972197,-2.4430754224921509
rendered_paper,bamps,4.4206344794612873,-2.0318587975557985
rendered_paper,bamps,4.7824242219137201,-1.4809162304749091
rendered_paper,bamps,5.0096280796548367,-1.1726622022748512
rendered_paper,bamps,5.1917005570308579,-0.95904668403785021
rendered_paper,bamps,5.3737544571109268,-0.78146941225233724
rendered_paper,bamps,5.5100459968087367,-0.67521107397811631
rendered_paper,bamps,5.6459124188503376,-0.59438806091771568
rendered_paper,bamps,5.7810865846001418,-0.54108455685853751
rendered_paper,bamps,5.9152806179759105,-0.51743489136332066
rendered_paper,bamps,6.0481527111331284,-0.52585859809202107
rendered_paper,bamps,6.1793389506851986,-0.56948116919800362
rendered_paper,bamps,6.2656867263060274,-0.62033413428523887
rendered_paper,bamps,6.3510030299713707,-0.69094408712470423
rendered_paper,bamps,6.4352055599398614,-0.7844723382807155
rendered_paper,bamps,6.5182081982039053,-0.90591432482351353
rendered_paper,bamps,6.5999218745499686,-1.0636558083526972
rendered_paper,bamps,6.6802839446079751,-1.2731517615998216
rendered_paper,bamps,6.759259413936717,-1.567159240707894
rendered_paper,bamps,6.7982167235986388,-1.7685624717300412
rendered_paper,bamps,6.8368122080196319,-2.0352035655437208
rendered_paper,bamps,6.8750401788028723,-2.4265034750014931
rendered_paper,bamps,6.9129084844958779,-3.1653065557877924
rendered_paper,bamps,6.9504175571287856,-4.086794725694217
rendered_paper,bamps,6.9875681167518247,-2.7073874241335294
rendered_paper,bamps,7.02436210750062,-2.1992139425851041
rendered_paper,bamps,7.0608019775459532,-1.8814330005989517
rendered_paper,bamps,7.132610498908404,-1.4687531935751188
rendered_paper,bamps,7.2030438683402558,-1.1934798627214631
rendered_paper,bamps,7.2721474490060416,-0.98809216927825805
rendered_paper,bamps,7.3733909037494465,-0.75513146308246915
rendered_paper,bamps,7.4719119205755788,-0.57719824583809654
rendered_paper,bamps,7.5993786686559259,-0.3921662672727298
rendered_paper,bamps,7.753152955950207,-0.21269755952376385
rendered_paper,bamps,7.9308566005564538,-0.042496753676676553
rendered_paper,bamps,8.1485244010622182,0.13472177433662347
rendered_paper,bamps,8.9086595400895163,0.72042901949450622
rendered_paper,bamps,9.0714147258912767,0.87771012451039321
rendered_paper,bamps,9.23561966082754,1.0635175716729197
rendered_paper,bamps,9.4008798293768976,1.2894081712764773
rendered_paper,bamps,9.510510501212563,1.4687593498645004
rendered_paper,bamps,9.6184098842735271,1.6761675374831282
rendered_paper,bamps,9.7225859595965414,1.9148019919066075
rendered_paper,bamps,9.8202618534668975,2.1846736825232909
rendered_paper,bamps,9.9089153019314633,2.4823909416134158
rendered_paper,bamps,9.9865360687561555,2.7992111666582544
rendered_paper,bamps,10.080643393683145,3.2777068560803944
rendered_paper,bamps,10.18829407139442,3.8996461029065199
rendered_paper,bamps,10.204274506189551,3.9420333865647157
rendered_paper,bamps,10.218787478614509,3.9167009273498539
rendered_paper,bamps,10.232201006342203,3.7640424121326821
rendered_paper,bamps,10.244668100046658,3.2714834071770929
rendered_paper,bamps,10.256329961578121,2.3613854919541231
rendered_paper,bamps,10.277785010282317,4.6972781253718292
rendered_paper,bamps,10.297366704301291,5.3584819620161452
rendered_paper,bamps,10.306833420699427,5.4777812240561392
rendered_paper,bamps,10.316328219056562,5.4598182909625796
rendered_paper,bamps,10.325985028715602,5.283380044645412
rendered_paper,bamps,10.335918121648167,4.8931987889347539
rendered_paper,bamps,10.356946972620809,3.15425937432176
rendered_paper,bamps,10.367892816202859,4.2692665833366288
rendered_paper,bamps,10.390812447076309,4.6637684348686443
rendered_paper,bamps,10.402765568926089,4.6705510987129673
rendered_paper,bamps,10.427424553136827,4.556092023318234
rendered_paper,bamps,10.478098088122627,4.1581458957753661
rendered_paper,bamps,10.633894996514956,2.7578140381978744
rendered_paper,bamps,10.828044948415602,0.93337663629974299
rendered_paper,bamps,10.879195372669196,0.60731559702630988
rendered_paper,bamps,10.930431698915315,0.38795894717601404
rendered_paper,bamps,10.980819085939435,0.24956533798644268
rendered_paper,bamps,11.044189050628171,0.13411039883464707
rendered_paper,bamps,11.146565936439725,-0.0043974934723746192
rendered_paper,bamps,11.506133747890253,-0.4701118306756259
rendered_paper,bamps,11.69115915126239,-0.74486131726907479
rendered_paper,bamps,11.850844186890479,-1.0175554986689554
rendered_paper,bamps,11.980764722147017,-1.275449176864935
rendered_paper,bamps,12.100915543868341,-1.5551711543591076
rendered_paper,bamps,12.206298783403129,-1.8472912270749589
rendered_paper,bamps,12.29691897706784,-2.1504870240530716
rendered_paper,bamps,12.3687709174592,-2.4436822087602228
rendered_paper,bamps,12.43791647705344,-2.7990459542377284
rendered_paper,bamps,12.49228358170266,-3.1693444100276791
rendered_paper,bamps,12.536371753293508,-3.5894305689765793
rendered_paper,bamps,12.569936102742526,-4.0762644486712682
rendered_paper,bamps,12.596247746242778,-4.7581724461724866
rendered_paper,bamps,12.605139286516627,-5.1787992392617275
rendered_paper,bamps,12.623035486955571,-6.5455304051857039
rendered_paper,bamps,12.641119260479609,-4.9082940105012893
rendered_paper,bamps,12.671428334840638,-4.1763476928969769
