event,authority_time,resolution,field,time_before,time_after,tau_before,tau_after,value_before,value_after,ratio,abs_log10_jump,leaves_after,max_level_after,created,deleted
1,0.010825573171132733,n128,C-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1373044059218084,0.10073384594552685,0.7336534124250346,0.13450905809452715,62,4,30,0
1,0.010825573171132733,n128,H-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1365868925565384,0.07837956645575364,0.573843983040389,0.24120616773225456,62,4,30,0
1,0.010825573171132733,n128,M-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.0,8.846103175761888e-05,nan,nan,62,4,30,0
1,0.010825573171132733,n128,Z-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.00017937834131748963,0.005564514527310141,31.02110592862079,1.4916572767185843,62,4,30,0
1,0.010825573171132733,n256,C-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.00678802630103632,0.007868361090573189,1.1591530058408783,0.06414076573632582,62,4,30,0
1,0.010825573171132733,n256,H-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.006784520832745949,0.007752052313528978,1.1426086682663237,0.057897514461054136,62,4,30,0
1,0.010825573171132733,n256,M-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.0,7.515437560023388e-06,nan,nan,62,4,30,0
1,0.010825573171132733,n256,Z-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,8.763670725927026e-07,2.7170553112408447e-05,31.003621612602668,1.4914124278504417,62,4,30,0
1,0.010825573171132733,n512,C-norm2,0.0,0.010860148206743364,0.0,0.00668853950856814,0.00487537971844331,0.0048893264910170545,1.00286065360632,0.001240592468010479,62,4,30,0
1,0.010825573171132733,n512,H-norm2,0.0,0.010860148206743364,0.0,0.00668853950856814,0.004875365193224603,0.004888023882517493,1.0025964597094146,0.0011261667328696199,62,4,30,0
1,0.010825573171132733,n512,M-norm2,0.0,0.010860148206743364,0.0,0.00668853950856814,0.0,9.240772522680995e-07,nan,nan,62,4,30,0
1,0.010825573171132733,n512,Z-norm2,0.0,0.010860148206743364,0.0,0.00668853950856814,3.6313046766315653e-09,8.988109150322141e-08,24.75173512198817,1.3936056488248127,62,4,30,0
2,0.016217895439318817,n128,C-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1373044059218084,0.10073384594552685,0.7336534124250346,0.13450905809452715,68,5,6,0
2,0.016217895439318817,n128,H-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1365868925565384,0.07837956645575364,0.573843983040389,0.24120616773225456,68,5,6,0
2,0.016217895439318817,n128,M-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.0,8.846103175761888e-05,nan,nan,68,5,6,0
2,0.016217895439318817,n128,Z-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.00017937834131748963,0.005564514527310141,31.02110592862079,1.4916572767185843,68,5,6,0
2,0.016217895439318817,n256,C-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.00678802630103632,0.007868361090573189,1.1591530058408783,0.06414076573632582,68,5,6,0
2,0.016217895439318817,n256,H-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.006784520832745949,0.007752052313528978,1.1426086682663237,0.057897514461054136,68,5,6,0
2,0.016217895439318817,n256,M-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.0,7.515437560023388e-06,nan,nan,68,5,6,0
2,0.016217895439318817,n256,Z-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,8.763670725927026e-07,2.7170553112408447e-05,31.003621612602668,1.4914124278504417,68,5,6,0
2,0.016217895439318817,n512,C-norm2,0.011897399275062294,0.01756333571800899,0.007327358782551449,0.010816879790889173,0.0048885380782019445,0.004875677263605071,0.997369190054135,0.0011440517945618353,68,5,6,0
2,0.016217895439318817,n512,H-norm2,0.011897399275062294,0.01756333571800899,0.007327358782551449,0.010816879790889173,0.004887045883958389,0.004872630812877915,0.9970503507798463,0.0012829093777154566,68,5,6,0
2,0.016217895439318817,n512,M-norm2,0.011897399275062294,0.01756333571800899,0.007327358782551449,0.010816879790889173,1.1101940998295238e-06,2.5557484773057005e-06,2.302073554253395,0.3621191957907474,68,5,6,0
2,0.016217895439318817,n512,Z-norm2,0.011897399275062294,0.01756333571800899,0.007327358782551449,0.010816879790889173,8.979543984343017e-08,1.1022489511313291e-07,1.227511055186367,0.08902541214719777,68,5,6,0
3,0.018909301628650666,n128,C-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1373044059218084,0.10073384594552685,0.7336534124250346,0.13450905809452715,80,6,12,0
3,0.018909301628650666,n128,H-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.1365868925565384,0.07837956645575364,0.573843983040389,0.24120616773225456,80,6,12,0
3,0.018909301628650666,n128,M-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.0,8.846103175761888e-05,nan,nan,80,6,12,0
3,0.018909301628650666,n128,Z-norm2,0.0,0.021630988833883254,0.0,0.013322609475381476,0.00017937834131748963,0.005564514527310141,31.02110592862079,1.4916572767185843,80,6,12,0
3,0.018909301628650666,n256,C-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.00678802630103632,0.007868361090573189,1.1591530058408783,0.06414076573632582,80,6,12,0
3,0.018909301628650666,n256,H-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.006784520832745949,0.007752052313528978,1.1426086682663237,0.057897514461054136,80,6,12,0
3,0.018909301628650666,n256,M-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,0.0,7.515437560023388e-06,nan,nan,80,6,12,0
3,0.018909301628650666,n256,Z-norm2,0.0,0.02026712489337064,0.0,0.012482189173621422,8.763670725927026e-07,2.7170553112408447e-05,31.003621612602668,1.4914124278504417,80,6,12,0
3,0.018909301628650666,n512,C-norm2,0.01756333571800899,0.01891558692518634,0.010816879790889173,0.011649700459691744,0.004875677263605071,0.004877424785557484,1.0003584162482322,0.00015563031028149556,80,6,12,0
3,0.018909301628650666,n512,H-norm2,0.01756333571800899,0.01891558692518634,0.010816879790889173,0.011649700459691744,0.004872630812877915,0.004873883405743525,1.000257067057553,0.00011162845718952076,80,6,12,0
3,0.018909301628650666,n512,M-norm2,0.01756333571800899,0.01891558692518634,0.010816879790889173,0.011649700459691744,2.5557484773057005e-06,3.0395792869607498e-06,1.1893108081453732,0.0752953656558296,80,6,12,0
3,0.018909301628650666,n512,Z-norm2,0.01756333571800899,0.01891558692518634,0.010816879790889173,0.011649700459691744,1.1022489511313291e-07,1.1100265304336797e-07,1.0070561004339065,0.0030536646253511756,80,6,12,0
4,0.2969428725850926,n128,C-norm2,0.29123274632026735,0.2982062375112124,0.17936700884534756,0.18366189672038605,0.05465875746505119,0.05539430503334269,1.0134570854224378,0.005805363331124902,74,5,0,6
4,0.2969428725850926,n128,H-norm2,0.29123274632026735,0.2982062375112124,0.17936700884534756,0.18366189672038605,0.028327622298144867,0.029668829383982104,1.047346264071202,0.020090287900367737,74,5,0,6
4,0.2969428725850926,n128,M-norm2,0.29123274632026735,0.2982062375112124,0.17936700884534756,0.18366189672038605,0.009033810429446702,0.008529010217256099,0.9441210089437839,0.024972338171757577,74,5,0,6
4,0.2969428725850926,n128,Z-norm2,0.29123274632026735,0.2982062375112124,0.17936700884534756,0.18366189672038605,0.004156599918074964,0.004129290892231318,0.9934299604527989,0.002862746431476754,74,5,0,6
4,0.2969428725850926,n256,C-norm2,0.29440876583632664,0.30201204557324435,0.18132033393190572,0.18600303591045325,0.005282231184968762,0.005194523721895,0.9833957545585388,0.00727167094496217,74,5,0,6
4,0.2969428725850926,n256,H-norm2,0.29440876583632664,0.30201204557324435,0.18132033393190572,0.18600303591045325,0.004598813442664917,0.004505696002220505,0.979751855211058,0.008883905489908347,74,5,0,6
4,0.2969428725850926,n256,M-norm2,0.29440876583632664,0.30201204557324435,0.18132033393190572,0.18600303591045325,0.0005854158781221369,0.0005917094491399309,1.0107505984258272,0.004644007134534663,74,5,0,6
4,0.2969428725850926,n256,Z-norm2,0.29440876583632664,0.30201204557324435,0.18132033393190572,0.18600303591045325,2.1002563424048187e-05,2.0646778447979463e-05,0.9830599261201923,0.007420007305136446,74,5,0,6
4,0.2969428725850926,n512,C-norm2,0.2946902786186806,0.2969428725850926,0.18149303280173248,0.18288035417563103,0.003455343880075064,0.0034392104043786016,0.9953308624969298,0.002032529433751259,74,5,0,6
4,0.2969428725850926,n512,H-norm2,0.2946902786186806,0.2969428725850926,0.18149303280173248,0.18288035417563103,0.003000115295538182,0.002979411098637472,0.9930988662564063,0.003007513909181201,74,5,0,6
4,0.2969428725850926,n512,M-norm2,0.2946902786186806,0.2969428725850926,0.18149303280173248,0.18288035417563103,0.0004432497850352787,0.00044767332686935325,1.0099797946517277,0.00431268550637059,74,5,0,6
4,0.2969428725850926,n512,Z-norm2,0.2946902786186806,0.2969428725850926,0.18149303280173248,0.18288035417563103,1.1926113604210195e-07,1.1971046357369678e-07,1.0037675939246145,0.0016331706179053605,74,5,0,6
5,0.5562461158058162,n128,C-norm2,0.5445434958320973,0.5581852081815174,0.3353780492566379,0.34377982006859403,0.048965297357626954,0.04733187608645071,0.966641246774297,0.014734677369818696,80,5,6,0
5,0.5562461158058162,n128,H-norm2,0.5445434958320973,0.5581852081815174,0.3353780492566379,0.34377982006859403,0.030745829860821177,0.02907338263827096,0.9456040955758561,0.024290655453785778,80,5,6,0
5,0.5562461158058162,n128,M-norm2,0.5445434958320973,0.5581852081815174,0.3353780492566379,0.34377982006859403,0.005708596119953975,0.006315695796416535,1.106348332182844,0.043891885492577255,80,5,6,0
5,0.5562461158058162,n128,Z-norm2,0.5445434958320973,0.5581852081815174,0.3353780492566379,0.34377982006859403,0.002793581682779959,0.0026406747540993632,0.9452649157806495,0.024446460974026994,80,5,6,0
5,0.5562461158058162,n256,C-norm2,0.5508781577846427,0.5616236065959771,0.33927451989377966,0.34589242302371426,0.004353888753188829,0.004415298840287023,1.0141046523187383,0.006082775095269,80,5,6,0
5,0.5562461158058162,n256,H-norm2,0.5508781577846427,0.5616236065959771,0.33927451989377966,0.34589242302371426,0.0035928587713841627,0.0036704176591319353,1.0215869569840879,0.009275339476582035,80,5,6,0
5,0.5562461158058162,n256,M-norm2,0.5508781577846427,0.5616236065959771,0.33927451989377966,0.34589242302371426,0.0006811208227581849,0.0006657721235051127,0.9774655263203994,0.009898550548804596,80,5,6,0
5,0.5562461158058162,n256,Z-norm2,0.5508781577846427,0.5616236065959771,0.33927451989377966,0.34589242302371426,1.2055933187345939e-05,1.1718814758056267e-05,0.9720371352386461,0.012317143179529796,80,5,6,0
5,0.5562461158058162,n512,C-norm2,0.5556330046760163,0.5601612369427054,0.3422017429192686,0.3449905786886827,0.0025461349775349985,0.002552255227292331,1.0024037412828983,0.0010426789113587654,80,5,6,0
5,0.5562461158058162,n512,H-norm2,0.5556330046760163,0.5601612369427054,0.3422017429192686,0.3449905786886827,0.0018168472206490371,0.0018250631443158171,1.0045220773510306,0.0019594860980695628,80,5,6,0
5,0.5562461158058162,n512,M-norm2,0.5556330046760163,0.5601612369427054,0.3422017429192686,0.3449905786886827,0.0006943410992800734,0.0006916705734429794,0.9961538704249785,0.0016735733080492788,80,5,6,0
5,0.5562461158058162,n512,Z-norm2,0.5556330046760163,0.5601612369427054,0.3422017429192686,0.3449905786886827,1.7846859959381362e-06,1.866852393976395e-06,1.046039694503832,0.01954816519749084,80,5,6,0
6,0.6573598455696282,n128,C-norm2,0.6440103266071543,0.661857619587393,0.39663852238531905,0.40763046913619944,0.034019320073568865,0.03308692218312484,0.9725921068255433,0.012069259316495749,74,5,0,6
6,0.6573598455696282,n128,H-norm2,0.6440103266071543,0.661857619587393,0.39663852238531905,0.40763046913619944,0.01617981775793069,0.015641839468682053,0.9667500402478303,0.014685801174307076,74,5,0,6
6,0.6573598455696282,n128,M-norm2,0.6440103266071543,0.661857619587393,0.39663852238531905,0.40763046913619944,0.008866909041285656,0.00888466023204522,1.0020019592709153,0.000868570732539443,74,5,0,6
6,0.6573598455696282,n128,Z-norm2,0.6440103266071543,0.661857619587393,0.39663852238531905,0.40763046913619944,0.0018315083409246409,0.0017203564371981086,0.9393112762618285,0.027190464005492576,74,5,0,6
