cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
1,0.005407853364569446,0.0033305845002149443,False,1,2,0,2,0,0,0,2,0,0,0.022912955524388202,0.36660728839021123,11,"[3, 1, 3, 0]","[4.71875, -0.03125]"
2,0.010808285653327417,0.0066565985098398246,False,1,2,0,2,0,0,0,2,0,0,0.02289069770505978,0.36625116328095647,11,"[3, 1, 3, 0]","[4.71875, -0.03125]"
3,0.010825573171132733,0.0066672455327601325,True,1,10,2,0,0,8,0,2,0,8,0.022890602907079765,0.36624964651327624,11,"[3, 1, 3, 0]","[4.71875, -0.03125]"
4,0.010860148206743364,0.00668853950856814,False,2,20,0,2,18,0,0,2,18,0,0.011498838226138437,0.36796282323643,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
5,0.010929298277964626,0.006731127460182554,False,2,20,0,2,18,0,0,2,18,0,0.011498642977995565,0.36795657529585807,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
6,0.01106759842040715,0.006816303363404919,False,2,20,0,2,18,0,0,2,18,0,0.011498248811127869,0.3679439619560918,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
7,0.011344198705292198,0.006986655169823351,False,2,20,0,2,18,0,0,2,18,0,0.011497445801019985,0.3679182656326395,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
8,0.011897399275062294,0.007327358782551449,False,2,20,0,2,18,0,0,2,18,0,0.011495781123172504,0.3678649959415201,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
9,0.013003800414602485,0.008008766007544141,False,2,20,0,2,18,0,0,2,18,0,0.011492217523398206,0.3677509607487426,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
10,0.015216602693682869,0.00937158045545049,False,2,20,0,2,18,0,0,2,18,0,0.011484156496208096,0.3674930078786591,22,"[4, 2, 7, 0]","[4.734375, -0.015625]"
11,0.016217895439318817,0.009988253816218678,True,2,20,2,0,18,0,0,2,18,0,0.011480101278415812,0.367363240909306,35,"[4, 2, 8, 0]","[4.734375, 0.015625]"
12,0.01756333571800899,0.010816879790889173,False,3,19,1,0,18,0,0,0,18,1,0.005743254204530151,0.3675682690899297,24,"[5, 4, 15, 0]","[4.7421875, -0.0078125]"
13,0.018908254079228054,0.011645184327158326,False,3,19,1,0,18,0,0,0,18,1,0.005740076281862716,0.3673648820392138,24,"[5, 4, 15, 0]","[4.7421875, -0.0078125]"
14,0.018909301628650666,0.011645829488948817,True,3,22,0,0,18,4,0,0,18,4,0.005740073717370739,0.3673647179117273,24,"[5, 4, 15, 0]","[4.7421875, -0.0078125]"
15,0.01891139672749589,0.011647119812529796,False,4,31,1,0,30,0,0,0,30,1,0.005022126486545813,0.32141609513893205,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
16,0.01891558692518634,0.011649700459691744,False,4,31,1,0,30,0,0,0,30,1,0.005022116913199966,0.32141548244479784,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
17,0.018923967320567236,0.011654861754015597,False,4,31,1,0,30,0,0,0,30,1,0.005022097760302217,0.32141425665934187,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
18,0.01894072811132903,0.011665184342663136,False,4,31,1,0,30,0,0,0,30,1,0.005022059429682113,0.32141180349965526,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
19,0.018974249692852618,0.01168582951995754,False,4,31,1,0,30,0,0,0,30,1,0.005021982669150364,0.3214068908256233,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
20,0.019041292855899793,0.011727119874543657,False,4,31,1,0,30,0,0,0,30,1,0.005021828750966786,0.3213970400618743,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
21,0.019175379181994145,0.011809700583705071,False,4,31,1,0,30,0,0,0,30,1,0.005021519326491617,0.3213772368954635,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
22,0.019443551834182848,0.011974862001984247,False,4,31,1,0,30,0,0,0,30,1,0.005020894128085765,0.32133722419748895,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
23,0.019979897138560253,0.012305184838365025,False,4,31,1,0,30,0,0,0,30,1,0.005019618357400366,0.32125557487362344,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
24,0.020657985101398296,0.012722803743921223,False,4,33,1,0,32,0,0,0,32,1,0.005017957080561581,0.3211492531559412,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
25,0.021335806443932778,0.013140258443717062,False,4,33,1,0,32,0,0,0,32,1,0.005016242598289665,0.32103952629053856,31,"[5, 5, 15, 0]","[5.0078125, -0.3984375]"
