axisTau,field,region,E_128_256,E_256_512,Q,p,samples
5.0,chi,entire,0.0023763291876337765,0.0034973704956296056,0.6794616671591677,-0.5575359333859863,8192
5.0,chi,axis_rho_lt_0.5,0.0018267511227602724,0.002683934150087723,0.6806244194555093,-0.5550691816165174,256
5.0,chi,block_interiors,0.0018379965297290616,0.0028198958279689527,0.651795896677818,-0.6175078251385885,2048
5.0,chi,coarse_fine_neighborhood,0.0004663115285202812,0.0007563504874307806,0.6165283638598262,-0.697760826441551,1052
5.0,alpha,entire,0.00039801135205627745,0.00014247978558705972,2.7934583872115653,1.4820523293269647,8192
5.0,alpha,axis_rho_lt_0.5,0.0007613584715366315,0.0004727634217036549,1.6104428485456692,0.6874574632151349,256
5.0,alpha,block_interiors,0.0003956093862992177,0.00014161372914570466,2.7935807402697517,1.4821155177694594,2048
5.0,alpha,coarse_fine_neighborhood,0.0003818553786350024,0.0001420217738654135,2.6887101057959355,1.4269142135684276,1052
5.0,K,entire,0.0023206256062103894,0.0029506722404664234,0.7864735277556818,-0.34652988871028045,8192
5.0,K,axis_rho_lt_0.5,0.0020720603833773925,0.0023189165631026373,0.8935467607359883,-0.16238486509826408,256
5.0,K,block_interiors,0.001956516988959377,0.0027277816969952557,0.7172557067578197,-0.4794405532200827,2048
5.0,K,coarse_fine_neighborhood,0.0008458321006114133,0.0012823866927065954,0.6595764798730145,-0.6003881408899697,1052
5.0,Theta,entire,0.0013753608355418433,0.0014141477253920177,0.9725722503004967,-0.0401226660960589,8192
5.0,Theta,axis_rho_lt_0.5,0.0009377127142925531,0.001135194757846172,0.8260368609098357,-0.2757219332604635,256
5.0,Theta,block_interiors,0.0011640521642245893,0.00136992932366152,0.849716948253457,-0.2349457540582807,2048
5.0,Theta,coarse_fine_neighborhood,0.0011051557279184792,0.0007400502845593092,1.4933522099469037,0.5785544679621694,1052
5.0,Axx,entire,0.001466696478856376,0.0018586696779808634,0.7891108873362042,-0.3417000502007115,8192
5.0,Axx,axis_rho_lt_0.5,0.000556931580399696,0.0006864510016605629,0.8113202239525439,-0.3016566436696597,256
5.0,Axx,block_interiors,0.0012122075221681354,0.0016535719626285725,0.7330842258846542,-0.4479491321552694,2048
5.0,Axx,coarse_fine_neighborhood,0.0006214861219925781,0.0007209730208818627,0.8620102333821082,-0.21422309847091794,1052
5.0,Axy,entire,0.00027005593360158135,9.675788942145633e-05,2.791048205126472,1.4808070418874388,8192
