resolution,field,threshold,direction,reached,time,axisTau,cycle,value
n128,dt,0.001,le,True,15.682504268063484,9.691912134622486,3448,0.0009959665343046709
n128,dt,0.0001,le,True,16.76301145754718,10.381278377490302,3936,3.222539607605768e-05
n128,dt,1e-05,le,False,,,,
n128,max_abs_K,100.0,ge,True,16.76395350318125,10.381880835174359,3940,101.99698701780915
n128,max_abs_K,1000.0,ge,True,16.794448458088755,10.401383160415142,4012,1304.1793631912415
n128,max_abs_K,10000.0,ge,False,,,,
n128,C-norm2,100.0,ge,True,16.72315041063787,10.355786818092241,3884,287.6884201002924
n128,C-norm2,10000.0,ge,True,16.78324326264732,10.39421711501744,3980,16413.437059170006
n128,C-norm2,1000000.0,ge,True,16.795462579123036,10.40203172095519,4020,1645628.532274179
n128,maxRefLev,10,ge,False,,,,
n128,maxRefLev,15,ge,False,,,,
n128,maxRefLev,18,ge,False,,,,
n128,maxRefLev,20,ge,False,,,,
n256,dt,0.001,le,True,14.083474205763222,8.623654474326777,5200,0.0009385226652399701
n256,dt,0.0001,le,True,16.843242229593105,10.348765981558978,8352,6.469580228079534e-05
n256,dt,1e-05,le,True,16.896713755195087,10.382367440718548,9460,8.133470705702932e-06
n256,max_abs_K,100.0,ge,True,16.863909827277052,10.361753286872629,8672,100.52073624559988
n256,max_abs_K,1000.0,ge,True,16.895625364504145,10.381683485120393,9392,1017.306639577284
n256,max_abs_K,10000.0,ge,True,16.898642421788207,10.383579434301977,9908,10048.887509485852
n256,C-norm2,100.0,ge,True,16.88558421142956,10.375373533913274,9036,101.0569025811437
n256,C-norm2,10000.0,ge,True,16.896076917884322,10.381967245768207,9420,11546.880279763658
n256,C-norm2,1000000.0,ge,True,16.898748309803494,10.383645975405075,9968,1136709.595803736
n256,maxRefLev,10,ge,True,16.896713755195087,10.382367440718548,9460,10.0
n256,maxRefLev,15,ge,False,,,,
n256,maxRefLev,18,ge,False,,,,
n256,maxRefLev,20,ge,False,,,,
n512,dt,0.001,le,True,0.010860148206743364,0.00668853950856814,4,3.4575035610630994e-05
n512,dt,0.0001,le,True,0.010860148206743364,0.00668853950856814,4,3.4575035610630994e-05
n512,dt,1e-05,le,True,0.01891558692518634,0.011649700459691744,16,4.190197690448483e-06
n512,max_abs_K,100.0,ge,True,15.284688460814792,9.333562878985523,13020,100.7538082113772
n512,max_abs_K,1000.0,ge,True,15.354650922135033,9.376750811097882,13168,1883.8874021934002
n512,max_abs_K,10000.0,ge,False,,,,
n512,C-norm2,100.0,ge,True,10.213319488975703,6.22038321540483,6280,100.27554692393545
n512,C-norm2,10000.0,ge,True,15.284688460814792,9.333562878985523,13020,10345.237643957735
n512,C-norm2,1000000.0,ge,True,15.316912393426064,9.353454709178049,13088,1220893.211619538
n512,maxRefLev,10,ge,False,,,,
n512,maxRefLev,15,ge,False,,,,
n512,maxRefLev,18,ge,False,,,,
n512,maxRefLev,20,ge,False,,,,
