axisTau,field,n128,n256,n512,E_128_256,E_256_512,Q,p
0.0,C-norm2,0.1373044059218084,0.00678802630103632,0.00487537971844331,0.1305163796207721,0.00191264658259301,68.23862851014987,6.092516745917993
0.012482189173621422,C-norm2,0.1030407994824893,0.007868361090573189,0.004875372452032549,0.09517243839191611,0.00299298863854064,31.798462969883346,4.99088512708509
0.015820591780485428,C-norm2,0.10020786775144842,0.007813989308242767,0.004865199053688105,0.09239387844320565,0.002948790254554662,31.332807852472826,4.96960215579727
0.019148675947968152,C-norm2,0.09950710229903632,0.007735173742547093,0.0048523438351869876,0.09177192855648923,0.0028828299073601054,31.833972695436465,4.9924953030823165
0.02246679693251722,C-norm2,0.09849741876498341,0.007635245630808391,0.004837606099045862,0.09086217313417502,0.002797639531762529,32.47815599636288,5.021397818222527
0.02577530393354659,C-norm2,0.09738340941808882,0.0075183143580141686,0.004821797712685091,0.08986509506007465,0.002696516645329078,33.32636392797333,5.0585920157186886
0.029074540255979133,C-norm2,0.09600380859149098,0.0073888572522216815,0.004805591838713783,0.08861495133926929,0.0025832654135078984,34.30346369982023,5.100282350884949
0.03236484350305168,C-norm2,0.09453274088779372,0.007251447483198825,0.004789456745311918,0.0872812934045949,0.002461990737886907,35.45151168176499,5.147775241372957
0.03564654574771029,C-norm2,0.09284596913517312,0.007110592155553788,0.004773669669116923,0.08573537697961933,0.0023369224864368656,36.687300275132834,5.197208839130911
0.03891997366272582,C-norm2,0.09108359646855467,0.006970535529250899,0.00475831071638973,0.08411306093930378,0.0022122248128611695,38.02193179024901,5.248759928120844
0.04218544863459621,C-norm2,0.08915989443921846,0.006835060670787836,0.004743282585959572,0.08232483376843062,0.002091778084828264,39.356389841511096,5.29852598333325
0.04544328689105036,C-norm2,0.08717890351000923,0.006707402777107661,0.004728329107462438,0.08047150073290157,0.0019790736696452225,40.66119516780154,5.345580716300189
0.048693799639157896,C-norm2,0.08509284930299785,0.006590291343501498,0.004713061503903408,0.07850255795949634,0.00187722983959809,41.81829859273041,5.386062460933374
0.05193729318692186,C-norm2,0.08296942379827534,0.006486025410098553,0.004697033851575489,0.07648339838817678,0.001788991558523064,42.75224107335593,5.417928142971829
0.05517406903258463,C-norm2,0.08079551494248481,0.0063964682570727465,0.0046798087090302995,0.07439904668541207,0.001716659548042447,43.339430215065825,5.43760828128382
0.05840442393323537,C-norm2,0.07860443218938458,0.006322981276867572,0.004661015788379605,0.072281450912517,0.0016619654884879676,43.49154745582451,5.442663136573376
0.06162864997485024,C-norm2,0.07641111205650157,0.006266392468380686,0.004640397138851379,0.07014471958812088,0.0016259953295293065,43.1395578537279,5.430939484980931
