target_gid,direction,offset,local_gid,local_k,local_j,local_i,rho,z,storage,value
23,rho,-4,23,0,5,16,5.1953125,-1.9765625,active,0.31813197931067283
23,rho,-3,23,0,5,17,5.2109375,-1.9765625,active,0.31922694770904542
23,rho,-2,23,0,5,18,5.2265625,-1.9765625,active,0.32077337333249306
23,rho,-1,23,0,5,19,5.2421875,-1.9765625,active,0.32332060955182712
23,rho,0,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415
23,rho,1,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329
23,rho,2,23,0,5,22,5.2890625,-1.9765625,active,0.32280379814331894
23,rho,3,23,0,5,23,5.3046875,-1.9765625,active,0.32109759892406564
23,rho,4,23,0,5,24,5.3203125,-1.9765625,active,0.32161139621571599
23,z,-4,23,0,1,20,5.2578125,-2.0390625,ghost,1.3251487640011199
23,z,-3,23,0,2,20,5.2578125,-2.0234375,ghost,1820.7619179884148
23,z,-2,23,0,3,20,5.2578125,-2.0078125,ghost,1820.499269448356
23,z,-1,23,0,4,20,5.2578125,-1.9921875,active,0.34092772950613809
23,z,0,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415
23,z,1,23,0,6,20,5.2578125,-1.9609375,active,0.31302435196245826
23,z,2,23,0,7,20,5.2578125,-1.9453125,active,0.31493604544518516
23,z,3,23,0,8,20,5.2578125,-1.9296875,active,0.31642944745670065
23,z,4,23,0,9,20,5.2578125,-1.9140625,active,0.31882440563591757
23,rho,-4,23,0,5,17,5.2109375,-1.9765625,active,0.31922694770904542
23,rho,-3,23,0,5,18,5.2265625,-1.9765625,active,0.32077337333249306
23,rho,-2,23,0,5,19,5.2421875,-1.9765625,active,0.32332060955182712
23,rho,-1,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415
23,rho,0,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329
23,rho,1,23,0,5,22,5.2890625,-1.9765625,active,0.32280379814331894
23,rho,2,23,0,5,23,5.3046875,-1.9765625,active,0.32109759892406564
23,rho,3,23,0,5,24,5.3203125,-1.9765625,active,0.32161139621571599
23,rho,4,23,0,5,25,5.3359375,-1.9765625,active,0.32196170557709453
23,z,-4,23,0,1,21,5.2734375,-2.0390625,ghost,1.3251487640011199
23,z,-3,23,0,2,21,5.2734375,-2.0234375,ghost,1778.5552110738349
23,z,-2,23,0,3,21,5.2734375,-2.0078125,ghost,1778.2999828968079
23,z,-1,23,0,4,21,5.2734375,-1.9921875,active,0.34652676131628113
23,z,0,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329
23,z,1,23,0,6,21,5.2734375,-1.9609375,active,0.31347607210166345
23,z,2,23,0,7,21,5.2734375,-1.9453125,active,0.31536770555772314
23,z,3,23,0,8,21,5.2734375,-1.9296875,active,0.31685563806469541
23,z,4,23,0,9,21,5.2734375,-1.9140625,active,0.31925687101811745
44,rho,-4,44,0,66,16,5.1953125,1.9765625,active,0.31813197925379327
44,rho,-3,44,0,66,17,5.2109375,1.9765625,active,0.31922694771463817
44,rho,-2,44,0,66,18,5.2265625,1.9765625,active,0.32077337265269251
44,rho,-1,44,0,66,19,5.2421875,1.9765625,active,0.32332062712375326
44,rho,0,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849
44,rho,1,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486
44,rho,2,44,0,66,22,5.2890625,1.9765625,active,0.3228038135032843
44,rho,3,44,0,66,23,5.3046875,1.9765625,active,0.32109759612998978
44,rho,4,44,0,66,24,5.3203125,1.9765625,active,0.32161139632212404
44,z,-4,44,0,62,20,5.2578125,1.9140625,active,0.31882440549563695
44,z,-3,44,0,63,20,5.2578125,1.9296875,active,0.31642944732575051
44,z,-2,44,0,64,20,5.2578125,1.9453125,active,0.31493604462755515
44,z,-1,44,0,65,20,5.2578125,1.9609375,active,0.31302434877567148
44,z,0,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849
44,z,1,44,0,67,20,5.2578125,1.9921875,active,0.34092728419056378
44,z,2,44,0,68,20,5.2578125,2.0078125,ghost,1820.5437866304298
44,z,3,44,0,69,20,5.2578125,2.0234375,ghost,1820.8064357661103
44,z,4,44,0,70,20,5.2578125,2.0390625,ghost,1.3251511160111056
44,rho,-4,44,0,66,17,5.2109375,1.9765625,active,0.31922694771463817
44,rho,-3,44,0,66,18,5.2265625,1.9765625,active,0.32077337265269251
44,rho,-2,44,0,66,19,5.2421875,1.9765625,active,0.32332062712375326
44,rho,-1,44,0,66,20,5.2578125,1.9765625,active,0.32662465642076849
44,rho,0,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486
44,rho,1,44,0,66,22,5.2890625,1.9765625,active,0.3228038135032843
44,rho,2,44,0,66,23,5.3046875,1.9765625,active,0.32109759612998978
44,rho,3,44,0,66,24,5.3203125,1.9765625,active,0.32161139632212404
44,rho,4,44,0,66,25,5.3359375,1.9765625,active,0.32196170659815287
44,z,-4,44,0,62,21,5.2734375,1.9140625,active,0.31925687085631199
44,z,-3,44,0,63,21,5.2734375,1.9296875,active,0.31685563791594762
44,z,-2,44,0,64,21,5.2734375,1.9453125,active,0.31536770473732623
44,z,-1,44,0,65,21,5.2734375,1.9609375,active,0.31347606895593133
44,z,0,44,0,66,21,5.2734375,1.9765625,active,0.32644387695176486
44,z,1,44,0,67,21,5.2734375,1.9921875,active,0.3465263216226277
44,z,2,44,0,68,21,5.2734375,2.0078125,ghost,1778.3442119081533
44,z,3,44,0,69,21,5.2734375,2.0234375,ghost,1778.5994406760869
44,z,4,44,0,70,21,5.2734375,2.0390625,ghost,1.3251511160111056
