target_gid,direction,offset,local_gid,local_k,local_j,local_i,rho,z,storage,local_value,owner_found,owner_gid,owner_k,owner_j,owner_i,owner_value,same_bits,ulp_difference,level
23,rho,-4,23,0,5,16,5.1953125,-1.9765625,active,0.31813197931067283,true,23,0,5,16,0.31813197931067283,true,0,5
23,rho,-3,23,0,5,17,5.2109375,-1.9765625,active,0.31922694770904542,true,23,0,5,17,0.31922694770904542,true,0,5
23,rho,-2,23,0,5,18,5.2265625,-1.9765625,active,0.32077337333249306,true,23,0,5,18,0.32077337333249306,true,0,5
23,rho,-1,23,0,5,19,5.2421875,-1.9765625,active,0.32332060955182712,true,23,0,5,19,0.32332060955182712,true,0,5
23,rho,0,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415,true,23,0,5,20,0.32662460363864415,true,0,5
23,rho,1,23,0,5,21,5.2734375,-1.9765625,active,0.3264438247710329,true,23,0,5,21,0.3264438247710329,true,0,5
23,rho,2,23,0,5,22,5.2890625,-1.9765625,active,0.32280379814331894,true,23,0,5,22,0.32280379814331894,true,0,5
23,rho,3,23,0,5,23,5.3046875,-1.9765625,active,0.32109759892406564,true,23,0,5,23,0.32109759892406564,true,0,5
23,rho,4,23,0,5,24,5.3203125,-1.9765625,active,0.32161139621571599,true,23,0,5,24,0.32161139621571599,true,0,5
23,z,-4,23,0,1,20,5.2578125,-2.0390625,ghost,1.3251487640011199,false,-1,0,0,0,nan,false,-1,5
23,z,-3,23,0,2,20,5.2578125,-2.0234375,ghost,1820.7619179884148,false,-1,0,0,0,nan,false,-1,5
23,z,-2,23,0,3,20,5.2578125,-2.0078125,ghost,1820.499269448356,false,-1,0,0,0,nan,false,-1,5
23,z,-1,23,0,4,20,5.2578125,-1.9921875,active,0.34092772950613809,true,23,0,4,20,0.34092772950613809,true,0,5
23,z,0,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415,true,23,0,5,20,0.32662460363864415,true,0,5
23,z,1,23,0,6,20,5.2578125,-1.9609375,active,0.31302435196245826,true,23,0,6,20,0.31302435196245826,true,0,5
23,z,2,23,0,7,20,5.2578125,-1.9453125,active,0.31493604544518516,true,23,0,7,20,0.31493604544518516,true,0,5
23,z,3,23,0,8,20,5.2578125,-1.9296875,active,0.31642944745670065,true,23,0,8,20,0.31642944745670065,true,0,5
23,z,4,23,0,9,20,5.2578125,-1.9140625,active,0.31882440563591757,true,23,0,9,20,0.31882440563591757,true,0,5
23,rho,-4,23,0,5,17,5.2109375,-1.9765625,active,0.31922694770904542,true,23,0,5,17,0.31922694770904542,true,0,5
23,rho,-3,23,0,5,18,5.2265625,-1.9765625,active,0.32077337333249306,true,23,0,5,18,0.32077337333249306,true,0,5
23,rho,-2,23,0,5,19,5.2421875,-1.9765625,active,0.32332060955182712,true,23,0,5,19,0.32332060955182712,true,0,5
23,rho,-1,23,0,5,20,5.2578125,-1.9765625,active,0.32662460363864415,true,23,0,5,20,0.32662460363864415,true,0,5
