cycle,rk_stage,gid,i,j,rho,z,adv_rho,adv_z,adv_y,lie_divergence,adv_directional_sum,adv_total_production,adv_directional_residual,curvature_source,rhs_before_ko,ko_rho,rhs_after_ko_rho,ko_z,rhs_after_ko_z,ko_y,rhs_after_ko_y,rhs_after_ko,stored_rhs_after_boundary,boundary_rhs_change,rhs_sum_residual,rhs_sum_ulp
1770,1,23,20,5,5.2578125,-1.9765625,0,0,0,-0,0,0,0,-2.6154689266431035,-2.6154689266431035,-7.1108682045739613e-05,-2.6155400353251492,-182.01028676600782,-184.62582680133298,0,-184.62582680133298,-184.62582680133298,-184.62582680133298,0,0,0
1770,1,23,21,5,5.2734375,-1.9765625,-0,0,0,-0,0,0,0,-2.2396769617528793,-2.2396769617528793,-0.00014448784203935361,-2.2398214495949187,-177.78894298934313,-180.02876443893805,0,-180.02876443893805,-180.02876443893805,-180.02876443893805,0,0,0
1770,1,44,20,66,5.2578125,1.9765625,0,-0,0,-0,0,0,0,-2.6155386020147198,-2.6155386020147198,-7.1109792055157328e-05,-2.6156097118067749,-182.01473861609489,-184.63034832790166,0,-184.63034832790166,-184.63034832790166,-184.63034832790166,0,0,0
1770,1,44,21,66,5.2734375,1.9765625,-0,-0,0,-0,0,0,0,-2.2397415007749468,-2.2397415007749468,-0.00014448912247821966,-2.239885989897425,-177.79336602075003,-180.03325201064746,0,-180.03325201064746,-180.03325201064746,-180.03325201064746,0,0,0
