gid,level,lx1,lx2,k,j,i,rho,z,z4c_chi,z4c_gxx,z4c_gxy,z4c_gxz,z4c_gyy,z4c_gyz,z4c_gzz,z4c_Khat,z4c_Axx,z4c_Axy,z4c_Axz,z4c_Ayy,z4c_Ayz,z4c_Azz,z4c_Gamx,z4c_Gamy,z4c_Gamz,z4c_Theta,z4c_alpha,z4c_betax,z4c_betay,z4c_betaz,z4c_Bx,z4c_By,z4c_Bz
23,3,5,14,0,4,4,5.0078125,-1.9921875,0.37965075328092035,0.65962990588409598,0.081062233701145708,0,1.3131391832343624,0,1.163311766499403,2.4602363024470142,-0.81665435019059174,-0.1345160618567085,0,3.2994085962297621,0,-1.5235604731862047,-3.2450788908586112,26.225684408986755,0,0.90626607895236666,0.66901202648328495,0,0,0,24.97459943657589,-16.445463255129646,0
23,3,5,14,0,4,5,5.0234375,-1.9921875,0.38143430851754234,0.66007391845500851,0.080411222767331106,0,1.3078830599410198,0,1.1670878452183857,2.4323348891513774,-0.83334581380131767,-0.14034398088068126,0,3.3492238239940475,0,-1.557400456390343,-3.2004716446605421,27.049007507863742,0,0.97006437535325074,0.66933163344265068,0,0,0,25.006062880498405,-16.382959141904497,0
23,3,5,14,0,4,6,5.0390625,-1.9921875,0.38316163371412826,0.66048659633621332,0.079679237947530471,0,1.3029449905340738,0,1.1706463868834291,2.5088415621472167,-0.84192846179395886,-0.14625047997753085,0,3.3669235949821039,0,-1.5761498918947099,-3.3179655200382872,27.936941668584254,0,0.96329766291886731,0.6696770539365543,0,0,0,25.074497660956936,-16.295441967702367,0
23,3,5,14,0,4,7,5.0546875,-1.9921875,0.38481878806766057,0.66084711107517891,0.078834722101226426,0,1.2984005751334151,0,1.1739440456288319,2.4840794755648714,-0.83980730202293497,-0.15183440123918532,0,3.343884032407709,0,-1.5756733526958437,-3.2911293436765421,28.920739402373933,0,0.98385322055839275,0.66999399579961527,0,0,0,25.10503221146033,-16.235324829167382,0
23,3,5,14,0,4,8,5.0703125,-1.9921875,0.38641159996972191,0.66115114849768541,0.077939708501418181,0,1.2942407171763948,0,1.1770048952400032,2.5533586613058903,-0.82301311599508986,-0.1567323642824533,0,3.2648399443833527,0,-1.5485432554538974,-3.4151598565854968,30.013761189648818,0,0.92469199177463135,0.67033407043616422,0,0,0,25.168810216521173,-16.153464410266771,0
23,3,5,14,0,4,9,5.0859375,-1.9921875,0.38790842325221231,0.66134897879736321,0.076960819096539526,0,1.2906514498645747,0,1.179734913804579,2.5300990470496929,-0.78783726977529445,-0.16106933516549959,0,3.1173503134553902,0,-1.4886770254733963,-3.4092623982304437,31.233447033061807,0,0.87171937660688581,0.67064820194890928,0,0,0,25.198547825343812,-16.095814125343399,0
23,3,5,14,0,4,10,5.1015625,-1.9921875,0.38930182009960052,0.66142689748199246,0.075927454998547625,0,1.2876764136781356,0,1.1821185604135083,2.591235210552818,-0.72597470151982613,-0.16410658425000446,0,2.8693213667291566,0,-1.3805602869550939,-3.5468901418060459,32.625408197184349,0,0.71676486337191336,0.67098307863369089,0,0,0,25.258401746681812,-16.017875709971666,0
23,3,5,14,0,4,11,5.1171875,-1.9921875,0.39056229174173168,0.66135470491451565,0.074807051876359512,0,1.2854548211074714,0,1.1840688291174037,2.5679005912412611,-0.6323334745111977,-0.16871281504081431,0,2.5013454495030882,0,-1.215105023537312,-3.5695836322669421,34.202758007444636,0,0.53306652104765584,0.67129432422415658,0,0,0,25.287598555016334,-15.962553154626564,0
23,3,5,14,0,4,12,5.1328125,-1.9921875,0.39166112052046692,0.66108347869087658,0.073631374522612106,0,1.284169951866623,0,1.1855055917692578,2.6212934686037634,-0.48036530125023919,-0.15641043744058364,0,1.914391703168536,0,-0.94407282347126287,-3.7652884757203156,36.252803264904699,0,0.17786204429226965,0.67162415142773879,0,0,0,25.343827481499261,-15.889535448185102,0
23,3,5,14,0,4,13,5.1484375,-1.9921875,0.39262103196417081,0.66066150847681726,0.072375327874205669,0,1.283636603066233,0,1.1865054842862579,2.5974055082114056,-0.28779373939650349,-0.20201286930285722,0,1.1593782757935092,0,-0.59940475767257795,-3.7941823804983281,38.256133126792967,0,-0.2299943099009458,0.67193243118845136,0,0,0,25.37231582988511,-15.836532008454304,0
