target_gid,direction,inverse_dx,diss,production_term,block_local_shadow,stitched_owner_shadow,block_production_ulp,stitched_production_ulp
23,rho,64,-7.8125000000000002e-05,-7.1108682045739613e-05,-7.1108682045840091e-05,-7.1108682045840091e-05,7414,7414
23,z,64,-7.8125000000000002e-05,-182.01028676600782,-182.01028676600782,nan,0,9223372036854775807
23,rho,64,-7.8125000000000002e-05,-0.00014448784203935361,-0.00014448784203915322,-0.00014448784203915322,7393,7393
23,z,64,-7.8125000000000002e-05,-177.78894298934313,-177.78894298934313,nan,0,9223372036854775807
44,rho,64,-7.8125000000000002e-05,-7.1109792055157328e-05,-7.1109792055121251e-05,-7.1109792055121251e-05,2662,2662
44,z,64,-7.8125000000000002e-05,-182.01473861609489,-182.01473861609489,nan,0,9223372036854775807
44,rho,64,-7.8125000000000002e-05,-0.00014448912247821966,-0.0001444891224782302,-0.0001444891224782302,389,389
44,z,64,-7.8125000000000002e-05,-177.79336602075003,-177.79336602075003,nan,0,9223372036854775807
