cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
6,0x1.0ccccccccccccp-4,3,f0da73a9e8b1abc5,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33172145876631737,35,56,4,3.640625,0.015625,0,0
6,0x1.0ccccccccccccp-4,4,f0da73a9e8b1abc5,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.3317214662532858,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,1,f0da73a9e8b1abc5,0,1,1.1937439059747379,0.0023437499999999917,0x1.333333333332p-9,0.33172275016113012,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,2,f0da73a9e8b1abc5,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999917,0x1.333333333332p-9,0.33172193468536865,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,3,f0da73a9e8b1abc5,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999917,0x1.333333333332p-9,0.33172255305846005,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,4,f0da73a9e8b1abc5,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999917,0x1.333333333332p-9,0.33172256053888349,35,56,4,3.640625,0.015625,0,0
8,0x1.1ffffffffffffp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171775250953844,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.3317173260059248,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33171764666977238,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33171764855215313,42,45,4,3.6484375,0.0078125,0,0
9,0x1.24cccccccccccp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171832942913937,42,45,4,3.6484375,0.0078125,0,0
9,0x1.24cccccccccccp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33171789572933008,42,45,4,3.6484375,0.0078125,0,0
9,0x1.24cccccccccccp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33171822175918469,42,45,4,3.6484375,0.0078125,0,0
9,0x1.24cccccccccccp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33171822364059356,42,45,4,3.6484375,0.0078125,0,0
10,0x1.2999999999999p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171891577926532,42,45,4,3.6484375,0.0078125,0,0
10,0x1.2999999999999p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33171847488698919,42,45,4,3.6484375,0.0078125,0,0
10,0x1.2999999999999p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.3317188062800443,42,45,4,3.6484375,0.0078125,0,0
10,0x1.2999999999999p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33171880816046206,42,45,4,3.6484375,0.0078125,0,0
11,0x1.2e66666666666p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171951155484886,42,45,4,3.6484375,0.0078125,0,0
11,0x1.2e66666666666p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33171906347390756,42,45,4,3.6484375,0.0078125,0,0
11,0x1.2e66666666666p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33171940022730201,42,45,4,3.6484375,0.0078125,0,0
11,0x1.2e66666666666p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33171940210670992,42,45,4,3.6484375,0.0078125,0,0
12,0x1.3333333333333p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172011675072899,42,45,4,3.6484375,0.0078125,0,0
12,0x1.3333333333333p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33171966148499588,42,45,4,3.6484375,0.0078125,0,0
12,0x1.3333333333333p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172000359581583,42,45,4,3.6484375,0.0078125,0,0
12,0x1.3333333333333p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172000547419506,42,45,4,3.6484375,0.0078125,0,0
13,0x1.38p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172073136165264,42,45,4,3.6484375,0.0078125,0,0
13,0x1.38p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172026891507228,42,45,4,3.6484375,0.0078125,0,0
13,0x1.38p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172061638035055,42,45,4,3.6484375,0.0078125,0,0
13,0x1.38p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.3317206182576829,42,45,4,3.6484375,0.0078125,0,0
14,0x1.3cccccccccccdp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172135538227515,42,45,4,3.6484375,0.0078125,0,0
14,0x1.3cccccccccccdp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172088575886227,42,45,4,3.6484375,0.0078125,0,0
14,0x1.3cccccccccccdp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172123857557961,42,45,4,3.6484375,0.0078125,0,0
14,0x1.3cccccccccccdp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172124045184659,42,45,4,3.6484375,0.0078125,0,0
15,0x1.419999999999ap-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172198880715997,42,45,4,3.6484375,0.0078125,0,0
15,0x1.419999999999ap-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172151201099953,42,45,4,3.6484375,0.0078125,0,0
15,0x1.419999999999ap-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172187017608451,42,45,4,3.6484375,0.0078125,0,0
15,0x1.419999999999ap-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.3317218720512678,42,45,4,3.6484375,0.0078125,0,0
16,0x1.4666666666667p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172263163077931,42,45,4,3.6484375,0.0078125,0,0
16,0x1.4666666666667p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172214766602615,42,45,4,3.6484375,0.0078125,0,0
16,0x1.4666666666667p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172251117635476,42,45,4,3.6484375,0.0078125,0,0
16,0x1.4666666666667p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172251305043615,42,45,4,3.6484375,0.0078125,0,0
17,0x1.4b33333333334p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172328384751298,42,45,4,3.6484375,0.0078125,0,0
17,0x1.4b33333333334p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172279271839195,42,45,4,3.6484375,0.0078125,0,0
17,0x1.4b33333333334p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172316157078829,42,45,4,3.6484375,0.0078125,0,0
17,0x1.4b33333333334p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172316344374925,42,45,4,3.6484375,0.0078125,0,0
18,0x1.5000000000001p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172394545164835,42,45,4,3.6484375,0.0078125,0,0
18,0x1.5000000000001p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172344716245467,42,45,4,3.6484375,0.0078125,0,0
18,0x1.5000000000001p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172382135368966,42,45,4,3.6484375,0.0078125,0,0
18,0x1.5000000000001p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.3317238232255118,42,45,4,3.6484375,0.0078125,0,0
19,0x1.54ccccccccccep-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172461643737872,42,45,4,3.6484375,0.0078125,0,0
19,0x1.54ccccccccccep-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172411099247867,42,45,4,3.6484375,0.0078125,0,0
19,0x1.54ccccccccccep-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172449051927066,22,45,67,3.6484375,-0.0078125,0,0
19,0x1.54ccccccccccep-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172449238993507,42,45,4,3.6484375,0.0078125,0,0
20,0x1.599999999999bp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172529679880303,42,45,4,3.6484375,0.0078125,0,0
20,0x1.599999999999bp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.3317247842026344,42,45,4,3.6484375,0.0078125,0,0
20,0x1.599999999999bp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172516906164717,22,45,67,3.6484375,-0.0078125,0,0
20,0x1.599999999999bp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172517093113507,22,45,67,3.6484375,-0.0078125,0,0
21,0x1.5e66666666668p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172598652992319,22,45,67,3.6484375,-0.0078125,0,0
21,0x1.5e66666666668p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172546678699655,22,45,67,3.6484375,-0.0078125,0,0
21,0x1.5e66666666668p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172585697483981,22,45,67,3.6484375,-0.0078125,0,0
21,0x1.5e66666666668p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172585884313183,22,45,67,3.6484375,-0.0078125,0,0
22,0x1.6333333333335p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172668562464347,22,45,67,3.6484375,-0.0078125,0,0
22,0x1.6333333333335p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172615873954314,22,45,67,3.6484375,-0.0078125,0,0
22,0x1.6333333333335p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172655425277064,22,45,67,3.6484375,-0.0078125,0,0
22,0x1.6333333333335p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172655611984742,22,45,67,3.6484375,-0.0078125,0,0
23,0x1.6800000000002p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.3317273940767681,22,45,67,3.6484375,-0.0078125,0,0
23,0x1.6800000000002p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172686005415342,22,45,67,3.6484375,-0.0078125,0,0
23,0x1.6800000000002p-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172726088926313,22,45,67,3.6484375,-0.0078125,0,0
23,0x1.6800000000002p-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172726275510456,22,45,67,3.6484375,-0.0078125,0,0
24,0x1.6cccccccccccfp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172811187999957,22,45,67,3.6484375,-0.0078125,0,0
24,0x1.6cccccccccccfp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.3317275707246064,22,45,67,3.6484375,-0.0078125,0,0
24,0x1.6cccccccccccfp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172797687803823,22,45,67,3.6484375,-0.0078125,0,0
24,0x1.6cccccccccccfp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172797874262394,22,45,67,3.6484375,-0.0078125,0,0
25,0x1.719999999999cp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33172883902793598,22,45,67,3.6484375,-0.0078125,0,0
25,0x1.719999999999cp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172829074457816,22,45,67,3.6484375,-0.0078125,0,0
25,0x1.719999999999cp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33172870221271328,22,45,67,3.6484375,-0.0078125,0,0
25,0x1.719999999999cp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33172870407602245,22,45,67,3.6484375,-0.0078125,0,0
26,0x1.7666666666669p-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.3317295755140689,22,45,67,3.6484375,-0.0078125,0,0
26,0x1.7666666666669p-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.33172902010764022,22,45,67,3.6484375,-0.0078125,0,0
