cycle,rk_stage,gid,i,j,rho,z,delta,u0_before_copy,u1_before_copy,expected_u1_after,u1_after_copy,copy_ulp_difference,copy_exact,u0_after_copy
1770,1,23,20,5,5.2578125,-1.9765625,1,0.32662460363864415,0.73004470577409242,0.32662460363864415,0.32662460363864415,0,true,0.32662460363864415
1770,1,23,21,5,5.2734375,-1.9765625,1,0.3264438247710329,0.73099618187185311,0.3264438247710329,0.3264438247710329,0,true,0.3264438247710329
1770,1,44,20,66,5.2578125,1.9765625,1,0.32662465642076849,0.73004470591604931,0.32662465642076849,0.32662465642076849,0,true,0.32662465642076849
1770,1,44,21,66,5.2734375,1.9765625,1,0.32644387695176486,0.73099618212182271,0.32644387695176486,0.32644387695176486,0,true,0.32644387695176486
