cycle,time_hex,rk_stage,checkpoint,tree_checksum,active_fine_min,active_min_gid,active_min_i,active_min_j,active_min_rho,active_min_z,active_nonpositive,active_nonfinite,consumed_coarse_min,coarse_min_gid,coarse_min_i,coarse_min_j,coarse_min_rho,coarse_min_z,coarse_nonpositive,coarse_nonfinite,consumed_coarse_cells
1,0x1.3333333333333p-6,2,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S2_AFTER_RECV_U,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S2_AFTER_RECV_U,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
2,0x1.3333333333333p-5,1,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,1,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,1,S2_AFTER_RECV_U,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,1,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,1,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,2,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172318159711534,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,2,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172318159711534,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,2,S2_AFTER_RECV_U,c06467c519b4501d,0.33172318159711534,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,2,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172318159711534,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,2,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172318159711534,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,3,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172464803382823,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,3,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172464803382823,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,3,S2_AFTER_RECV_U,c06467c519b4501d,0.33172464803382823,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,3,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172464803382823,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,3,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172464803382823,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,4,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,4,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,4,S2_AFTER_RECV_U,c06467c519b4501d,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,4,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,4,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,1,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,1,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,1,S2_AFTER_RECV_U,c06467c519b4501d,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,1,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,1,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,2,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,2,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,2,S2_AFTER_RECV_U,c06467c519b4501d,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,2,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,2,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,3,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,3,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,3,S2_AFTER_RECV_U,c06467c519b4501d,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,3,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,3,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,4,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,4,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,4,S2_AFTER_RECV_U,c06467c519b4501d,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,4,S3_AFTER_PHYSICAL_AXIS_BC,c06467c519b4501d,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
3,0x1.8p-5,4,S4_BEFORE_PARENT_STENCIL_GATE,c06467c519b4501d,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
4,0x1.cccccccccccccp-5,1,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0,0.56367136712071531,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,1,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0,0.56367134842210687,21,34,5,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,1,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0,0.56367134842210687,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,1,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0,0.56367134842210687,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,1,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0,0.56367134842210687,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,2,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0,0.56367134842210687,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,2,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0,0.56367134842210687,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,2,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0,0.56367136020896347,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,2,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0,0.56367136020896347,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,2,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0,0.56367136020896347,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,3,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0,0.56367136020896347,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,3,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0,0.56367135106533151,21,34,5,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,3,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0,0.56367135106533151,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,3,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0,0.56367135106533151,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,3,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0,0.56367135106533151,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,4,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0,0.56367135106533151,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,4,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0,0.56367135080562625,21,34,5,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,4,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0,0.56367135080562625,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,4,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0,0.56367135080562625,15,34,37,7.90625,-3.90625,0,0,4656
4,0x1.cccccccccccccp-5,4,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0,0.56367135080562625,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,1,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0,0.56367135080562625,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,1,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,21,34,5,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,1,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,1,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,1,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,2,S0_AFTER_EXP_RK_UPDATE,4b2a6ab534841fc8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,2,S1_AFTER_RESTRICT_U,4b2a6ab534841fc8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0,0.56367133055208896,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,2,S2_AFTER_RECV_U,4b2a6ab534841fc8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0,0.56367134333190383,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,2,S3_AFTER_PHYSICAL_AXIS_BC,4b2a6ab534841fc8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0,0.56367134333190383,15,34,37,7.90625,-3.90625,0,0,4656
5,0x1.f333333333332p-5,2,S4_BEFORE_PARENT_STENCIL_GATE,4b2a6ab534841fc8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0,0.56367134333190383,15,34,37,7.90625,-3.90625,0,0,4656
