axisTau,resolution,region,field,rout16_norm2,rout128_norm2,rout16_over_rout128
0.0,n128,R4,C,0.0004671718297684505,0.0004671718297684505,1.0
0.1540670901698768,n128,R4,C,0.00014676884016588156,0.00014676884016588156,1.0
0.3123754969434922,n128,R4,C,0.000251638468895676,0.000251638468895676,1.0
0.4685625622416315,n128,R4,C,0.00020749148245918143,0.00020749148245918143,1.0
0.623172124422098,n128,R4,C,0.00023221658732182568,0.00023221658732182568,1.0
0.7719172335654273,n128,R4,C,0.0001529230682846374,0.0001529230682846374,1.0
0.9275369664265303,n128,R4,C,0.00023047449144699442,0.00023047449144699442,1.0
1.080198340521055,n128,R4,C,0.0002716621055438137,0.0002716621055438137,1.0
1.2369450516353684,n128,R4,C,0.0002788738424892275,0.0002788738424892275,1.0
1.3858836422867724,n128,R4,C,0.00031080070107942007,0.00031080070107942007,1.0
1.5428315288865486,n128,R4,C,0.00044008871028454146,0.0004400887102862792,0.9999999999960514
1.6984713541272245,n128,R4,C,0.0007744024991041183,0.0007744024991013805,1.0000000000035352
1.8528838721443097,n128,R4,C,0.0012027064378801518,0.0012027064395039627,0.9999999986498693
2.006135392880382,n128,R4,C,0.0015594203123076107,0.0015594203122990947,1.000000000005461
2.1583451284528925,n128,R4,C,0.0019642395787248827,0.0019642395756640017,1.0000000015583033
2.3181676982334865,n128,R4,C,0.0026270870063174238,0.002627087005727495,1.0000000002245562
2.4688307624579653,n128,R4,C,0.003373712008331784,0.0033737120083310247,1.0000000000002252
2.6187842879916565,n128,R4,C,0.0039917015291171315,0.003991701529104722,1.0000000000031088
2.7764624206155277,n128,R4,C,0.004563054624784224,0.004563054624785411,0.9999999999997398
2.9334681390915125,n128,R4,C,0.005537827097303979,0.005537827098755178,0.9999999997379478
3.0814732669886182,n128,R4,C,0.006969375839954883,0.006969375840040761,0.9999999999876779
3.2368609743169796,n128,R4,C,0.008602789144396486,0.0086027891443547,1.0000000000048572
3.391216241055919,n128,R4,C,0.009901395271538804,0.009901395271555846,0.9999999999982788
3.544239023794242,n128,R4,C,0.010746669580120868,0.010746669580145694,0.99999999999769
3.695653167825094,n128,R4,C,0.011545211270093229,0.011545211270041223,1.0000000000045044
3.8453273732965934,n128,R4,C,0.012519846777824233,0.012519846777834338,0.9999999999991929
3.98614742555601,n128,R4,C,0.013480062821262634,0.013480062821346001,0.9999999999938155
0.0,n128,R4,H,0.0004603718598107393,0.0004603718598107393,1.0
0.1540670901698768,n128,R4,H,4.84895037988294e-06,4.84895037988294e-06,1.0
0.3123754969434922,n128,R4,H,9.161058814992275e-05,9.161058814992275e-05,1.0
0.4685625622416315,n128,R4,H,1.1533273673820532e-05,1.1533273673820532e-05,1.0
0.623172124422098,n128,R4,H,2.3107047668276855e-05,2.3107047668276855e-05,1.0
0.7719172335654273,n128,R4,H,1.3876843511455573e-05,1.3876843511455573e-05,1.0
0.9275369664265303,n128,R4,H,1.767948509267634e-05,1.767948509267634e-05,1.0
1.080198340521055,n128,R4,H,2.4387680185778946e-05,2.4387680185778946e-05,1.0
1.2369450516353684,n128,R4,H,2.9299245989213806e-05,2.9299245989213806e-05,1.0
1.3858836422867724,n128,R4,H,5.314633027873502e-05,5.314633027873502e-05,1.0
1.5428315288865486,n128,R4,H,0.00011223022990725773,0.00011223022990766176,0.9999999999964
1.6984713541272245,n128,R4,H,0.0002508905029570067,0.00025089050295652797,1.000000000001908
1.8528838721443097,n128,R4,H,0.0003787120635945385,0.0003787120637046395,0.9999999997092751
2.006135392880382,n128,R4,H,0.0004432879290385237,0.00044328792903158284,1.0000000000156577
2.1583451284528925,n128,R4,H,0.0006313011786524575,0.0006313011786564098,0.9999999999937396
2.3181676982334865,n128,R4,H,0.001105030251584787,0.0011050302515852976,0.9999999999995379
2.4688307624579653,n128,R4,H,0.0016592015985132343,0.0016592015985560848,0.999999999974174
2.6187842879916565,n128,R4,H,0.0020470255011104527,0.002047025501086634,1.0000000000116358
2.7764624206155277,n128,R4,H,0.0023266990787131295,0.0023266990787141717,0.9999999999995521
2.9334681390915125,n128,R4,H,0.0029088117164311374,0.002908811716457729,0.9999999999908583
3.0814732669886182,n128,R4,H,0.0038906684747412254,0.0038906684747398814,1.0000000000003455
3.2368609743169796,n128,R4,H,0.005046299516969339,0.005046299516981314,0.9999999999976268
3.391216241055919,n128,R4,H,0.005945654294044777,0.005945654293024786,1.0000000001715523
3.544239023794242,n128,R4,H,0.006529562208203064,0.006529562208053987,1.000000000022831
3.695653167825094,n128,R4,H,0.00712459559202446,0.007124595592013658,1.0000000000015161
3.8453273732965934,n128,R4,H,0.007854085197229518,0.007854085196615969,1.0000000000781184
3.98614742555601,n128,R4,H,0.008550494726383164,0.00855049472215347,1.0000000004946725
0.0,n128,R4,M,0.0,0.0,nan
0.1540670901698768,n128,R4,M,2.4411677938783294e-05,2.4411677938783294e-05,1.0
0.3123754969434922,n128,R4,M,5.695795210041123e-06,5.695795210041123e-06,1.0
0.4685625622416315,n128,R4,M,1.3015274994629081e-05,1.3015274994629081e-05,1.0
0.623172124422098,n128,R4,M,1.564838823291354e-05,1.564838823291354e-05,1.0
0.7719172335654273,n128,R4,M,1.978692303930022e-05,1.978692303930022e-05,1.0
0.9275369664265303,n128,R4,M,2.523211908416884e-05,2.523211908416884e-05,1.0
1.080198340521055,n128,R4,M,3.4448159652846735e-05,3.4448159652846735e-05,1.0
1.2369450516353684,n128,R4,M,4.2362711972201896e-05,4.2362711972201896e-05,1.0
1.3858836422867724,n128,R4,M,4.409908436473691e-05,4.409908436473691e-05,1.0
1.5428315288865486,n128,R4,M,5.349946851637003e-05,5.349946851636553e-05,1.0000000000000842
1.6984713541272245,n128,R4,M,9.759569907546141e-05,9.759569907545965e-05,1.000000000000018
1.8528838721443097,n128,R4,M,0.00015855217424652054,0.00015855217424642508,1.0000000000006022
2.006135392880382,n128,R4,M,0.00020707700412664183,0.0002070770041267078,0.9999999999996814
2.1583451284528925,n128,R4,M,0.000272952164977587,0.0002729521649874446,0.9999999999638853
2.3181676982334865,n128,R4,M,0.0004012681328467378,0.0004012681328603519,0.9999999999660725
2.4688307624579653,n128,R4,M,0.0005506369326451169,0.000550636932687084,0.9999999999237845
2.6187842879916565,n128,R4,M,0.0006723587294781981,0.0006723587294771888,1.000000000001501
2.7764624206155277,n128,R4,M,0.0007535344999793458,0.0007535344999812093,0.9999999999975271
2.9334681390915125,n128,R4,M,0.0008965527972098069,0.0008965527972033576,1.0000000000071934
3.0814732669886182,n128,R4,M,0.0011474582802743689,0.0011474582802785674,0.999999999996341
3.2368609743169796,n128,R4,M,0.0014818296599594855,0.001481829659952509,1.000000000004708
3.391216241055919,n128,R4,M,0.0017823961000794182,0.0017823961001974227,0.9999999999337944
3.544239023794242,n128,R4,M,0.0019593992552829165,0.001959399255881492,0.9999999996945107
3.695653167825094,n128,R4,M,0.0020847538714189743,0.0020847538698204253,1.0000000007667806
3.8453273732965934,n128,R4,M,0.002260633264255521,0.002260633264398664,0.99999999993668
3.98614742555601,n128,R4,M,0.0024698616312140015,0.0024698616312125495,1.000000000000588
0.0,n128,R4,Z,1.6999935510236157e-06,1.6999935510236157e-06,1.0
0.1540670901698768,n128,R4,Z,2.8916504337621923e-05,2.8916504337621923e-05,1.0
0.3123754969434922,n128,R4,Z,3.7205866979530546e-05,3.7205866979530546e-05,1.0
0.4685625622416315,n128,R4,Z,4.337642159138864e-05,4.337642159138864e-05,1.0
0.623172124422098,n128,R4,Z,4.5298697796360786e-05,4.5298697796360786e-05,1.0
0.7719172335654273,n128,R4,Z,2.5860787941965296e-05,2.5860787941965296e-05,1.0
0.9275369664265303,n128,R4,Z,4.2011675923476845e-05,4.2011675923476845e-05,1.0
1.080198340521055,n128,R4,Z,4.768980971679458e-05,4.768980971679458e-05,1.0
1.2369450516353684,n128,R4,Z,4.61443024495812e-05,4.61443024495812e-05,1.0
1.3858836422867724,n128,R4,Z,4.801690855764735e-05,4.801690855764735e-05,1.0
