JobID|JobName|Partition|QOS|State|ExitCode|Elapsed|Timelimit|AllocTRES|NodeList
57525355|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:00:21|00:10:00|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525355.extern|extern|||COMPLETED|0:0|00:00:21||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525355.0|python3|||COMPLETED|0:0|00:00:12||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525422|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:00:54|00:10:00|billing=32,cpu=32,energy=11967,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525422.extern|extern|||COMPLETED|0:0|00:00:54||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525422.0|python3|||COMPLETED|0:0|00:00:37||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525474|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:02:56|00:15:00|billing=32,cpu=32,energy=61128,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525474.extern|extern|||COMPLETED|0:0|00:02:56||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525474.0|python3|||COMPLETED|0:0|00:01:46||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525753|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|CANCELLED by 102811|0:0|00:04:15|00:15:00|billing=32,cpu=32,energy=104819,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525753.extern|extern|||COMPLETED|0:0|00:04:16||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57525753.0|python3|||CANCELLED|0:15|00:04:04||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
