resolution,file,time,axisTau,cycle,variable,spacing,eta4_rho_l2,eta4_z_l2,eta4_max_direction,eta4_dominant_direction,fluctuation_rms,k90,k95,k99,f2d_above_n256_nyquist_50,f2d_above_own_nyquist_50,frho_above_n256_nyquist_50,fz_above_n256_nyquist_50,f2d_above_n256_nyquist_65,f2d_above_own_nyquist_65,frho_above_n256_nyquist_65,fz_above_n256_nyquist_65,f2d_above_n256_nyquist_80,f2d_above_own_nyquist_80,frho_above_n256_nyquist_80,fz_above_n256_nyquist_80,d4_rho_seam_rms,d4_rho_away_rms,d4_rho_seam_over_away,duplicate_max_abs,duplicate_max_relative
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_chi,0.03125,0.009603429361498005,0.008839252550134577,0.009603429361498005,rho,0.026408857679575213,4.675858833249925,6.186520917838362,6.379838254917212,8.75688994250362e-10,8.75688994250362e-10,1.4892213933576772e-08,5.040659254262168e-10,1.5995422870627877e-10,1.5995422870627877e-10,2.5894997726125948e-09,1.3896544930716022e-10,3.313821504854359e-11,3.313821504854359e-11,5.118878785155045e-10,2.055989726262277e-11,1.4656498581183631e-06,1.4082421227634319e-06,1.0407655290208064,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gxx,0.03125,0.008308296785457478,0.008443241095412238,0.008443241095412238,z,0.046668767286907505,6.379838254917212,6.379838254917212,6.9274974871930155,2.2259088637870224e-08,2.2259088637870224e-08,4.189507175612946e-08,9.005825283357361e-10,4.349723033732749e-09,4.349723033732749e-09,7.715884598832627e-09,2.3802422058337285e-10,9.074018956020063e-10,9.074018956020063e-10,1.5889193530276656e-09,3.454969118211693e-11,5.48219521907872e-06,3.755362033377259e-06,1.459831347805999,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gxy,0.03125,0.0062198080981257205,0.006082153447829318,0.0062198080981257205,rho,0.06838973379945465,4.391519171645142,6.379838254917212,6.9274974871930155,3.923983489933806e-09,3.923983489933806e-09,2.1900795513166808e-08,5.681128152044543e-10,3.6122125637476e-10,3.6122125637476e-10,2.934453152023067e-09,6.521499162193635e-11,4.0331491149938085e-11,4.0331491149938085e-11,4.98954501615068e-10,4.0163543960321875e-12,1.6571385780290077e-06,2.2761554244971524e-06,0.728042804121535,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gxz,0.03125,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gyy,0.03125,0.008157963814272976,0.008273294827106387,0.008273294827106387,z,0.0721814117987887,4.391519171645142,4.675858833249925,5.606417402869167,3.4286105469692214e-09,3.4286105469692214e-09,1.3864735715197631e-08,6.107634139241755e-10,6.518044750711496e-10,6.518044750711496e-10,2.6946079453045236e-09,1.7321893146645713e-10,1.2127389406483085e-10,1.2127389406483085e-10,5.567242248993482e-10,2.5942088901060914e-11,2.2495601482556005e-06,1.8567033383915937e-06,1.211588357386495,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gyz,0.03125,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_gzz,0.03125,0.009765826745620217,0.008861890264550967,0.009765826745620217,rho,0.035956832844916554,4.391519171645142,5.606417402869167,6.379838254917212,7.839467740525126e-10,7.839467740525126e-10,1.3749432922509052e-08,5.163188986438303e-10,1.5733907698352186e-10,1.5733907698352186e-10,2.7757195065748995e-09,1.442023281197082e-10,3.219143451720644e-11,3.219143451720644e-11,5.809296713103831e-10,2.1467654386652298e-11,2.448201613452751e-06,1.82687480596121e-06,1.3401036596303966,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Khat,0.03125,0.03961206666896553,0.06663883994261119,0.06663883994261119,z,0.0002021207763939029,6.379838254917212,6.379838254917212,9.279781376757544,4.315425517516509e-09,4.315425517516509e-09,1.60724164726302e-08,2.867213216918319e-09,1.7371163403705082e-09,1.7371163403705082e-09,4.086878610150734e-09,1.4435978318983978e-09,5.520496626514964e-10,5.520496626514964e-10,1.1384064600197776e-09,9.59167862408047e-10,4.519732170214915e-08,2.091030849218986e-07,0.21614851675208924,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Axx,0.03125,0.013670859542987116,0.00851021290468822,0.013670859542987116,rho,0.0006814387558845846,6.379838254917212,6.379838254917212,6.9274974871930155,5.678522342367673e-08,5.678522342367673e-08,5.722295989846598e-08,5.038017479565509e-10,6.604568506664009e-09,6.604568506664009e-09,7.928798925805527e-09,1.4295174102792282e-10,1.037431663026626e-09,1.037431663026626e-09,1.431779496830896e-09,2.3778094279579314e-11,5.42962554581156e-08,1.6101366594723786e-07,0.3372151988703306,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Axy,0.03125,0.02171026763163079,0.024227929385396783,0.024227929385396783,z,0.00028662009595568786,4.391519171645142,6.379838254917212,6.9274974871930155,4.6701294382608146e-09,4.6701294382608146e-09,2.43728311676018e-08,1.247480898605701e-09,6.909188592000788e-10,6.909188592000788e-10,3.3013830064293653e-09,1.542732077689893e-10,1.1431940479762704e-10,1.1431940479762704e-10,5.832925864684437e-10,1.5711522598589702e-11,1.3054454989159823e-08,3.786542858856074e-08,0.34475920118204323,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Axz,0.03125,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Ayy,0.03125,0.017216422572371416,0.01032590996458477,0.017216422572371416,rho,0.00035621921073756744,4.391519171645142,4.675858833249925,5.606417402869167,7.178551305242901e-09,7.178551305242901e-09,2.7233828620021287e-08,5.508720365478403e-10,1.0123779732695768e-09,1.0123779732695768e-09,4.76951712591932e-09,1.6109410438706048e-10,1.7367119390843153e-10,1.7367119390843153e-10,9.660624244196044e-10,2.9063494133349455e-11,2.4169651481012126e-08,5.888115362360317e-08,0.4104819607368927,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Ayz,0.03125,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Azz,0.03125,0.017506259502999704,0.008232752337779977,0.017506259502999704,rho,0.00042624317919199705,4.391519171645142,4.675858833249925,6.379838254917212,1.8771210532201067e-09,1.8771210532201067e-09,2.587915933954432e-08,9.97698603312303e-10,3.35676517456858e-10,3.35676517456858e-10,4.100322531991615e-09,2.772186736165043e-10,6.634879559603006e-11,6.634879559603006e-11,7.712557681773379e-10,4.1355965759118334e-11,2.2195608380537936e-08,2.96298176955915e-08,0.7490970225411606,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Gamx,0.03125,0.01354463875719529,0.009552897677088968,0.01354463875719529,rho,0.14944894162458816,6.379838254917212,6.379838254917212,6.9274974871930155,2.463562871746765e-09,2.463562871746765e-09,1.6292662474415677e-08,2.851449455125568e-10,3.951502997559419e-10,3.951502997559419e-10,2.483254124558338e-09,7.373932237065243e-11,8.796459987366848e-11,8.796459987366848e-11,4.689814358962993e-10,1.0563306742806745e-11,2.9591413820357215e-05,1.742033457605676e-05,1.6986708085763014,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Gamy,0.03125,0.010618486587172205,0.012833003484193462,0.012833003484193462,z,0.1841261867056981,4.391519171645142,4.675858833249925,6.379838254917212,6.05832536735521e-10,6.05832536735521e-10,5.290162288760804e-09,1.428653451445064e-10,9.742311525813213e-11,9.742311525813213e-11,9.81803283516585e-10,1.5290894479666888e-11,1.761203765009039e-11,1.761203765009039e-11,1.9783170668746274e-10,7.099314850339398e-13,6.566208290976737e-06,5.952123636404843e-06,1.103170681900999,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Gamz,0.03125,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n256,n256_reference_shock_record.state.00059.bin,14.75427997791208,8.029077031039172,2924,z4c_Theta,0.03125,0.5167736367537548,0.27685674948333544,0.5167736367537548,rho,1.335853848810329e-06,15.543140876021134,16.819252208607498,18.81952576368168,2.2106970645254342e-07,2.2106970645254342e-07,5.201237728965023e-07,2.0756601947109293e-06,3.055415176524766e-08,3.055415176524766e-08,7.463340425033488e-08,2.075496202530343e-06,1.0675451596511753e-08,1.0675451596511753e-08,2.8448274606188624e-08,2.0747047870701486e-06,5.981436706911234e-09,6.447354448847915e-08,0.09277350475713658,0.0,0.0
