elapsed=2.673675e+02 cycle=490 time=2.026718e+00 dt=4.133123e-03
elapsed=2.712040e+02 cycle=500 time=2.068049e+00 dt=4.132993e-03
elapsed=2.750376e+02 cycle=510 time=2.109378e+00 dt=4.132864e-03
elapsed=2.788727e+02 cycle=520 time=2.150706e+00 dt=4.132735e-03
elapsed=2.827090e+02 cycle=530 time=2.192033e+00 dt=4.132607e-03
elapsed=2.865465e+02 cycle=540 time=2.233359e+00 dt=4.132479e-03
elapsed=2.903858e+02 cycle=550 time=2.274683e+00 dt=4.132352e-03
elapsed=2.942247e+02 cycle=560 time=2.316006e+00 dt=4.132225e-03
elapsed=2.980616e+02 cycle=570 time=2.357327e+00 dt=4.132099e-03
elapsed=3.018988e+02 cycle=580 time=2.398648e+00 dt=4.131974e-03
elapsed=3.057339e+02 cycle=590 time=2.439967e+00 dt=4.131849e-03
elapsed=3.099064e+02 cycle=600 time=2.481285e+00 dt=4.131724e-03
elapsed=3.288868e+02 cycle=610 time=2.522602e+00 dt=4.131600e-03
elapsed=3.327214e+02 cycle=620 time=2.563917e+00 dt=4.131477e-03
elapsed=3.365591e+02 cycle=630 time=2.605231e+00 dt=4.131354e-03
elapsed=3.403952e+02 cycle=640 time=2.646544e+00 dt=4.131231e-03
elapsed=3.442295e+02 cycle=650 time=2.687856e+00 dt=4.131109e-03
elapsed=3.480664e+02 cycle=660 time=2.729167e+00 dt=4.130988e-03
elapsed=3.519014e+02 cycle=670 time=2.770476e+00 dt=4.130867e-03
elapsed=3.557370e+02 cycle=680 time=2.811784e+00 dt=4.130746e-03
elapsed=3.595712e+02 cycle=690 time=2.853091e+00 dt=4.130626e-03
elapsed=3.634069e+02 cycle=700 time=2.894397e+00 dt=4.130507e-03
elapsed=3.672438e+02 cycle=710 time=2.935701e+00 dt=4.130387e-03
elapsed=3.710807e+02 cycle=720 time=2.977005e+00 dt=4.130268e-03
elapsed=3.899863e+02 cycle=730 time=3.018307e+00 dt=4.130150e-03
elapsed=3.938228e+02 cycle=740 time=3.059608e+00 dt=4.130032e-03
elapsed=3.979959e+02 cycle=750 time=3.100908e+00 dt=4.129914e-03
elapsed=4.018340e+02 cycle=760 time=3.142206e+00 dt=4.129797e-03
