case_id,gauge,resolution,target,accepted_cycle,checkpoint_sha256,finder_authority,mass,spin,area,hrms,hmean,mean_radius,minimum_radius
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,found_shape_record,1.016288425474739,3.298874046922767e-06,51.91630966334142,0.06677464378042358,0.7559583070438026,0.641651592371856,0.6120331711756243
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,found_shape_record,1.016462106085185,7.636146773668078e-06,51.93405585883475,0.07140438623622664,0.7406675687402472,0.6445595262525523,0.6156595715539361
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,found_shape_record,1.016991185010223,1.375796909905401e-05,51.9881343425475,0.07344125076973103,1.164456315675443,0.6509678480970218,0.6225337996488087
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,found_shape_record,1.026359329031065,3.516727685719236e-05,52.95033639702188,0.9796963829287086,40.45151823849334,0.4456592089205378,0.4294077985546676
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,found_shape_record,1.015064927894374,0.0001036816188915711,51.79138191833584,0.85270902067527,34.75988347564089,0.4539207653057416,0.4378958292963189
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,found_shape_record,0.8892145322260047,0.0003185772853253798,39.74504024176431,0.1983281995338902,3.872949863812043,0.4955807751789386,0.483339527534411
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,found_shape_record,0.9067865507429019,3.04931919225491e-06,41.33138852649331,0.02632277125391008,-3.669569632889214,0.8706411846891439,0.8595183555777927
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,found_shape_record,1.016288224641986,3.298862365209091e-06,51.91628914457117,0.0667762393570161,0.7559164501801986,0.6416517233187411,0.6120333837687665
candidate_a_r0,candidate_a,R0,0.25,17,5d191c36556dfb9ea3e78db21854c0ce90078d9ab2176b4a98c63d4e9e3f363c,found_shape_record,1.016469109864125,7.631902786943365e-06,51.93477154886999,0.07151522933399637,0.750398533746224,0.6446087929744613,0.6156946802593081
candidate_a_r0,candidate_a,R0,0.5,33,1aa6be942d8b52016b0775785d3d20cdd272d2946de638e39d31cfab029cdec0,found_shape_record,1.016643402903682,1.609944999272204e-05,51.95258349007027,0.05986682134662981,0.8891612448734286,0.6480190973411843,0.6189012079055087
candidate_a_r0,candidate_a,R0,1.0,65,e2fb9b094b9b1b04a7f5951b919ca4475fe47e48bb8a75f2dd03c8baf8afed48,found_shape_record,1.028597882390688,3.635015662422944e-05,53.18156421873717,1.015146859944401,41.27303569496929,0.4462210156745871,0.4299395681073319
candidate_a_r0,candidate_a,R0,2.0,129,f04e7284ef1f28868edab62cdf08ec5a0b54d410c0dc3dd13d0837218f38665d,found_shape_record,1.026750934086185,0.0001123563849352809,52.99075012929876,1.053858030473171,39.1947215797294,0.4559051050558302,0.439460424919246
candidate_a_r0,candidate_a,R0,5.0,321,84fe1c3aa7471987ba3dab98b39c7a52965c045e80740cf1d27502183dc97f3d,found_shape_record,0.9238965217454594,0.0003897637209107603,42.90584869397571,1.021129933843226,16.15363863878003,0.4932987820438988,0.4784346888823609
candidate_a_r0,candidate_a,R0,10.0,641,0e19f10342f570688d566f5585a48cb2ff0d056388db35b6ef0ead81664c320c,found_shape_record,0.7612924831084585,0.0005201266405639333,29.13217104702846,2.104246110049993,11.50973754333206,0.507398461679988,0.4933908244217209
