case_id,gauge,resolution,target,accepted_cycle,checkpoint_sha256,finder_authority,mass,spin,area,hrms,hmean,mean_radius,minimum_radius
candidate_c_r0,candidate_c,R0,0.1,7,9045c1818dcf9eab686cf35eeddfbc636cd606e9beccb3c891b619745d2d551a,found_shape_record,1.016288796701969,3.299041945927697e-06,51.91634759106127,0.06676702511758018,0.75624723605901,0.6416519290788051,0.6120325708383657
candidate_c_r0,candidate_c,R0,0.25,17,e498f402355a183e8b863869d544fce684a857393da137679bc6c7f67d2cc9db,found_shape_record,1.016463260963525,7.643900340145307e-06,51.93417387120184,0.07140566787241454,0.7416672750895824,0.6445634714021651,0.6156622151130959
candidate_c_r0,candidate_c,R0,0.5,33,f3719b14d47856002a93afa8b55590703917e6523ea779b0611f737584cd57c2,found_shape_record,1.016991006826099,1.375744433897777e-05,51.98811612516393,0.07344415225605858,1.164767816059807,0.6509703203900293,0.6225366068580767
candidate_c_r0,candidate_c,R0,1.0,65,3899e5656a9be9306ffde28225e02897bd7d951a7150770376076f6202215538,found_shape_record,1.026363788371711,3.51682237445983e-05,52.95079651677389,0.9797730747621262,40.453281024053,0.4456598055992408,0.4294078780075672
candidate_c_r0,candidate_c,R0,2.0,129,32a0de56c79e8e9a5f5cf8026b3abe1b546c3a7e1d1a5dfedb63e04230e9986c,found_shape_record,1.015063264135357,0.0001036803002007878,51.79121213942932,0.8526126466106086,34.75772804620419,0.4539222930386561,0.4378986301816931
candidate_c_r0,candidate_c,R0,5.0,321,bf373ff17d6d6bb0121c95cd959b31fa669958c8bb721cbd66d23d155082ee15,found_shape_record,0.8892567460371682,0.0003186509973696282,39.74881397508046,0.1983690095951015,3.883206608105393,0.49555320917722,0.4833045415199214
candidate_c_r0,candidate_c,R0,10.0,641,bbde9bdc5f5ddd5eea7e503ae66ef488497390cedc96404dbebe03c7e090f524,found_shape_record,0.9052089233190745,3.154478103197912e-06,41.18769691647327,0.02697694959516717,-3.801453421293992,0.8903879752004364,0.8789317914887631
standard_r1,standard,R1,0.1,13,bb95affefe36332ad39723f07101d109e40fe4e85df9399201a284d4e4699da8,found_shape_record,0.9991942184071904,7.189026846783927e-08,50.18450909297309,0.03723927975237847,2.36747852935907,0.4924693069810259,0.4896903446339655
standard_r1,standard,R1,0.25,33,7fb05a57eb8c202d065136ff879a364a2df253623cbffa1ed9e7ab78f4647072,found_shape_record,0.9989742725437504,1.82434326872934e-07,50.16241797167909,0.0365011336564084,1.96291622564958,0.4937273754196911,0.4909460449216665
standard_r1,standard,R1,0.5,65,c0beda690013fa0afa74762fe8bff13f17e170414362e5ba76102fb2685d214d,found_shape_record,0.9982172005753192,3.752704209952202e-07,50.08641567351399,0.03563566887563822,1.292498311885868,0.4958181972082012,0.4930309333302259
standard_r1,standard,R1,1.0,129,3391a158351e3233427cd85dd8890ac5bb86e0ca6c638577b72999e6f41fc410,found_shape_record,0.9951764242152544,7.893429436290956e-07,49.78173325056522,0.03498656350198544,0.0412884963822282,0.4998159032191403,0.4970141802426062
standard_r1,standard,R1,2.0,257,1313f928b41f16d8400d621a653bb55761ab6887d5c1ea63cba5875e3955aafd,found_shape_record,0.9824028087376006,1.564043798184621e-06,48.51198510662103,0.0373328751955541,-2.17275422631479,0.5072453747125746,0.5044061447190201
standard_r1,standard,R1,5.0,641,91fa05de5b8556f291fb02b919c6b34ba627ab1b283330c136387edb9169b75b,found_shape_record,0.8846799399273495,2.34405418586144e-06,39.34071193283391,0.07212304918158942,-7.713364274181671,0.5332968022367932,0.530154088624254
standard_r1,standard,R1,10.0,1281,d36529f421431123878b200cfb508d339f2384faed49617d5853fdf0d0b98327,found_shape_record,0.8632792651362349,1.529627111946322e-05,37.46040556744074,0.03983004871679657,-3.454651432028911,0.7541092516450962,0.7429389683882907
candidate_a_r1,candidate_a,R1,0.1,13,bb92bf77e92acd356f9f4a07c618f83d54251ffb481ed3d3055ec71faad23768,found_shape_record,0.9991942373633205,7.189030331735346e-08,50.18451099711561,0.03723960684110317,2.367440812588743,0.4924694594744272,0.4896904935018398
candidate_a_r1,candidate_a,R1,0.25,33,7e66f7f5342de0052b2b224a6562688b6a8783d9bfa2eb5aba3c210a9e937ea8,found_shape_record,0.9989748396933131,1.824653858003166e-07,50.16247492930508,0.03651213774849153,1.961524772835181,0.4937326519721905,0.4909511954078664
candidate_a_r1,candidate_a,R1,0.5,65,0c83f9efd415753d740dbb78deaf4872bf802d55c01242e6bdec4cd4149fd8ee,found_shape_record,0.9982225150507642,3.760937546965965e-07,50.08694899178307,0.03576369853836441,1.27390562357877,0.4958828301009365,0.4930939700955327
candidate_a_r1,candidate_a,R1,1.0,129,b0b7445dbbf5fc7c174e6a3d0aa07d66b6625f3c419190ab393737731e5e6de1,found_shape_record,0.995189767205457,8.087343309944635e-07,49.78306817292795,0.03613902963253986,-0.1305309883370175,0.500368979587685,0.4975527263238452
candidate_a_r1,candidate_a,R1,2.0,257,2e828ab0db6570cf6c1b2df3b1461744508a5c8473d244971328d408a7fac8f8,found_shape_record,0.9819269644068422,1.893534786675857e-06,48.46500119680695,0.0466757497807588,-3.194234515610894,0.510154564739108,0.5072271228318967
candidate_a_r1,candidate_a,R1,5.0,641,8e1f045afb82d7aa07d7d6de1e6805313a4e0bf4e6952268e21585c92d6c5ee1,found_shape_record,0.8515880283969763,9.106320844401058e-06,36.4526369582745,0.3141953231090109,-14.55811162682579,0.5398174038876179,0.535856873014176
candidate_a_r1,candidate_a,R1,10.0,1281,f71cd8dfc38092b07b533bede43be6aded29676cc6b6cccd9f66a722a2847ebe,found_shape_record,0.6307260706004842,6.202625071039044e-05,19.99638168888996,1.946952060310189,-16.30092256662093,0.5957412241854838,0.5853254307784259
candidate_c_r1,candidate_c,R1,0.1,13,1a897e2d4b337eab59177d966aff34d13c3d3a144bcbfa66317c44e6ee41bc6d,found_shape_record,0.9991942184583815,7.189030970977037e-08,50.18450909811525,0.03723927721077105,2.367478248322486,0.4924693078273791,0.4896903453788302
candidate_c_r1,candidate_c,R1,0.25,33,1997c8fbeb9b3f003ceb65bc12a088c4db29f2ceddcfd10789e4ae0e3f0ce4e0,found_shape_record,0.9989742745297076,1.824380639112289e-07,50.16241817112451,0.03650109509864806,1.962907442405387,0.4937273998830364,0.4909460687516968
candidate_c_r1,candidate_c,R1,0.5,65,355578231a5e72ebcfbe20e5e942f9f617aefef6149cd5c9779a1ade1d56db4e,found_shape_record,0.998217219468248,3.752760886278135e-07,50.08641756945226,0.03563544499078929,1.292393186920569,0.4958185074719095,0.4930312363786962
candidate_c_r1,candidate_c,R1,1.0,129,1b09d05ba802dc6c55594edc57d1a8f17bfce2f12d6d9b26eab79a03091df5ab,found_shape_record,0.9951763899542385,7.893864758601565e-07,49.7817298228861,0.03498785772577697,0.0405809336670131,0.4998181913871457,0.4970164148064171
candidate_c_r1,candidate_c,R1,2.0,257,522e7838a9f5b4cb197a5f58578fa8058eba89656bf4fd980efe9085b496a3ed,found_shape_record,0.9824036438269933,1.563916672056421e-06,48.5120675816731,0.03733164363812139,-2.171914398107484,0.5072423140815582,0.5044031493853056
candidate_c_r1,candidate_c,R1,5.0,641,5055bbbe8cc12f6d0d0f14de21e5bd2d828e77c9079df331c241ccd8433a6242,found_shape_record,0.8847379106387535,2.346089629776846e-06,39.34586788511903,0.07199586066205349,-7.709513567443139,0.5332989831924508,0.5301574974181822
candidate_c_r1,candidate_c,R1,10.0,1281,d7cc5307faa4c4cef7bf5f779e67ed3503f8dbe600713eff4cd19fe043b74532,found_shape_record,0.8526922811724325,8.416635535290522e-06,36.54723439796018,0.04463485568780935,-3.706383451781177,0.74576418744578,0.7361637046420588
standard_r2,standard,R2,0.1,20,62d3cc1660c178c23df15de68c8f85c72765841a4ff7d2ea5cf972c41eb2b2c8,found_shape_record,0.9994577296161176,1.089727324514927e-07,50.21098227342556,0.1005104559548104,7.866514566061279,0.4835162816255,0.4808950395885389
standard_r2,standard,R2,0.25,49,5e15cf5cae3d3bd6517f790d263e225944ba76f11ac256407b38d61b068e175b,found_shape_record,0.9992160303748614,2.721865129366003e-07,50.18670012814302,0.0960489877467965,7.384657205685653,0.4847540862060875,0.4821287263526017
standard_r2,standard,R2,0.5,98,ef833825f9f11b7d59d01f7bd7add562ecaf9c2069e669d60e4cc8f051b487e3,found_shape_record,0.9984212155782997,5.445587973639968e-07,50.10689102587038,0.09950694691414885,7.173709835300214,0.4868062240358382,0.4841724569193173
standard_r2,standard,R2,1.0,195,cbf396568dfe217870977fe59eff6060a614d3ab1809d322f1b4dce570d6f354,found_shape_record,0.995267220512369,1.093223776729088e-06,49.7908174754797,0.07628729136354417,5.000663643472225,0.4907292104650769,0.4880772193408326
standard_r2,standard,R2,2.0,388,853060353a1c07cacaf33aa4bc3f3acd6380bda68d10ab5971bf062a41a12040,found_shape_record,0.9820887152516955,2.220265007480623e-06,48.48096959534841,0.04902268644553426,1.290100429087845,0.4980699512094928,0.4953772304849166
standard_r2,standard,R2,5.0,964,1353bce3793655b6caa21fbdfe0d3c1255902b1c0a70061075a2c7f57d6772dc,found_shape_record,0.8821112330775058,5.577550685529161e-06,39.1125886457571,0.08329540039012695,-6.501238065296972,0.5237033725097888,0.520735307209139
standard_r2,standard,R2,10.0,1924,e0afe8f96a6b893b83b6d91fec461ae62e46539d288a249310e1644fe3419c9f,found_shape_record,0.8588091551045802,2.418913579773253e-05,37.0734656613086,0.03380049081822805,-4.169132315364441,0.7426809747577661,0.7342677258517591
candidate_a_r2,candidate_a,R2,0.1,20,8313d464eadb22dc247fd99ec804a1b362a39981049318e26bc38a478a80f467,found_shape_record,0.9994577717748686,1.089733028505226e-07,50.21098650938729,0.1005109416691835,7.866494335518415,0.483516426167897,0.4808951804739638
candidate_a_r2,candidate_a,R2,0.25,49,db155b74efd2112553199c713eb560c5849f24a1568b97df2c71a8e745754907,found_shape_record,0.9992174149671362,2.722328232009393e-07,50.1868392135126,0.0960652499770533,7.383917044713988,0.484759010972411,0.4821335285716749
candidate_a_r2,candidate_a,R2,0.5,98,3b000999a97657799695c24c79dbb94b4f4ab3e4d38eee4a4aa5035b49964527,found_shape_record,0.998436715417334,5.455545692011369e-07,50.10844679163691,0.0995006728601805,7.153174022652966,0.4868656330585511,0.4842303684581162
candidate_a_r2,candidate_a,R2,1.0,195,def3223b4da7f58d4939732d2a348c47686161378144c173bd3dc6150a9c0497,found_shape_record,0.9953707576122331,1.108722318402955e-06,49.80117743686687,0.07604816641805462,4.800776195279765,0.4912293666013915,0.4885639369125085
candidate_a_r2,candidate_a,R2,2.0,388,9caff294eb0086f6279ecb63112a207a8af619da461f27b11437984864769719,found_shape_record,0.9821468027340887,2.404817729874224e-06,48.4867047610243,0.0533362500020859,0.1589132519174536,0.500614004557712,0.4978401216821689
candidate_a_r2,candidate_a,R2,5.0,964,55ccdab911d24cac5eff532ea3086ddb5a03d4adf48fad378df289bfa8f4e39b,found_shape_record,0.853502531581924,1.139630286039442e-05,36.61672366413745,0.3523264838423623,-12.81269468158966,0.5271159992998845,0.5234383998081876
candidate_c_r2,candidate_c,R2,0.1,20,872505b87332bb56eefd71384fe11e5e0b9e4c0d10ee36c8cee74a67db7c7931,found_shape_record,0.9994577297584344,1.089727226893472e-07,50.21098228772505,0.1005104510705314,7.866514204386249,0.4835162822385241,0.4808950402143236
candidate_c_r2,candidate_c,R2,0.25,49,1be4d720cb6bee5ba870004205fc9a54582a9255cd31c57dae1726863c6399e5,found_shape_record,0.9992160351976608,2.721867503591296e-07,50.18670061260359,0.0960488418994272,7.384645459930966,0.4847541085481236,0.4821287483195255
candidate_c_r2,candidate_c,R2,0.5,98,23072b90a596691798a72b761cdb218d26416c4d33790d25cf7fd3e14e771145,found_shape_record,0.9984212717838252,5.445578837421128e-07,50.1068966673455,0.09950472671654634,7.173532440359123,0.4868065100877333,0.4841727362853007
candidate_c_r2,candidate_c,R2,1.0,195,1ec12d14756ae0dddf1c2d1eac591b551082ecfb9f7c9665342058207b239712,found_shape_record,0.9952674850527253,1.093235182108393e-06,49.7908439441146,0.07627933168872285,4.999614927172006,0.4907312934355877,0.4880792473337636
candidate_c_r2,candidate_c,R2,2.0,388,fbe9d44029a302062591ce66cc5f603a4f9e7de91d0698da9d70a15d17181296,found_shape_record,0.9820892332445615,2.220221091191558e-06,48.48102073696653,0.04902941700121646,1.291419409600502,0.4980671394697477,0.495374475691835
candidate_c_r2,candidate_c,R2,5.0,964,6941b77c61d2fbedd903e9b77044829f06f7525ec2e8ceae4460aa2be8738842,found_shape_record,0.8821699970211168,5.571288674385909e-06,39.1177999760861,0.08313708367083279,-6.498948385487575,0.5237090070599807,0.5207417499089841
