case_id,gauge,resolution,target,accepted_cycle,checkpoint_sha256,measure,region,volume,gamma_rms,chi_gradient_rms,lapse_gradient_rms,damping_rms
standard_r0,standard,R0,0.0,0,,coordinate,global,8000.0,3.3297429687040033e-16,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,coordinate,core,0.030517578125,1.2691553730131522e-15,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,coordinate,ah_shell,4.119873046875,1.6923301773613228e-15,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,coordinate,exterior,2100.921630859375,4.71144881862862e-16,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,proper,global,11966.136840531673,4.613814418419545e-16,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,proper,core,326.87883471661183,1.2691553730131524e-15,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,proper,ah_shell,187.13090831906197,1.3117895683515365e-15,0.0,0.0,0.0
standard_r0,standard,R0,0.0,0,,proper,exterior,3557.7913648986387,5.071205645765092e-16,0.0,0.0,0.0
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,coordinate,global,8000.0,2.6929266504891542e-05,0.0,0.0,1.7167187032073899e-06
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,coordinate,core,0.030517578125,0.0006489134368231777,0.0,0.0,4.0667521601719826e-05
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,coordinate,ah_shell,4.119873046875,0.001071978528821345,0.0,0.0,6.841845110047851e-05
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,coordinate,exterior,2100.921630859375,3.6966537279550467e-06,0.0,0.0,2.34289470181491e-07
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,proper,global,11967.307909371651,0.00020198235203110448,0.0,0.0,1.2847906461166123e-05
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,proper,core,328.0468506423927,0.0006489134368231777,0.0,0.0,4.0667521601719826e-05
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,proper,ah_shell,187.12179750038456,0.0013512541326414352,0.0,0.0,8.646554159612376e-05
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,proper,exterior,3557.798108688182,5.202466432619996e-06,0.0,0.0,3.2972529210033386e-07
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,coordinate,global,8000.0,0.00015938328404461932,0.0,0.0,2.4113986822354576e-05
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,coordinate,core,0.030517578125,0.004172006793719515,0.0,0.0,0.0006175112115320631
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,coordinate,ah_shell,4.119873046875,0.006249545876681662,0.0,0.0,0.0009519790290692105
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,coordinate,exterior,2100.921630859375,2.3492761237067767e-05,0.0,0.0,3.4457805272186767e-06
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,proper,global,11969.033702093653,0.0011894976761491942,0.0,0.0,0.00018115386167160275
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,proper,core,329.72575194135965,0.004172006793719515,0.0,0.0,0.0006175112115320631
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,proper,ah_shell,187.1065594622153,0.007619552051009052,0.0,0.0,0.00117839296659903
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,proper,exterior,3557.833352795874,3.306473781311786e-05,0.0,0.0,4.849647502323992e-06
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,coordinate,global,8000.0,0.0005491950544638162,0.0,0.0,0.00015513323849125675
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,coordinate,core,0.030517578125,0.011676249731924517,0.0,0.0,0.003698092073190269
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,coordinate,ah_shell,4.119873046875,0.02043542607947382,0.0,0.0,0.00592485428786563
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,coordinate,exterior,2100.921630859375,9.907402842114018e-05,0.0,0.0,2.5551025037112696e-05
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,proper,global,11970.67347171373,0.003480080885512418,0.0,0.0,0.0010686319050726102
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,proper,core,331.37511817457215,0.011676249731924517,0.0,0.0,0.003698092073190269
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,proper,ah_shell,186.89692757841635,0.022472235145706638,0.0,0.0,0.0068471295973217385
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,proper,exterior,3557.957314098487,0.00013947894776212432,0.0,0.0,3.5968651582411295e-05
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,coordinate,global,8000.0,0.0015795909626118649,0.0,0.0,0.0007699707133807092
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,coordinate,core,0.030517578125,0.021505880558639542,0.0,0.0,0.012554944459968435
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,coordinate,ah_shell,4.119873046875,0.04921086418932345,0.0,0.0,0.02594648355044608
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,coordinate,exterior,2100.921630859375,0.0004707918955222523,0.0,0.0,0.0001903078288182507
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,proper,global,11964.142470821545,0.0073184691508284515,0.0,0.0,0.004025724353972576
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,proper,core,326.0483311769794,0.021505880558639542,0.0,0.0,0.012554944459968435
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,proper,ah_shell,185.13729021259607,0.047468255278540906,0.0,0.0,0.026261954233670417
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,proper,exterior,3558.427314644926,0.0006629728432743197,0.0,0.0,0.00026801258413482795
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,coordinate,global,8000.0,0.004097802169011721,0.0,0.0,0.002827475979073637
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,coordinate,core,0.030517578125,0.043268015798969606,0.0,0.0,0.03326315343462414
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,coordinate,ah_shell,4.119873046875,0.10330339324962637,0.0,0.0,0.07569027229180825
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,coordinate,exterior,2100.921630859375,0.0025668991684602805,0.0,0.0,0.0014997299369818784
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,proper,global,11909.544174219023,0.015188796934675544,0.0,0.0,0.011205178866159607
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,proper,core,279.2104517911979,0.043268015798969606,0.0,0.0,0.03326315343462414
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,proper,ah_shell,176.45705341198277,0.09713009703537705,0.0,0.0,0.07245128507242149
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,proper,exterior,3559.934449406479,0.003572303441951274,0.0,0.0,0.0020971023806744525
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,coordinate,global,8000.0,0.017194134676176538,0.0,0.0,0.014251794919366033
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,coordinate,core,0.030517578125,0.14843771707136832,0.0,0.0,0.1570306836540439
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,coordinate,ah_shell,4.119873046875,0.3321633972786174,0.0,0.0,0.28860540677717283
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,coordinate,exterior,2100.921630859375,0.018123766222351498,0.0,0.0,0.014423555990252909
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,proper,global,11648.33186883828,0.04406960324161714,0.0,0.0,0.03898408804470851
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,proper,core,76.7918842846273,0.14843771707136835,0.0,0.0,0.1570306836540439
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,proper,ah_shell,119.55821829626774,0.31403883472044813,0.0,0.0,0.2829451763406547
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,proper,exterior,3565.583752530851,0.023911265416893472,0.0,0.0,0.019110752176165823
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,coordinate,global,8000.0,0.0395574675323542,0.0,0.0,0.03713105918445127
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,coordinate,core,0.030517578125,0.11024090357286895,0.0,0.0,0.15521194857502318
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,coordinate,ah_shell,4.119873046875,0.39245692058063425,0.0,0.0,0.4072495566679555
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,coordinate,exterior,2100.921630859375,0.06225944757196505,0.0,0.0,0.057319961438915525
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,proper,global,11516.819519094699,0.06209149566602205,0.0,0.0,0.0606610448231619
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,proper,core,26.600637627267513,0.11024090357286896,0.0,0.0,0.1552119485750232
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,proper,ah_shell,79.20053555922618,0.3444728561141204,0.0,0.0,0.3714213346813949
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,proper,exterior,3509.545084169163,0.0727004123248527,0.0,0.0,0.06723128819218568
candidate_a_r0,candidate_a,R0,0.0,0,,coordinate,global,8000.0,1.8314052461067257e-16,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,coordinate,core,0.030517578125,5.375255901233545e-21,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,coordinate,ah_shell,4.119873046875,3.7902600524257264e-17,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,coordinate,exterior,2100.921630859375,2.1389519982888526e-16,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,proper,global,11966.136840531673,1.8213597592781562e-16,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,proper,core,326.87883471661183,5.375255901233545e-21,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,proper,ah_shell,187.13090831906197,2.2205843329379782e-17,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,proper,exterior,3557.7913648986387,2.1756858299233952e-16,0.0,0.0,0.0
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,coordinate,global,8000.0,9.9980964880522e-07,0.0,0.0,6.344135956599112e-08
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,coordinate,core,0.030517578125,2.652177798670117e-09,0.0,0.0,1.3687462854647165e-10
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,coordinate,ah_shell,4.119873046875,1.6847982665238815e-05,0.0,0.0,1.069056778996631e-06
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,coordinate,exterior,2100.921630859375,7.615362732957844e-07,0.0,0.0,4.831826486343681e-08
