case_id,gauge,resolution,target,accepted_cycle,checkpoint_sha256,dt,minimum_lapse,minimum_chi,minimum_metric_minor,maximum_shift,maximum_conformal_gamma,invalid_points
standard_r0,standard,R0,0.0,0,,0.015625,0.04536501804722286,0.0020579848624248565,1.124629307089381,0.0,3.3374714952671413e-15,0.0
standard_r0,standard,R0,0.1,7,ae8c7fccb143576c07251eef9cb154823caa94be447e101a7042ed30b2dd4828,0.012500000000000011,0.04539989381308237,0.0020530969675229757,1.1246293071965,5.673499890924892e-05,0.0017619434088377696,0.0
standard_r0,standard,R0,0.25,17,23a0c402eafedaf6c4f50a58b666f4d4c28b7ed967a850bd58b0d4f05a01dec3,0.015625,0.04547122327106897,0.002046121718171777,1.124629309112378,0.0007430588924688043,0.009401863040146544,0.0
standard_r0,standard,R0,0.5,33,dac6812fd7d3b269c40fb1aa97e9f23df0613991f28369fb583e5742aecf25aa,0.015625,0.04572457776620926,0.002039326579395115,1.124629337112374,0.0041262712303084086,0.02680084902698749,0.0
standard_r0,standard,R0,1.0,65,e44a50ba269f768450b36f6d3b44df4655635e2017cf72dcdbb58ae24baea7ab,0.015625,0.047123472935253284,0.002061478084704186,1.1246295172188137,0.015449262539589085,0.055804232665175355,0.0
standard_r0,standard,R0,2.0,129,2379921006e4c16b1b17a3d74ae9af256ab2ee9de208c3f8115ceb141880ec23,0.015625,0.05499940567421984,0.002286014228150113,1.124630343568847,0.0418604098144808,0.11263984860696341,0.0
standard_r0,standard,R0,5.0,321,10d93fd2ca26c664420839516ff532725d08ae82307f0b48c274ef0e26f531c8,0.015625,0.21119661635868844,0.005405341791393748,1.12464697290337,0.15434756005919884,0.35058138080043216,0.0
standard_r0,standard,R0,10.0,641,69650af16baf52c560712623f76c92beb92b261268237e4bd8e41a7493e58c07,0.015625,0.05966812553673681,0.010959027382074644,1.124900457813847,0.21191402005427748,0.4218001215290006,0.0
candidate_a_r0,candidate_a,R0,0.0,0,,0.015625,0.04536501804722286,0.0020579848624248565,1.124629307089381,0.0,3.3374714952671413e-15,0.0
candidate_a_r0,candidate_a,R0,0.1,7,e912558b11c5cd14a8b91e1902c3dd8e8a6a706d0bef49f8079590a2b34df25a,0.012500000000000011,0.04539963657574376,0.0020530866707503463,1.12462930719642,6.682238076362342e-07,0.0018313277426412417,0.0
candidate_a_r0,candidate_a,R0,0.25,17,5d191c36556dfb9ea3e78db21854c0ce90078d9ab2176b4a98c63d4e9e3f363c,0.015625,0.04546133323115875,0.002045702583954729,1.1246293090988602,9.732921809907206e-06,0.011452818860372863,0.0
candidate_a_r0,candidate_a,R0,0.5,33,1aa6be942d8b52016b0775785d3d20cdd272d2946de638e39d31cfab029cdec0,0.015625,0.045589853227885016,0.0020332971421646194,1.1246293366878135,6.989122038177842e-05,0.04593136020531239,0.0
candidate_a_r0,candidate_a,R0,1.0,65,e2fb9b094b9b1b04a7f5951b919ca4475fe47e48bb8a75f2dd03c8baf8afed48,0.015625,0.04594142421799424,0.0020081070578898026,1.1246295119401823,0.000465567984375292,0.1855076684238841,0.0
candidate_a_r0,candidate_a,R0,2.0,129,f04e7284ef1f28868edab62cdf08ec5a0b54d410c0dc3dd13d0837218f38665d,0.015625,0.047018678573668905,0.0019561099972093235,1.1246303137531553,0.0028978846856418322,0.7627054466104184,0.0
candidate_a_r0,candidate_a,R0,5.0,321,84fe1c3aa7471987ba3dab98b39c7a52965c045e80740cf1d27502183dc97f3d,0.015625,0.05408318082755507,0.0017792404442890726,1.1246464372445035,0.031117810938027603,4.831463342097121,0.0
candidate_a_r0,candidate_a,R0,10.0,641,0e19f10342f570688d566f5585a48cb2ff0d056388db35b6ef0ead81664c320c,0.015625,0.015498742662516673,0.001345270138185419,1.1248910056738515,0.05765268645478848,9.958605677063355,0.0
candidate_c_r0,candidate_c,R0,0.0,0,,0.015625,0.04536501804722286,0.0020579848624248565,1.124629307089381,0.0,3.3374714952671413e-15,0.0
candidate_c_r0,candidate_c,R0,0.1,7,9045c1818dcf9eab686cf35eeddfbc636cd606e9beccb3c891b619745d2d551a,0.012500000000000011,0.04539992134165915,0.0020531010308362796,1.1246293077904945,5.6019746941877165e-05,0.001754621110213778,0.0
candidate_c_r0,candidate_c,R0,0.25,17,e498f402355a183e8b863869d544fce684a857393da137679bc6c7f67d2cc9db,0.015625,0.04547121747154355,0.002046125352939114,1.1246293129010378,0.0007402411018674895,0.009408139035478524,0.0
candidate_c_r0,candidate_c,R0,0.5,33,f3719b14d47856002a93afa8b55590703917e6523ea779b0611f737584cd57c2,0.015625,0.045724408962626605,0.0020393234278343426,1.124629364458683,0.00411121484797318,0.026790829139315936,0.0
candidate_c_r0,candidate_c,R0,1.0,65,3899e5656a9be9306ffde28225e02897bd7d951a7150770376076f6202215538,0.015625,0.04712079634837811,0.0020613653054355075,1.1246298318872952,0.0154089015919248,0.055853074220571106,0.0
candidate_c_r0,candidate_c,R0,2.0,129,32a0de56c79e8e9a5f5cf8026b3abe1b546c3a7e1d1a5dfedb63e04230e9986c,0.015625,0.05500132278244503,0.002286106440929968,1.1246318202662626,0.042034427054647404,0.11245254634950314,0.0
candidate_c_r0,candidate_c,R0,5.0,321,bf373ff17d6d6bb0121c95cd959b31fa669958c8bb721cbd66d23d155082ee15,0.015625,0.21132629345327442,0.005407097916317713,1.1246497868014238,0.15345409522618736,0.3441482160306689,0.0
candidate_c_r0,candidate_c,R0,10.0,641,bbde9bdc5f5ddd5eea7e503ae66ef488497390cedc96404dbebe03c7e090f524,0.015625,0.058060828901711915,0.011005145113077366,1.1248559665462774,0.2117990925870197,0.44900859998654735,0.0
standard_r1,standard,R1,0.0,0,,0.0078125,0.014205857029548732,0.00020180637394397926,1.124629307089381,0.0,5.538132536784664e-15,0.0
standard_r1,standard,R1,0.1,13,bb95affefe36332ad39723f07101d109e40fe4e85df9399201a284d4e4699da8,0.0078125,0.014219249997691457,0.00019990114815768292,1.124629307196511,5.5536738239907314e-05,0.001729051472494697,0.0
standard_r1,standard,R1,0.25,33,7fb05a57eb8c202d065136ff879a364a2df253623cbffa1ed9e7ab78f4647072,0.003124999999999989,0.014241954274509482,0.000197095472295938,1.1246293091123862,0.0007375122350114371,0.00939848415002498,0.0
standard_r1,standard,R1,0.5,65,c0beda690013fa0afa74762fe8bff13f17e170414362e5ba76102fb2685d214d,0.0078125,0.014318320263043591,0.00019299741654174704,1.1246293371124318,0.004133263728256544,0.026853252669515278,0.0
standard_r1,standard,R1,1.0,129,3391a158351e3233427cd85dd8890ac5bb86e0ca6c638577b72999e6f41fc410,0.0078125,0.014751312791532552,0.0001891464148473731,1.1246295172189351,0.0154774265968028,0.055747155442754666,0.0
standard_r1,standard,R1,2.0,257,1313f928b41f16d8400d621a653bb55761ab6887d5c1ea63cba5875e3955aafd,0.0078125,0.017119769621145434,0.00020635677947924196,1.1246303435691334,0.041850463325127145,0.11267821385393781,0.0
standard_r1,standard,R1,5.0,641,91fa05de5b8556f291fb02b919c6b34ba627ab1b283330c136387edb9169b75b,0.0078125,0.11094699277996499,0.0008170692955065624,1.12464697290385,0.15434546784342185,0.3503884289824149,0.0
standard_r1,standard,R1,10.0,1281,d36529f421431123878b200cfb508d339f2384faed49617d5853fdf0d0b98327,0.0078125,0.033874668299232344,0.0029481601659273647,1.124900457813855,0.21178150787809183,0.4215243205064091,0.0
candidate_a_r1,candidate_a,R1,0.0,0,,0.0078125,0.014205857029548732,0.00020180637394397926,1.124629307089381,0.0,5.538132536784664e-15,0.0
candidate_a_r1,candidate_a,R1,0.1,13,bb92bf77e92acd356f9f4a07c618f83d54251ffb481ed3d3055ec71faad23768,0.0078125,0.014219217171117736,0.00019990086985284078,1.124629307196431,6.682875285644676e-07,0.0017848574635762817,0.0
candidate_a_r1,candidate_a,R1,0.25,33,7e66f7f5342de0052b2b224a6562688b6a8783d9bfa2eb5aba3c210a9e937ea8,0.003124999999999989,0.014239408904580537,0.0001970646830193584,1.1246293090988637,9.733384959464676e-06,0.011168280802151246,0.0
candidate_a_r1,candidate_a,R1,0.5,65,0c83f9efd415753d740dbb78deaf4872bf802d55c01242e6bdec4cd4149fd8ee,0.0078125,0.014273309992363155,0.00019239436785593257,1.1246293366878666,6.989766164896459e-05,0.04484079156744535,0.0
candidate_a_r1,candidate_a,R1,1.0,129,b0b7445dbbf5fc7c174e6a3d0aa07d66b6625f3c419190ab393737731e5e6de1,0.0078125,0.014341022401333491,0.00018325116703958155,1.124629511940265,0.00046569723647986905,0.18163635538190667,0.0
candidate_a_r1,candidate_a,R1,2.0,257,2e828ab0db6570cf6c1b2df3b1461744508a5c8473d244971328d408a7fac8f8,0.0078125,0.014467255880951336,0.0001656306860373408,1.1246303137533935,0.0028988798622335,0.7546854521622509,0.0
candidate_a_r1,candidate_a,R1,5.0,641,8e1f045afb82d7aa07d7d6de1e6805313a4e0bf4e6952268e21585c92d6c5ee1,0.0078125,0.014167126670513966,0.00011610374785304704,1.1246464372449687,0.03112718077199515,4.944100563715653,0.0
candidate_a_r1,candidate_a,R1,10.0,1281,f71cd8dfc38092b07b533bede43be6aded29676cc6b6cccd9f66a722a2847ebe,0.0078125,0.015058487129266308,3.8135356853149535e-05,1.124891005673781,0.05765073983956926,9.930409891347896,0.0
candidate_c_r1,candidate_c,R1,0.0,0,,0.0078125,0.014205857029548732,0.00020180637394397926,1.124629307089381,0.0,5.538132536784664e-15,0.0
candidate_c_r1,candidate_c,R1,0.1,13,1a897e2d4b337eab59177d966aff34d13c3d3a144bcbfa66317c44e6ee41bc6d,0.0078125,0.014219250322807584,0.0001999011576717017,1.124629307790511,5.5412890676319784e-05,0.0017287342442854647,0.0
candidate_c_r1,candidate_c,R1,0.25,33,1997c8fbeb9b3f003ceb65bc12a088c4db29f2ceddcfd10789e4ae0e3f0ce4e0,0.003124999999999989,0.014241953360101027,0.00019709546401770652,1.12462931290105,0.0007356334261787406,0.009392797438291408,0.0
