gauge,time,source,metric,R0,R1,R2,strictly_decreasing,absolute_error_to_one_decreasing
standard,0.0,constraints,collective_norm2,2.385299779869536,1.8261457846223838e-05,1.841714299615296e-07,True,
standard,0.0,constraints,hamiltonian_norm2,2.385299779869536,1.8261457846223838e-05,1.841714299615296e-07,True,
standard,0.0,constraints,momentum_norm2,0.0,0.0,0.0,False,
standard,0.0,constraints,z_norm2,6.357697025134851e-28,9.476029487198543e-28,1.5029805922828606e-27,False,
standard,0.0,constraints,theta_norm,0.0,0.0,0.0,False,
standard,0.0,state,minimum_lapse,0.04536501804722286,0.014205857029548732,0.006846958479656029,True,
standard,0.0,state,minimum_chi,0.0020579848624248565,0.00020180637394397926,4.688084042213362e-05,True,
standard,0.0,state,minimum_metric_minor,1.124629307089381,1.124629307089381,1.123245147055538,False,
standard,0.0,state,maximum_shift,0.0,0.0,0.0,False,
standard,0.0,state,maximum_conformal_gamma,3.3374714952671413e-15,5.538132536784664e-15,8.422576566360023e-15,False,
standard,0.1,constraints,collective_norm2,2.4146384769227027,2.7283672934077344e-05,2.7595546957199487e-06,True,
standard,0.1,constraints,hamiltonian_norm2,2.414587547487673,2.7051073405280957e-05,2.4859261260354702e-06,True,
standard,0.1,constraints,momentum_norm2,5.026906994516875e-05,2.2741445780671065e-07,2.6806862059706994e-07,False,
standard,0.1,constraints,z_norm2,1.563843697989311e-07,7.264962406027136e-10,8.727077936149253e-10,False,
standard,0.1,constraints,theta_norm,3.4827627537021135e-08,2.2790860272524296e-09,2.069117912957222e-09,True,
standard,0.1,state,minimum_lapse,0.04539989381308237,0.014219249997691457,0.006853824158237564,True,
standard,0.1,state,minimum_chi,0.0020530969675229757,0.00019990114815768292,4.618909371524316e-05,True,
standard,0.1,state,minimum_metric_minor,1.1246293071965,1.124629307196511,1.123245147157437,False,
standard,0.1,state,maximum_shift,5.673499890924892e-05,5.5536738239907314e-05,5.5524689087251865e-05,True,
standard,0.1,state,maximum_conformal_gamma,0.0017619434088377696,0.001729051472494697,0.0017288834968048545,True,
standard,0.1,horizon,mass,1.016288425474739,0.9991942184071904,0.9994577296161176,False,True
standard,0.1,horizon,area,51.91630966334142,50.18450909297309,50.21098227342556,False,
standard,0.1,horizon,hrms,0.06677464378042358,0.03723927975237847,0.1005104559548104,False,
standard,0.1,horizon,mean_radius,0.641651592371856,0.4924693069810259,0.4835162816255,True,
standard,0.1,horizon,minimum_radius,0.6120331711756243,0.4896903446339655,0.4808950395885389,True,
standard,0.25,constraints,collective_norm2,2.4553463665883077,2.73395460797579e-05,3.092481653892046e-06,True,
standard,0.25,constraints,hamiltonian_norm2,2.455021194584898,2.6430085527212367e-05,2.215023062995401e-06,True,
standard,0.25,constraints,momentum_norm2,0.00030644804643775465,8.225264831210534e-07,7.90596443543192e-07,True,
standard,0.25,constraints,z_norm2,4.6233002386398195e-06,2.0256826111813323e-08,2.0642344593482903e-08,False,
standard,0.25,constraints,theta_norm,2.3075600235262547e-07,5.906764977286154e-09,4.292768979523439e-09,True,
