sequence,case_id,gauge,resolution,target,classification,exit_status,wall_seconds,terminal_reason,user_cpu_seconds,system_cpu_seconds,maximum_rss_kbytes,filesystem_inputs,filesystem_outputs,resource_exit_status
25,candidate_a_r2,candidate_a,R2,0.5,complete,0,87.67370066099102,,572.76,1.86,4181692,0,605840,0
26,candidate_c_r2,candidate_c,R2,0.5,complete,0,88.06941400699725,,575.22,1.86,4179252,0,605824,0
27,standard_r0,standard,R0,1.0,complete,0,24.433511230003205,,180.09,0.96,2005052,0,277904,0
28,candidate_a_r0,candidate_a,R0,1.0,complete,0,24.43559032700432,,179.97,0.91,2005932,0,277944,0
29,candidate_c_r0,candidate_c,R0,1.0,complete,0,24.78048963600304,,181.95,0.92,2005076,0,277904,0
30,standard_r1,standard,R1,1.0,complete,0,65.02907605799555,,490.21,1.15,2592252,0,366344,0
31,candidate_a_r1,candidate_a,R1,1.0,complete,0,64.7879334360041,,488.12,1.2,2590744,0,366336,0
32,candidate_c_r1,candidate_c,R1,1.0,complete,0,65.38600658500218,,491.02,1.15,2591156,0,366328,0
33,standard_r2,standard,R2,1.0,complete,0,172.4760631250101,,1144.59,2.01,4180640,0,606096,0
34,candidate_a_r2,candidate_a,R2,1.0,complete,0,191.83383673601202,,1188.39,1.99,4181472,0,606128,0
35,candidate_c_r2,candidate_c,R2,1.0,complete,0,197.65013712800283,,1211.32,2.12,4179412,0,606144,0
36,standard_r0,standard,R0,2.0,complete,0,51.14234443299938,,380.48,0.98,2004692,24,278200,0
37,candidate_a_r0,candidate_a,R0,2.0,complete,0,50.66124388400931,,378.67,1.03,2005600,24,278192,0
38,candidate_c_r0,candidate_c,R0,2.0,complete,0,47.9752409740031,,363.87,0.91,2004668,8,278208,0
39,standard_r1,standard,R1,2.0,complete,0,146.6243748179986,,1085.29,1.3,2589932,8,366760,0
40,candidate_a_r1,candidate_a,R1,2.0,complete,0,130.23212225599855,,992.24,1.29,2590516,24,366768,0
41,candidate_c_r1,candidate_c,R1,2.0,complete,0,130.06069363899587,,990.17,1.27,2590168,0,366776,0
42,standard_r2,standard,R2,2.0,complete,0,346.73084380199725,,2304.83,2.17,4180136,8,606720,0
43,candidate_a_r2,candidate_a,R2,2.0,complete,0,342.36648678799975,,2282.4,2.09,4179688,8,606640,0
44,candidate_c_r2,candidate_c,R2,2.0,complete,0,345.44706340000266,,2293.24,2.11,4180212,3448,606680,0
45,standard_r0,standard,R0,5.0,complete,0,142.3948883000121,,1093.79,1.05,2004860,8,279208,0
46,candidate_a_r0,candidate_a,R0,5.0,complete,0,140.2991266780009,,1084.0,1.03,2005436,40,279200,0
47,candidate_c_r0,candidate_c,R0,5.0,complete,0,141.24596497799212,,1088.0,1.02,2004000,40,279224,0
48,standard_r1,standard,R1,5.0,complete,0,384.8181493370066,,2956.96,1.57,2591548,32,368320,0
49,candidate_a_r1,candidate_a,R1,5.0,complete,0,400.47308682400035,,3011.41,1.59,2589680,32,368336,0
50,candidate_c_r1,candidate_c,R1,5.0,complete,0,377.9740790479991,,2917.15,1.45,2590372,40,368336,0
51,standard_r2,standard,R2,5.0,complete,0,1003.6816775300103,,6719.31,2.62,4181088,22920,608864,0
52,candidate_a_r2,candidate_a,R2,5.0,complete,0,999.7923599780042,,6694.38,2.61,4180532,24,608824,0
53,candidate_c_r2,candidate_c,R2,5.0,complete,0,1019.7638552909921,,6764.59,2.79,4180120,32,608920,0
54,standard_r0,standard,R0,10.0,complete,0,241.43353601499985,,1853.71,1.2,2004272,40,280232,0
55,candidate_a_r0,candidate_a,R0,10.0,complete,0,254.36834104100126,,1924.43,1.16,2006268,32,280264,0
56,candidate_c_r0,candidate_c,R0,10.0,complete,0,236.71733722400677,,1825.49,1.14,2005808,48,280248,0
57,standard_r1,standard,R1,10.0,complete,0,630.4320420199947,,4874.2,1.65,2586700,40,369888,0
58,candidate_a_r1,candidate_a,R1,10.0,complete,0,616.2912629959901,,4788.02,1.59,2590088,40,369880,0
59,candidate_c_r1,candidate_c,R1,10.0,complete,0,623.4125231009966,,4833.56,1.69,2590060,40,369904,0
60,standard_r2,standard,R2,10.0,complete,0,1707.796543257995,,11381.56,3.77,4180500,40,611064,0
61,candidate_a_r2,candidate_a,R2,10.0,failed,0,1655.6692152339965,nonpositive accepted lapse or raw chi,11150.92,3.4,4180124,40,610992,0
