sequence,case_id,target,role,path,sha256,prefix_bytes,prefix_lines
1,candidate_a_r0,0.1,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,aeb058e9c0484c4fbd1a9286f59be2972419ccf2ece4335b8446d68abdf8f941,727,4
1,candidate_a_r0,0.1,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,3cc1e1ee94bb605a7e6ede7d6779bf53858df90acef3286c448cfd8a5bad6c88,2586,3
1,candidate_a_r0,0.1,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,3bbb33ed39110d7c1642a2f0ea6d806776492c9400be7e8840d9fd347b67f626,321,2
10,candidate_a_r0,0.25,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,d499f06db3bd635427a3b0d91ffd2a3a635da2888b6a45c73197ca1f1ee12bbe,2794,8
10,candidate_a_r0,0.25,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,12e3d7ac366feef435e7e18727dd7db7f0d9a12abbbc4e20426b100c4bc681c6,1454,8
10,candidate_a_r0,0.25,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,91abd96c74a4e9f4cb453f30fe64029d751182c6d1d2ddb43206e19f66da0bad,3923,5
10,candidate_a_r0,0.25,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,8761394bf7f7dc39ba5966828958e13968fccaf433dc3a79f57c609955bed850,552,3
19,candidate_a_r0,0.5,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,70b1bb2c5003ae125f0c462146ac4819c8e77dab492c23ab37c5445a9b18864b,4191,12
19,candidate_a_r0,0.5,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,a75602a8b4ad0a5b865358bd72034a8dfcd9ae88c83fc9dc77339f5129a824d1,2181,12
19,candidate_a_r0,0.5,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,df0efcbbc7e717ec4ddab7dcf3ba8fd20b24547d32a5649ebc801070efbe7cd6,5244,7
19,candidate_a_r0,0.5,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,0e2b3fbccbefd5ceedef398e54a1c2f56437d9f78942f8cbf00d1d9d5122223c,782,4
28,candidate_a_r0,1.0,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,57e9e438d3b9918632d3edea39b766a463333c3d3dfd3b9c20af2e98db430512,9101,24
28,candidate_a_r0,1.0,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,1433608f5c108daa98568ae8d749302a7dc274a6802ba3c56a0a94160824960c,4695,24
28,candidate_a_r0,1.0,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,a20ee725dbc0b55ffcd5706d849e603818c6bdf9a4ff9a39546f9293e99a71c7,10532,15
28,candidate_a_r0,1.0,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,4e79b7b230643a4dfa793057b10a2a4e1844f8840e9990b705cf0dee54726c9b,1008,5
37,candidate_a_r0,2.0,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,ba37540b3619f50a844626a990af13936c0c61965513dd1aae2ba0c159947def,14730,36
37,candidate_a_r0,2.0,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,ddfe161155eac9a9b09d6aca53fead6e133e2917815573faa2dd584bc3ea7c27,7542,36
37,candidate_a_r0,2.0,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,70688fc3b182140ab75b375f527831a7402d2d96088e62524dcc19eb3442ef9a,17104,25
37,candidate_a_r0,2.0,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,8fd46979cafc1c213ef9c0d96191ae6f9c156c7c421451453c9d499f0c225336,1235,6
46,candidate_a_r0,5.0,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,9c168e00db88454bfc71b0f08f1e2d9b114ee2f566151446ae74151c145975ee,30939,68
46,candidate_a_r0,5.0,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,a2e22a44b62ab2c52a078d294ea0e33f6beae4394acbec4965e59887411cc68a,15689,68
46,candidate_a_r0,5.0,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,1cf21294f0fb4eada6cec5f7a85031e25068f00e6ddb49f0b0118878ff031614,36470,55
46,candidate_a_r0,5.0,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,b3508a9dcbbd618cf74b2b671bc4f2e6a463d30f1705b2db28503010a6a2c203,1462,7
55,candidate_a_r0,10.0,history,cases/candidate_a_r0/z4c_candidate_a_r0.user.hst,232c48723cd4db409acb362623bf35dff374ca5f8690cbf2de19b3feb3c045f6,57728,120
55,candidate_a_r0,10.0,constraints,cases/candidate_a_r0/z4c_candidate_a_r0.z4c.user.hst,5196647f73eca9a23d8d4bc225460ae8c90c642d46bc911c188e510cb7124263,29136,120
55,candidate_a_r0,10.0,gauge_diagnostics,cases/candidate_a_r0/gauge_source_diagnostics.csv,0a7013d04c3794db8d5ed4c566cc8f58599222eae35bd2a5f88fec4bee822ce0,68316,105
55,candidate_a_r0,10.0,horizon,cases/candidate_a_r0/z4c_candidate_a_r0.horizon_summary_0.txt,9e4f8a7f158721e45b2658f6b319b97f7edc4192fe91a210762e06308ab5443f,1689,8
2,candidate_c_r0,0.1,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,f2a63d03a30bcb0748500aadc06eb54c48f190d1f95f6b25576dead8a3c72927,1397,4
2,candidate_c_r0,0.1,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,a32ef8055df5780a0ee40c074843f47a6027f8349c40e7985797477304bb183e,727,4
2,candidate_c_r0,0.1,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,a76ad5e2f0e74c88ff6dc7dc779d6561a855b69325a893ddafe51a32cf610301,3214,3
2,candidate_c_r0,0.1,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,a07241367ada13f4a64c76daeb4a8b09be0ab1c81e347f0c318fc54901cb867e,321,2
11,candidate_c_r0,0.25,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,253d4906fb766fe9c0f71c75dc676588dae363cbcef66e75ccce238da5c66ef2,2794,8
11,candidate_c_r0,0.25,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,4201122495c5dc35365df49352e95a0a7661b94fa718fa0b2afa2b93f117096d,1454,8
11,candidate_c_r0,0.25,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,65475b827b7e15ed4686954315cac5bc96ac2fa6b26d7e440d2e1f4a3f760c06,5165,5
11,candidate_c_r0,0.25,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,558e8c0264ec11f4eb47d5c8d26f0a1e1addd403f70d6e98bee4d6cf7c6738fd,552,3
20,candidate_c_r0,0.5,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,af6fccb249fa292aad73ebb71ac993a3af694340693bb9890db3cd540ba7e34d,4191,12
20,candidate_c_r0,0.5,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,3fc81865d22f638379beb0d54f65f4335f4c4b5a894d90d06516c1d2d997aa52,2181,12
20,candidate_c_r0,0.5,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,1fefa7c25accff6728d6f94b79039adeff7451b5068f6927aecb3d9eb8bcabd2,7083,7
20,candidate_c_r0,0.5,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,0982e6f5f81d65cc1ee87e8fb131b8060d50244359e5e63d345c965efab97dd2,782,4
29,candidate_c_r0,1.0,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,e60dbf76b933cbdf91f77c684ee980dc90297eca13d2dced4afd76dcae0b0439,7175,19
29,candidate_c_r0,1.0,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,72a8617c86aad16b96944b04f7692ddc23d02aa0fe7ee91dd4666b132d5c0152,3703,19
29,candidate_c_r0,1.0,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,bd8fc66ad82b603a39f811be2772e52edb867ab0549897af41fad57a26244107,11864,12
29,candidate_c_r0,1.0,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,e3419d071c4835f9d06a8026d4f2e5c660a872d495c399e9c8cca6b2f307cd11,1008,5
38,candidate_c_r0,2.0,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,fb7acc6cfea6ad3303a39ba4419ed562cf0e394fe790759bbe29cb640ede797b,12804,31
38,candidate_c_r0,2.0,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,2119f513aed7691092d09f5475fdd1221f33ee423ec77ed247324acda259a710,6550,31
38,candidate_c_r0,2.0,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,934c58d8bba82b46fe1d8d958a86f30f95a7a7a1148a60383af0d305a4b39023,21350,22
38,candidate_c_r0,2.0,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,2ca313c0ae2ebb2d4fcc13af96d0d5b89b9101be4e1cb44274aa70e9185f74f6,1235,6
47,candidate_c_r0,5.0,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,f56d994070e9f8364708a2220094b4eb26ad4745fa5bb633d7be95ec1705b2c2,29013,63
47,candidate_c_r0,5.0,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,90b146f885791290b2d0fabd48fe6d1f39863148d48ba928df1e37abc3898751,14697,63
47,candidate_c_r0,5.0,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,760f3528a09945d34ac01c5ebdadeca8742fc37d2d73f2324ca57e3670fab296,49483,52
47,candidate_c_r0,5.0,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,c491a9bb734469d3b526bc19da2337305682f69b7942f0f6c268f4e892afbb12,1462,7
56,candidate_c_r0,10.0,history,cases/candidate_c_r0/z4c_candidate_c_r0.user.hst,222e2be8137dcf87d32e73212f182a2dfd8db9a64e08ef737d16b50f5012f14e,55802,115
56,candidate_c_r0,10.0,constraints,cases/candidate_c_r0/z4c_candidate_c_r0.z4c.user.hst,d8a5b44ff478e622f55c17832936a2e5e1220421ea637978bef256ec9eb1c463,28144,115
56,candidate_c_r0,10.0,gauge_diagnostics,cases/candidate_c_r0/gauge_source_diagnostics.csv,1b590015e6310fc4b57dd4e2c7e6fc6d2f9b9341be6c92dd65bd17821c14cee6,95958,102
56,candidate_c_r0,10.0,horizon,cases/candidate_c_r0/z4c_candidate_c_r0.horizon_summary_0.txt,881538c46ec01690e9b772eedbdce658d087b3119f0b65e4d183bdb729f7d648,1691,8
3,standard_r1,0.1,history,cases/standard_r1/z4c_standard_r1.user.hst,f4c1435edd509c4305b6b30f59a4b81d808b40b4bb7d6a3502e3236c4bc10ec0,1397,4
