cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
160,0.02,3,full,H,2.2099999999999955,256,0.58125448813634795,0.43151880718002616,0.29027096168774452,0.40372299988905097,0.40372299988905097,2,1,0,2,1,0.09375,0.85312500000000013,0.84999999999999998
160,0.02,3,full,Mx,2.2099999999999955,256,0.0096601594435651653,0.0071716832816915944,0.0048241962307521329,0.0067053408320488991,0.0067053408320488991,3,1,0,2,7,0.96875,0.85312500000000013,0.84999999999999998
160,0.02,3,full,My,2.2099999999999955,256,0.010321457455385175,0.0078016135046990098,0.0052479331538852515,0.0074232523957330401,0.0074232523957330401,3,1,0,2,7,0.96875,0.85312500000000013,0.84999999999999998
160,0.02,3,full,Mz,2.2099999999999955,256,0.010159290316353533,0.0075737847087699959,0.0050946789211748656,0.0071660503217314585,-0.0071660503217314585,0,1,0,1,0,0.03125,0.12187500000000001,0.84999999999999998
160,0.02,3,full,alpha_Mx,2.2099999999999955,256,0.0096602082445126306,0.0071717327537588957,0.0048242295092658692,0.0066994749026184335,-0.0066994749026184335,0,1,0,0,1,0.09375,0.040625000000000022,0.84999999999999998
160,0.02,3,full,alpha_My,2.2099999999999955,256,0.010321498826766003,0.0078016528679847501,0.0052479596324966514,0.0074306566990966225,-0.0074306566990966225,2,1,0,6,3,0.21875,1.1781250000000001,0.84999999999999998
160,0.02,3,full,alpha_Mz,2.2099999999999955,256,0.010159280913403044,0.0075737840217040726,0.005094678459004312,0.0071766453796702915,-0.0071766453796702915,0,1,0,1,0,0.03125,0.12187500000000001,0.84999999999999998
160,0.02,3,full,C,2.2099999999999955,256,0.00048105727497988908,0.0003582372428150102,0.00024097644703790857,0.00033934390836052605,0.00033934390836052605,3,1,0,3,6,0.90625,0.93437500000000018,0.84999999999999998
160,0.02,3,full,Zx,2.2099999999999955,256,0.0008599381147457578,0.0006389772841613688,0.00042982263503700405,0.00060111359553056693,0.00060111359553056693,0,1,0,6,7,0.46875,0.52812500000000007,0.84999999999999998
160,0.02,3,full,Zy,2.2099999999999955,256,0.00083770849455360634,0.0006273144345587358,0.0004219773534088421,0.00059555044635492636,-0.00059555044635492636,1,1,0,6,7,0.96875,0.52812500000000007,0.84999999999999998
160,0.02,3,full,Zz,2.2099999999999955,256,0.00081510564128819073,0.00061102938919613302,0.00041102284644442349,0.00058046806926916907,-0.00058046806926916907,0,1,0,4,0,0.03125,0.36562500000000003,0.84999999999999998
160,0.02,3,full,E_x_w,2.2099999999999955,256,0.0089276109924131559,0.0066626530923878848,0.0044817854710847349,0.0063109017123430065,-0.0063109017123430065,1,1,0,1,6,0.90625,0.12187500000000001,0.84999999999999998
160,0.02,3,full,E_x_alpha,2.2099999999999955,256,0.017448460008288636,0.013097529725920629,0.0088103519151847953,0.012447128008633649,-0.012447128008633649,1,1,0,0,7,0.96875,0.040625000000000022,0.84999999999999998
160,0.02,3,full,E_x_a,2.2099999999999955,256,0.0088245588228268532,0.0065785902763806844,0.0044252387017699726,0.0062248367917161554,-0.0062248367917161554,2,1,0,6,0,0.03125,1.1781250000000001,0.84999999999999998
160,0.02,3,full,E_x_c,2.2099999999999955,256,0.0085503590249596442,0.0064028289759450905,0.0043070088567295365,0.0060790097588327256,-0.0060790097588327256,3,1,0,7,7,0.96875,1.2593750000000001,0.84999999999999998
160,0.02,3,full,E_x_b,2.2099999999999955,256,0.0083946462249150124,0.0062363169740094447,0.0041950007631535663,0.0058594380677224759,-0.0058594380677224759,2,1,0,2,3,0.21875,0.85312500000000013,0.84999999999999998
160,0.02,3,full,E_x_d,2.2099999999999955,256,0.0080476083703952955,0.0060783381355396689,0.0040887326964878096,0.0057830603391146032,-0.0057830603391146032,2,1,0,3,2,0.15625,0.93437500000000018,0.84999999999999998
160,0.02,3,full,E_x_e,2.2099999999999955,256,0.0079846762247478779,0.0059282486765071703,0.0039877716007310242,0.0055488779410624404,-0.0055488779410624404,2,1,0,5,0,0.03125,1.096875,0.84999999999999998
160,0.02,3,full,E_x_betax,2.2099999999999955,256,0.0074745548859842803,0.0055837273967956121,0.0037560215089162646,0.0052939473854148053,-0.0052939473854148053,3,1,0,5,7,0.96875,1.096875,0.84999999999999998
160,0.02,3,full,E_x_betay,2.2099999999999955,256,0.0073305900443924816,0.0054513857372933718,0.0036669988750567838,0.0051379899924122651,-0.0051379899924122651,3,1,0,4,7,0.96875,1.015625,0.84999999999999998
