cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
0,0,0,full,H,2.2099999999999955,256,0.57894361492681157,0.42978750523675435,0.2891063619723126,0.40171117963435576,0.40171117963435576,3,1,0,5,5,0.84375,1.096875,0.84999999999999998
0,0,0,full,Mx,2.2099999999999955,256,0.0073123108208995461,0.005440773595342379,0.0036598603758803239,0.0051386747755171507,0.0051386747755171507,2,1,0,1,1,0.09375,0.77187500000000009,0.84999999999999998
0,0,0,full,My,2.2099999999999955,256,0.0081334369956986129,0.0061258676174194776,0.0041207044858610981,0.0058264697585937615,-0.0058264697585937615,1,1,0,3,6,0.90625,0.28437499999999999,0.84999999999999998
0,0,0,full,Mz,2.2099999999999955,256,0.010749583699273731,0.0081329969047004205,0.0054708457514481982,0.0077397481009317858,-0.0077397481009317858,0,1,0,0,1,0.09375,0.040625000000000022,0.84999999999999998
0,0,0,full,alpha_Mx,2.2099999999999955,256,0.007312352267794738,0.0054408239211897807,0.0036598942287087064,0.0051350721002787671,-0.0051350721002787671,1,1,0,4,6,0.90625,0.36562500000000003,0.84999999999999998
0,0,0,full,alpha_My,2.2099999999999955,256,0.0081334456629713787,0.0061258999374295521,0.0041207262266525768,0.0058352119580161402,-0.0058352119580161402,1,1,0,3,6,0.90625,0.28437499999999999,0.84999999999999998
0,0,0,full,alpha_Mz,2.2099999999999955,256,0.010749593169613559,0.008133010859084364,0.0054708551381826339,0.0077513610370973807,-0.0077513610370973807,0,1,0,0,1,0.09375,0.040625000000000022,0.84999999999999998
0,0,0,full,C,2.2099999999999955,256,0.00089666844231492794,0.00066954764463785519,0.00045038648483219663,0.00063445516892107062,-0.00063445516892107062,0,1,0,0,3,0.21875,0.040625000000000022,0.84999999999999998
0,0,0,full,Zx,2.2099999999999955,256,0.00094338081135667017,0.00071026337978475121,0.00047777485215307308,0.00067539365526397615,0.00067539365526397615,0,1,0,5,7,0.46875,0.44687500000000002,0.84999999999999998
0,0,0,full,Zy,2.2099999999999955,256,0.00093632492874116361,0.00069615218680889606,0.00046828263654738342,0.00065566953358733523,-0.00065566953358733523,0,1,0,0,4,0.28125,0.040625000000000022,0.84999999999999998
