host=nid001089 rank=2 local_rank=2 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001089 rank=3 local_rank=3 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001089 rank=1 local_rank=1 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001089 rank=0 local_rank=0 CUDA_VISIBLE_DEVICES=0,1,2,3
2, GPU-28f9c9a3-b0c9-cddb-e299-90b443b6a02a, NVIDIA A100-SXM4-40GB, 40960 MiB
1, GPU-804ceda2-2359-d287-045f-b6814d9cc508, NVIDIA A100-SXM4-40GB, 40960 MiB
3, GPU-8012bf79-d102-3cc9-578f-09e5261a7904, NVIDIA A100-SXM4-40GB, 40960 MiB
0, GPU-4d9ff37a-5910-123d-ba12-7eff64713090, NVIDIA A100-SXM4-40GB, 40960 MiB
host=nid001153 rank=10 local_rank=2 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001153 rank=8 local_rank=0 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001153 rank=11 local_rank=3 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001153 rank=9 local_rank=1 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001172 rank=14 local_rank=2 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001172 rank=13 local_rank=1 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001172 rank=12 local_rank=0 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001172 rank=15 local_rank=3 CUDA_VISIBLE_DEVICES=0,1,2,3
0, GPU-6923d047-c6ba-bee6-51cd-1e9f79fe87cd, NVIDIA A100-SXM4-40GB, 40960 MiB
3, GPU-d9a70892-4e4b-7647-9997-7f2e4a9f951c, NVIDIA A100-SXM4-40GB, 40960 MiB
2, GPU-dc2b338f-ba5d-7047-b4b3-8314f018c5bb, NVIDIA A100-SXM4-40GB, 40960 MiB
1, GPU-d6952e7e-34f5-0971-a29f-a522b2ae8051, NVIDIA A100-SXM4-40GB, 40960 MiB
1, GPU-4a61c723-1c8b-5169-5368-70a709b5f44f, NVIDIA A100-SXM4-40GB, 40960 MiB
3, GPU-1d0299b0-b08c-b0b9-fe58-21095c0315b1, NVIDIA A100-SXM4-40GB, 40960 MiB
2, GPU-c6166fe2-065c-8c24-5dd6-d7c797d67ad3, NVIDIA A100-SXM4-40GB, 40960 MiB
0, GPU-1820edc0-8a81-1193-a8f9-33eb07c66890, NVIDIA A100-SXM4-40GB, 40960 MiB
host=nid001152 rank=5 local_rank=1 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001152 rank=4 local_rank=0 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001152 rank=6 local_rank=2 CUDA_VISIBLE_DEVICES=0,1,2,3
host=nid001152 rank=7 local_rank=3 CUDA_VISIBLE_DEVICES=0,1,2,3
3, GPU-2bbafc74-3606-9343-cc62-b7ed1c1fbecd, NVIDIA A100-SXM4-40GB, 40960 MiB
2, GPU-f999e8aa-cee8-b5e8-5c73-c41283313e2e, NVIDIA A100-SXM4-40GB, 40960 MiB
0, GPU-6cd61c4f-2182-83c8-505f-6885887a78a3, NVIDIA A100-SXM4-40GB, 40960 MiB
1, GPU-054ef0eb-d744-186a-7b65-714370cb69c3, NVIDIA A100-SXM4-40GB, 40960 MiB
