time,quantity,n128,n256,n512,effective_order
0.1,C-norm2,575.5271268428974,1348.9624991424096,2961.3010569051994,-1.0598020605383114
0.11631980450439984,C-norm2,621.2781895824352,1540.9851615649295,3021.103542039985,-0.686466385665366
0.13263960900879967,C-norm2,690.0940087588135,1678.8863367959782,3097.630284380091,-0.5208747831848753
0.14895941351319952,C-norm2,769.4221010053462,1765.6365846432477,3204.936344290813,-0.5308387989973775
0.16527921801759937,C-norm2,850.517017922581,1823.4588170060492,3303.5179005141486,-0.6052293575829478
0.1815990225219992,C-norm2,926.0115160703006,1869.8203192373567,3390.002556541783,-0.687677749216778
0.19791882702639904,C-norm2,992.3101479820297,1913.3374706420607,3458.7860756510026,-0.7467098169308395
0.21423863153079886,C-norm2,1048.209414776898,1959.1845878382005,3534.62774818722,-0.7902740633002826
0.2305584360351987,C-norm2,1095.9153331931748,2012.7378604335524,3661.5518746777016,-0.8467142742657054
0.24687824053959856,C-norm2,1137.101751395026,2077.4474609785816,3852.9616266589237,-0.916973717546833
0.26319804504399835,C-norm2,1175.374474995632,2152.9567555064373,4101.362321641729,-0.9950039692737033
0.2795178495483982,C-norm2,1212.7438351754436,2237.1824631605577,4399.87665532213,-1.0779961226815467
0.29583765405279805,C-norm2,17109.959693519908,113780.96211928429,376001.53416098206,-1.4396257672278512
0.3121574585571979,C-norm2,25960.883257993966,188802.8836772507,1201230.5017804727,-2.6362740140231504
0.32847726306159775,C-norm2,24088.69670994592,147443.65738216887,643341.4064703811,-2.007226942650699
0.3447970675659976,C-norm2,21638.150946135505,105329.4047424474,567311.0834379382,-2.4646868721939836
0.36111687207039744,C-norm2,18810.408733426328,77853.47105576574,644005.7732290745,-3.2613507534454014
0.3774366765747973,C-norm2,15942.144302634042,67406.598508154,667856.0079379387,-3.54439446585021
0.39375648107919714,C-norm2,13457.378782591619,67574.0605642596,612933.2395701931,-3.333061429443648
0.4100762855835969,C-norm2,11460.233062998457,72137.29153686031,546490.9800504271,-2.9667401125617943
0.4263960900879967,C-norm2,9988.154804597292,76618.3461168774,512206.5198866984,-2.7087168443086713
0.4427158945923966,C-norm2,9033.08810703942,79119.3295242601,490898.43580987025,-2.554667466678505
0.4590356990967964,C-norm2,8609.94026077697,78912.83721286185,464947.1268821887,-2.457072956848712
0.47535550360119627,C-norm2,8515.183385970447,76358.35571395383,442330.74860976683,-2.43145928639292
0.4916753081055961,C-norm2,8617.690199938299,72442.65226952176,422905.55969607405,-2.4570690788355845
0.507995112609996,C-norm2,8853.458172985182,68253.68815254357,407162.7764714321,-2.5123579033917767
0.5243149171143958,C-norm2,9166.539261895605,64629.2245027103,393223.95190775004,-2.5667199594981387
0.5406347216187957,C-norm2,9483.125878654155,61854.27747164152,380816.4669282742,-2.606541179820847
0.5569545261231955,C-norm2,9776.538925741892,59973.87888827199,368911.17262318044,-2.6216312175429555
0.5732743306275954,C-norm2,10003.529667933242,58418.59579638981,358704.0596862128,-2.632806669023031
0.5895941351319951,C-norm2,10137.01616817632,56982.53992216927,349254.38525951706,-2.6413277551915706
0.605913939636395,C-norm2,10151.665592945,55642.76787907397,339832.24075969565,-2.643196816551785
0.6222337441407948,C-norm2,10079.069768208978,54333.03295964706,330747.45263948914,-2.6429543110452185
0.6385535486451946,C-norm2,9940.050139711793,53015.12712873646,323478.533791755,-2.6505081324218245
0.6548733531495945,C-norm2,20785.63798202756,209203.00919904246,316729.3586806297,0.8092417433785754
0.6711931576539943,C-norm2,165225.01643347315,1472354.3325643535,10883258.12254297,-2.8479314049145836
0.6875129621583942,C-norm2,181157.8044641033,1310168.9500033255,7767863.988562059,-2.515959583612192
0.703832766662794,C-norm2,171807.15174667753,1113993.5476197517,5154188.364320434,-2.100340454523933
0.7201525711671938,C-norm2,161070.6438964056,915770.0004256365,3802305.1395806726,-1.935364838808115
0.7364723756715936,C-norm2,149177.19379520247,741597.1299449896,3895370.397070049,-2.412386848585103
0.7527921801759935,C-norm2,136960.70562890364,604160.67372503,5394557.620077582,-3.3580331260479515
0.7691119846803933,C-norm2,124898.85082930197,506950.00393664924,7396469.823418329,-4.172565714773824
0.7854317891847932,C-norm2,113238.0056068263,452791.04544658406,8439878.136398926,-4.555960591690169
0.801751593689193,C-norm2,102505.01221567673,444157.13582246343,7825059.271332207,-4.433197162080643
0.8180713981935929,C-norm2,92942.16472961103,484989.600589441,6306634.586194806,-3.892326734805098
0.8343912026979927,C-norm2,84404.25087891673,571133.1000939944,5549814.734362409,-3.354573570920617
0.8507110072023926,C-norm2,76917.63056704997,691713.9924601627,6142128.373269871,-3.1481853855030093
0.8670308117067924,C-norm2,70912.18754554637,822171.7349628919,7197127.308409174,-3.0850319623697353
0.8833506162111923,C-norm2,66265.35083465667,935835.7056231294,7848309.492788967,-2.9908274422478196
0.899670420715592,C-norm2,62812.92353622891,1014512.2406311999,7432078.893653572,-2.753448633766402
0.9159902252199918,C-norm2,60578.83600335361,1041061.0506913121,6533296.628997329,-2.4858301420757547
0.9323100297243917,C-norm2,60398.62959756038,1023361.3468225707,6548722.634703021,-2.52051695355437
0.9486298342287915,C-norm2,61712.996606232606,959194.0349057857,6946019.153329436,-2.737837764630414
0.9649496387331914,C-norm2,64481.02726802102,869324.4865341088,7240740.448748765,-2.9848339140401534
0.9812694432375912,C-norm2,68900.70455335866,776781.4283449568,7770547.390908285,-3.3044913236624103
0.9975892477419911,C-norm2,75318.41939893506,710922.213059007,7704773.162738502,-3.4598874095055994
1.013909052246391,C-norm2,82844.92355413988,693635.4849796146,7295143.237610979,-3.4340458933293725
1.030228856750791,C-norm2,91286.83662021495,727642.6062267931,7703944.054657707,-3.4545569121736923
1.0465486612551906,C-norm2,100443.2185791644,788937.1892587541,7955489.445709774,-3.3797632968283975
1.0628684657595904,C-norm2,109482.21261480128,853770.019095712,7668762.886571813,-3.194779641244879
1.0791882702639903,C-norm2,117968.58793227935,906930.3157760615,7947115.0873796465,-3.157586070689189
1.09550807476839,C-norm2,125686.80814074875,943008.967064538,8147997.836508848,-3.1400194477192653
1.11182787927279,C-norm2,131488.56905891842,963403.44095888,8063581.423929149,-3.0933473765969772
1.12814768377719,C-norm2,135702.11577876867,961156.2614747421,8313770.875928731,-3.154997388192858
1.1444674882815897,C-norm2,138505.6339753822,936949.0450053959,8804793.062358966,-3.300706289348478
1.1607872927859895,C-norm2,139365.9826002398,896016.7505826862,8793135.67952805,-3.383626933886909
