group,variable,region,rms_n128_n256,rms_n256_n512,effective_order
z4c,z4c_chi,whole,3.7544636640270306e-05,2.735709968637149e-06,3.778619635852437
z4c,z4c_chi,axis,3.7402077970987664e-07,6.250121177028453e-07,-0.7407657358795388
z4c,z4c_chi,block_interior,2.0404914234875057e-05,1.454392151245395e-06,3.810428422582093
z4c,z4c_chi,shared_or_block_boundary,4.7939605399942555e-05,3.3974496271522364e-06,3.8186939680295278
z4c,z4c_gxx,whole,0.00011931750494147407,8.280728651599973e-06,3.848904183233424
z4c,z4c_gxx,axis,7.60220778568741e-07,9.710593737523614e-07,-0.35314105155743347
z4c,z4c_gxx,block_interior,7.502484744113627e-05,5.267321022907643e-06,3.832227186201949
z4c,z4c_gxx,shared_or_block_boundary,0.00015113027339631828,1.0291338919810386e-05,3.876290083874451
z4c,z4c_gxy,whole,3.6402170270429776e-05,2.5782330912109303e-06,3.819569860459762
z4c,z4c_gxy,axis,0.0,0.0,
z4c,z4c_gxy,block_interior,1.7782494533205426e-05,1.2198893860143695e-06,3.86563547817088
z4c,z4c_gxy,shared_or_block_boundary,1.626940902715666e-05,1.09759184165413e-06,3.8897482789616213
z4c,z4c_gxz,whole,0.0,0.0,
z4c,z4c_gxz,axis,0.0,0.0,
z4c,z4c_gxz,block_interior,0.0,0.0,
z4c,z4c_gxz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_gyy,whole,0.00011566991751663788,8.034570394196195e-06,3.847649013170056
z4c,z4c_gyy,axis,1.520441557137482e-06,1.942175469090842e-06,-0.3531831863425183
z4c,z4c_gyy,block_interior,8.203912986234048e-05,5.660043149983137e-06,3.8574272333747857
z4c,z4c_gyy,shared_or_block_boundary,0.00018018561554691823,1.2360461098642209e-05,3.8656793753969176
z4c,z4c_gyz,whole,0.0,0.0,
z4c,z4c_gyz,axis,0.0,0.0,
z4c,z4c_gyz,block_interior,0.0,0.0,
z4c,z4c_gyz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_gzz,whole,0.00026624503255608535,1.5730909411084815e-05,4.081080627491467
z4c,z4c_gzz,axis,7.60220778568741e-07,9.710593737523614e-07,-0.35314105155743347
z4c,z4c_gzz,block_interior,6.923733388666639e-05,4.7845752211528815e-06,3.8550874203377448
z4c,z4c_gzz,shared_or_block_boundary,0.0005285508964144713,3.2355787840232774e-05,4.029946690190813
z4c,z4c_Khat,whole,3.972646987111211e-05,3.3926977906249942e-06,3.5495957692027096
z4c,z4c_Khat,axis,1.944719302157302e-05,1.615244703872226e-06,3.5897372840216297
z4c,z4c_Khat,block_interior,1.8987005218850183e-05,1.8728918732362199e-06,3.341672853439389
z4c,z4c_Khat,shared_or_block_boundary,4.0842908189121495e-05,5.30449745657928e-06,2.944797612840116
z4c,z4c_Axx,whole,0.00010059267172268441,8.8112608301914e-06,3.513032923409955
z4c,z4c_Axx,axis,3.646402231612863e-06,2.9281297171429145e-06,0.3164942457323799
z4c,z4c_Axx,block_interior,4.238731209277911e-05,2.867395610692558e-06,3.8858196135464245
z4c,z4c_Axx,shared_or_block_boundary,0.00014700639064141018,1.0970287947078961e-05,3.7442055739899502
z4c,z4c_Axy,whole,5.932045826813387e-05,4.118598953665534e-06,3.8483041865700813
z4c,z4c_Axy,axis,0.0,0.0,
z4c,z4c_Axy,block_interior,2.8270091393046792e-05,1.920969843407765e-06,3.8793697712373305
z4c,z4c_Axy,shared_or_block_boundary,2.3939702457676868e-05,1.6360416481702915e-06,3.871123841322094
z4c,z4c_Axz,whole,0.0,0.0,
z4c,z4c_Axz,axis,0.0,0.0,
z4c,z4c_Axz,block_interior,0.0,0.0,
z4c,z4c_Axz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_Ayy,whole,0.00010634243703759587,8.989934325142114e-06,3.5642630474186574
z4c,z4c_Ayy,axis,7.293071780006975e-06,5.856604775146944e-06,0.3164620540198978
z4c,z4c_Ayy,block_interior,4.721163151851087e-05,3.0365000495946753e-06,3.9586610419513844
z4c,z4c_Ayy,shared_or_block_boundary,0.00019924482311429916,1.581892311599307e-05,3.654818944012705
z4c,z4c_Ayz,whole,0.0,0.0,
z4c,z4c_Ayz,axis,0.0,0.0,
z4c,z4c_Ayz,block_interior,0.0,0.0,
z4c,z4c_Ayz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_Azz,whole,0.0001845984701040638,1.8560861261162528e-05,3.31405503534312
z4c,z4c_Azz,axis,3.646402231612863e-06,2.9281297171429145e-06,0.3164942457323799
z4c,z4c_Azz,block_interior,3.229309505231082e-05,2.158974228753496e-06,3.9028077917264405
z4c,z4c_Azz,shared_or_block_boundary,0.00043980770196103245,3.2441307760971354e-05,3.760968985865711
z4c,z4c_Gamx,whole,0.0004344693255429771,3.754859495106875e-05,3.5324234943388935
z4c,z4c_Gamx,axis,0.0,0.0,
z4c,z4c_Gamx,block_interior,7.297812474740409e-05,6.3155227999044924e-06,3.5304900091983327
z4c,z4c_Gamx,shared_or_block_boundary,0.0006571545544466606,6.177866058705865e-05,3.4110522165116763
z4c,z4c_Gamy,whole,0.0003939825593502195,3.380416986735774e-05,3.5428586422141923
z4c,z4c_Gamy,axis,3.891803750624111e-06,2.6820675163350172e-06,0.5370934071275003
z4c,z4c_Gamy,block_interior,0.0003229278988905045,2.8519244122921733e-05,3.5012044358370416
z4c,z4c_Gamy,shared_or_block_boundary,4.870058836125329e-05,3.0604312475010186e-06,3.9921323383724836
z4c,z4c_Gamz,whole,0.0,0.0,
z4c,z4c_Gamz,axis,0.0,0.0,
z4c,z4c_Gamz,block_interior,0.0,0.0,
z4c,z4c_Gamz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_Theta,whole,0.0001957316282285912,1.5416057781437102e-05,3.666371110278286
z4c,z4c_Theta,axis,6.8379230880150375e-06,6.8112495151153306e-06,0.005638712536152339
z4c,z4c_Theta,block_interior,6.960226069819283e-05,5.007609739758268e-06,3.7969401283374244
z4c,z4c_Theta,shared_or_block_boundary,0.0004127687071101683,3.378423463413363e-05,3.610911524042254
z4c,z4c_alpha,whole,1.9206623188887923e-05,1.4092250172638326e-06,3.768629997244814
z4c,z4c_alpha,axis,1.141148997970473e-06,1.647037032765553e-07,2.792542275488185
z4c,z4c_alpha,block_interior,1.539328729508339e-05,1.1191962376349474e-06,3.7817664347086146
z4c,z4c_alpha,shared_or_block_boundary,2.3260706036802994e-05,1.7887421246158815e-06,3.7008775676299694
z4c,z4c_betax,whole,4.3633953591946354e-05,3.6739396917048942e-06,3.5700513498786672
z4c,z4c_betax,axis,0.0,0.0,
z4c,z4c_betax,block_interior,1.5411410264127604e-05,1.074485933141341e-06,3.842280385075069
z4c,z4c_betax,shared_or_block_boundary,6.0569795564669856e-05,5.4865358670576005e-06,3.464631100568351
z4c,z4c_betay,whole,3.894569671897079e-05,3.220859206203424e-06,3.595946424869709
z4c,z4c_betay,axis,4.235030988635265e-07,4.728900852584529e-07,-0.159132368071108
z4c,z4c_betay,block_interior,3.494074245239932e-05,2.8801417879170155e-06,3.600698522592958
z4c,z4c_betay,shared_or_block_boundary,9.797823318019151e-06,5.806324977006403e-07,4.076764049822376
z4c,z4c_betaz,whole,0.0,0.0,
z4c,z4c_betaz,axis,0.0,0.0,
z4c,z4c_betaz,block_interior,0.0,0.0,
z4c,z4c_betaz,shared_or_block_boundary,0.0,0.0,
z4c,z4c_Bx,whole,4.025928149380375e-05,3.18504180742754e-06,3.6599372099623984
z4c,z4c_Bx,axis,0.0,0.0,
z4c,z4c_Bx,block_interior,3.0337621545051295e-05,2.426730075699298e-06,3.644022431337967
z4c,z4c_Bx,shared_or_block_boundary,5.91022348319971e-05,4.759723067677153e-06,3.634263142478444
z4c,z4c_By,whole,4.2018928994987657e-05,3.337668736265162e-06,3.6541267107699915
z4c,z4c_By,axis,2.800452409988973e-05,2.2943936266976104e-06,3.6094750849932162
z4c,z4c_By,block_interior,4.530804093409315e-05,3.648503838848351e-06,3.634390234944265
z4c,z4c_By,shared_or_block_boundary,3.0813736725762574e-05,2.4907919786207153e-06,3.628897202613877
z4c,z4c_Bz,whole,0.0,0.0,
z4c,z4c_Bz,axis,0.0,0.0,
z4c,z4c_Bz,block_interior,0.0,0.0,
z4c,z4c_Bz,shared_or_block_boundary,0.0,0.0,
con,con_C,whole,0.000165563372543565,1.0407670932879705e-06,7.313592478486087
con,con_C,axis,3.1877624514521814e-09,1.4665042085786813e-07,-5.523693275838597
con,con_C,block_interior,4.206214608524495e-06,2.908018539611458e-08,7.17634218361987
con,con_C,shared_or_block_boundary,0.00045579786427100375,2.4878541903283303e-06,7.51734842076957
con,con_H,whole,0.0013472770528346447,0.00011843131554747822,3.5079240426085354
con,con_H,axis,8.228586637226308e-06,0.00011096287659294728,-3.7532886323565826
con,con_H,block_interior,0.0002648435044283323,1.783149294458708e-05,3.8926407224178448
con,con_H,shared_or_block_boundary,0.003727811321576292,0.00032269666411872364,3.5300782725329944
con,con_M,whole,7.839586625376281e-05,5.903044651251863e-07,7.053174519534678
con,con_M,axis,1.498363934409503e-10,1.5413832583021402e-10,-0.040837546889315235
con,con_M,block_interior,5.435655902642523e-07,3.788063637446609e-09,7.1648497532600315
con,con_M,shared_or_block_boundary,0.0001401278141295572,7.517235134672757e-07,7.542325499848363
con,con_Z,whole,4.896340460707805e-06,4.067163691746425e-08,6.911537010896821
con,con_Z,axis,4.091924706349565e-12,2.2128835921685525e-10,-5.757004151579893
con,con_Z,block_interior,6.299629085905214e-07,5.291908926137698e-09,6.895334843832356
con,con_Z,shared_or_block_boundary,9.128759867080697e-06,7.834755901305595e-08,6.864386747645451
con,con_Mx,whole,0.0015889956278192583,0.00016225691038329859,3.2917633272669806
con,con_Mx,axis,4.7572289586707974e-20,1.038220699195762e-19,-1.125919789457199
con,con_Mx,block_interior,0.00014950413435804093,1.2704934170203646e-05,3.556724575689002
con,con_Mx,shared_or_block_boundary,0.0035231482088208,0.00036602920435459203,3.266834499730562
con,con_My,whole,0.0013205777617620292,0.0001330438943783839,3.3111950474585883
con,con_My,axis,5.162010275735125e-06,8.29611042590366e-06,-0.6845020840328682
con,con_My,block_interior,0.00024073966573687834,1.7064798959522325e-05,3.8183785453868193
con,con_My,shared_or_block_boundary,0.00010237037726820738,7.138842635813133e-06,3.8419642949785526
con,con_Mz,whole,0.0,0.0,
con,con_Mz,axis,0.0,0.0,
con,con_Mz,block_interior,0.0,0.0,
con,con_Mz,shared_or_block_boundary,0.0,0.0,
