sample,operation,k,j,i,var,value
0,3,0,4,7,15,0
0,3,0,4,7,16,0
0,3,0,4,7,17,0
0,3,0,4,7,18,0.75099682354163422
0,3,0,4,7,19,-0.0090720486310275194
0,3,0,4,7,20,-0.009977327543992531
0,3,0,4,7,21,-0.0095328211293438606
0,3,0,4,7,22,-0.18821333330891932
0,3,0,4,7,23,-0.14477948716070715
0,3,0,4,7,24,0
0,3,0,4,7,25,-0.46912328546338161
0,3,0,4,7,26,-0.1239611079952174
0,3,0,4,7,27,0.0083950943001603676
0,3,0,4,7,28,-0.00047266204449293667
0,3,0,4,7,29,-0.17818036902373868
0,3,0,4,7,30,0.5202852791441982
0,3,0,4,7,31,-0.36086406574106272
0,3,0,4,7,32,-0.095354698457859571
0,3,0,4,7,33,0.0064577648462771703
0,3,0,4,7,34,-0.00036358618807197937
0,3,0,4,7,35,-0.13706182232595307
0,3,0,4,7,36,0.40021944549553695
0,3,0,4,7,37,0
0,3,0,4,7,38,0
0,3,0,4,7,39,0
0,3,0,4,7,40,0
0,3,0,4,7,41,0
0,3,0,4,7,42,0
0,3,0,4,7,43,-0.20792813528374296
0,3,0,4,7,44,-0.15994471944903305
0,3,0,4,7,45,0
0,3,0,4,7,46,-0.026373305477838515
0,3,0,4,7,47,-0.0040002308659151681
0,3,0,4,7,48,0.018898332182390842
0,3,0,4,7,49,-0.020287158059875937
0,3,0,4,7,50,-0.0030771006660886562
0,3,0,4,7,51,0.014537178601839083
0,3,0,4,7,52,0
0,3,0,4,7,53,0
0,3,0,4,7,54,0
0,3,0,4,8,0,0.57878701494065232
0,3,0,4,8,1,0.93168780406802365
0,3,0,4,8,2,-0.012220590186601188
0,3,0,4,8,3,-0.0061117011191924673
0,3,0,4,8,4,0.95862034937585761
0,3,0,4,8,5,-0.024402268356541443
0,3,0,4,8,6,1.1205044138782283
0,3,0,4,8,7,0.0058549880784852437
0,3,0,4,8,8,0.0017717131350324822
0,3,0,4,8,9,0.0098759608517369306
0,3,0,4,8,10,0.0099127648306060762
