case	target_time	time	GH_RMS	reduction_RMS	curl_RMS	Psi_error_RMS	physical_lapse_min	physical_lapse_max	relative_metric_condition_max	relative_lapse_min	relative_lapse_max	relative_v2_max	relative_D_Linf	relative_source_Linf	transition_amplitude	e_G	e_alpha	bad_state	characteristic_speed_max	effective_CFL
n96	0.0	0.0	0.0	0.0	0.0	0.0	0.009541207056404379	0.9762494089485795	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9530629084724508	0.05
n96	0.2	0.2027770168412347	9.528706716246084e-08	9.377489430320924e-10	1.3632174244036966e-07	4.343422864549337e-05	0.009541207875447707	0.9762493897665605	1.001570038279494	1.000000003158299	1.000238776859747	2.213409286017232e-10	1.482176734737603e-05	0.0006930538184170791	0.0001567205530222257	8.49552628958539e-05	0.0001273227316726344	0.0	0.9530629886831493	0.05000001061098427
n96	0.5	0.5007295609230548	1.3867264703426956e-06	3.8723016600280094e-08	2.565984541921059e-06	0.00027584983190792525	0.009541211291218151	0.9762491111461858	1.00953188062591	1.000000015299279	1.001995459965263	5.134136554486318e-08	0.0002263560777193639	0.004398102916994094	0.002227652063891846	0.0006233368858228846	0.0009323207221553458	0.0	0.9530640313847688	0.0500000507615788
n96	1.0	1.001391074458855	1.2473690562903468e-05	7.776706066657978e-07	2.8000751500964088e-05	0.001196728831146368	0.00954121865178616	0.9762471909148391	1.037628756730339	1.000000030236072	1.012176608045644	3.320399990815765e-06	0.001831041001213488	0.01801016777086518	0.01611472528861865	0.003485154698973696	0.00521555957942606	0.0	0.95307099961319	0.05000016653849399
n96	2.0	2.001918876259942	0.00010620629004019571	1.751301981271281e-05	0.00031053086411791047	0.005973236527438772	0.009541198909658186	0.9762349764067058	1.219475247767169	0.99999914615141	1.087894744809284	0.0002007787761382885	0.01441005448787739	0.07958259114331985	0.1037687636438258	0.02475449318589053	0.03762113389292357	0.0	0.9531153308445139	0.05000047657133159
n96	3.0	3.000161459321784	0.00041356951489463807	0.00012824465210371956	0.0016197380034213198	0.01847523320320298	0.009540994781958707	0.9762112549194347	1.809367716663401	0.9999777518248565	1.286126490605038	0.001968439782515791	0.04483254419935808	0.3736643347862645	0.2752407798426253	0.08316220654063988	0.1296088002587872	0.0	0.9532035802723168	0.05000074174750335
n96	4.0	4.0	0.0024821744972174033	0.0006697452628027469	0.00798434195986558	0.04964714395107937	0.009540302871344738	0.9761808125126622	3.660741242901822	0.9999052336822483	1.606643297550715	0.03941405228857957	0.2090899171938651	2.068309225812066	0.5	0.1855699435792141	0.2986916247912325	0.0	0.953322330647469	0.02454836516770498
n96	4.2	4.20084532838386	0.004148586248244972	0.0009825360945736313	0.012813007831987135	0.060148575986329146	0.009540068416941728	0.9761745857875828	4.436741945456227	0.9998806608581157	1.668475692513258	0.07394463547101875	0.2988807221147163	3.165424358446442	0.5469940638704115	0.208978232237622	0.3386737126519138	0.0	0.9533476891544196	0.05000085123865346
n96	4.4	4.401597350466504	0.007422213180945481	0.0015655022523438104	0.022186906765708694	0.0730297990367396	0.009539794295628744	0.9761684900984486	5.493580617582299	0.9998519306029853	1.736449363208854	0.1373212473050665	0.4307752245412126	5.004999677012356	0.5934937742328542	0.2320513755103419	0.3786107092484864	0.0	0.9533730054541649	0.05000084282984463
n96	4.6	4.602183747223491	0.014123138047937385	0.0027160399540126553	0.039928114138128946	0.08926614628193001	0.009539478275389824	0.9761625978243972	6.9577458013719	0.9998188089825182	1.813828238924445	0.2656763566981719	0.6350511009168319	8.070701626628654	0.6390188244000254	0.2540496926608762	0.4172695460478548	0.0	0.9533980385996593	0.05000082705069177
n96	4.8	4.802607747943973	0.028953213587939796	0.004978000320956103	0.07274728073373869	0.11055624726193504	0.009539119248284848	0.9761569765145541	9.030863758323887	0.9997811798751259	1.932188625731688	0.5347935109764195	0.9550911252982627	12.94387000922744	0.6831231203956738	0.2741893068998751	0.4533956366948415	0.0	0.9534225631655291	0.05000080429578126
n96	4.9	4.90071669521676	0.04581543034397203	0.006763319141370324	0.09750560387164994	0.12361515265755207	0.009538927828059414	0.9761543416330901	10.3619553910571	0.9997611174003989	2.1121286159247	1.0863482816092	1.170180295014853	35.92140825264641	0.7040778668929443	0.28312570535341	0.4698054659008347	0.0	0.9534343238414149	0.05000079075554162
