resolution,file,time,axisTau,cycle,variable,spacing,eta4_rho_l2,eta4_z_l2,eta4_max_direction,eta4_dominant_direction,fluctuation_rms,k90,k95,k99,f2d_above_n256_nyquist_50,f2d_above_own_nyquist_50,frho_above_n256_nyquist_50,fz_above_n256_nyquist_50,f2d_above_n256_nyquist_65,f2d_above_own_nyquist_65,frho_above_n256_nyquist_65,fz_above_n256_nyquist_65,f2d_above_n256_nyquist_80,f2d_above_own_nyquist_80,frho_above_n256_nyquist_80,fz_above_n256_nyquist_80,d4_rho_seam_rms,d4_rho_away_rms,d4_rho_seam_over_away,duplicate_max_abs,duplicate_max_relative
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_chi,0.015625,0.003582353720762108,0.0034618886390089055,0.003582353720762108,rho,0.02635448295472026,4.694052836492142,5.634830290256652,6.427826877357208,1.0963721245865252e-09,2.906919695605243e-11,1.7662545876425776e-08,1.8966021771050628e-10,3.5618093714575664e-10,5.799883866401016e-12,5.887308215409718e-09,9.546688275477303e-11,1.1232898164343981e-10,8.065523059849804e-13,1.9067439534406904e-09,4.632052264536388e-11,1.3353045859427572e-07,1.2907851219142308e-07,1.034490219150864,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gxx,0.015625,0.0030774432279755495,0.006942290182355242,0.006942290182355242,z,0.04631756913596675,6.427826877357208,6.427826877357208,6.975791642712366,1.4533635625387167e-08,6.13478526414219e-10,4.276312033871006e-08,3.713123930667524e-10,5.3889534056944325e-09,1.4315583066471074e-10,1.4706283307706511e-08,1.712808316259677e-10,1.991049071478833e-09,2.0260334853785496e-11,4.9817608884654216e-09,7.922079437362717e-11,4.581690062943043e-07,3.836109139515244e-07,1.1943586308652308,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gxy,0.015625,0.0015752897667149022,0.0015566034517494358,0.0015752897667149022,rho,0.06810622185015024,4.417027047448759,6.427826877357208,6.975791642712366,1.0335240590389257e-08,1.454947631607188e-10,3.91301259688887e-08,1.3147136507434855e-09,2.9668614026191763e-09,1.7267599710754204e-11,1.1920678603250558e-08,3.2358146137754443e-10,7.787487379125852e-10,1.1281428237385202e-12,3.3941582883988296e-09,8.43446659420821e-11,1.0235848778109604e-07,1.3602925332710297e-07,0.7524740826730609,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gxz,0.015625,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gyy,0.015625,0.005261285926977562,0.003022568653036454,0.005261285926977562,rho,0.07208978822480715,4.417027047448759,4.694052836492142,5.634830290256652,2.970139921944907e-09,1.0348412910138903e-10,1.0286312883959061e-08,2.1215262620729587e-10,1.035042961522863e-09,2.2511542302723092e-11,3.849107466347567e-09,1.1495763231558658e-10,3.574730299286354e-10,3.0637418282271105e-12,1.4197369888235187e-09,5.762788098520201e-11,3.1838389732001823e-07,3.100184544892608e-07,1.0269836921692208,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gyz,0.015625,0.0,0.0,0.0,rho,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_gzz,0.015625,0.003782613606036254,0.0035713509767275396,0.003782613606036254,rho,0.035881034262609496,4.417027047448759,5.634830290256652,6.427826877357208,6.576207409895383e-10,2.4794407843239097e-11,1.0965664528703302e-08,1.8840696966432196e-10,2.347232863148633e-10,5.580481515094486e-12,4.145467153849001e-09,9.765020233274677e-11,8.321506530926869e-11,8.054267809103243e-13,1.5483242869298492e-09,4.806713471272172e-11,2.0675160557466873e-07,1.874380371026211e-07,1.103039748631968,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_Khat,0.015625,0.0034424667702002603,0.009406322266015487,0.009406322266015487,z,0.00019324368086825366,6.427826877357208,6.427826877357208,9.35171766649985,6.897700983934738e-09,5.827466291611526e-10,2.870559372971562e-08,7.763056063291254e-10,1.7354171266149706e-09,1.928081793449925e-10,9.02741556368554e-09,4.2499138899416263e-10,1.0772984574430666e-09,3.336058157302505e-11,3.4585797489711017e-09,2.1599684217682237e-10,2.4937732279782232e-09,7.837117492551527e-09,0.31820030255941284,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_Axx,0.015625,0.0030225525418635427,0.004079496546548757,0.004079496546548757,z,0.0006644226780199581,6.427826877357208,6.427826877357208,6.975791642712366,1.0101430827165736e-07,1.5518082737699743e-09,9.169968535287216e-08,1.846111186375318e-10,2.9344362379588664e-08,2.1287241314705775e-10,2.7699837297955007e-08,9.570827265881247e-11,7.867954005553795e-09,1.8512977719940435e-11,7.970294164476415e-09,4.714270256005743e-11,4.241282230077133e-09,8.84405768569918e-09,0.4795629194561809,0.0,0.0
n512,n512_reference_shock_replay.state.00059.bin,14.752193401589535,8.029004078727247,5847,z4c_Axy,0.015625,0.002720003354944368,0.0021817380676662497,0.002720003354944368,rho,0.0002845497373131778,4.417027047448759,5.634830290256652,6.975791642712366,8.237452643226715e-09,1.5819121319046738e-10,3.982079608341538e-08,2.728431466754248e-09,2.374929407644099e-09,2.552602344052876e-11,1.2133172581513596e-08,6.744724345012406e-10,6.871573781412134e-10,2.7946175678390977e-12,3.4453605375482918e-09,1.7664048071572817e-10,3.5780350088945483e-10,1.1893725908896116e-09,0.3008337646517608,0.0,0.0
