
Root grid = 2 x 2 x 2 MeshBlocks
Total number of MeshBlocks = 456
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 8 (9 levels total)
  Physical level = 1 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 4 (logical level = 5): 56 MeshBlocks, cost = 56
  Physical level = 5 (logical level = 6): 56 MeshBlocks, cost = 56
  Physical level = 6 (logical level = 7): 56 MeshBlocks, cost = 56
  Physical level = 7 (logical level = 8): 56 MeshBlocks, cost = 56
  Physical level = 8 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
Research qualification execution backend: Cuda

Setup complete, executing task list(s)...

elapsed=4.797378e+01 cycle=8121 time=5.408891e+00 dt=5.864544e-04
elapsed=4.862663e+01 cycle=8122 time=5.409478e+00 dt=5.858575e-04
elapsed=4.931343e+01 cycle=8123 time=5.410064e+00 dt=5.852517e-04
elapsed=5.108476e+01 cycle=8124 time=5.410649e+00 dt=5.846367e-04
elapsed=5.175787e+01 cycle=8125 time=5.411233e+00 dt=5.840123e-04
elapsed=5.242910e+01 cycle=8126 time=5.411818e+00 dt=5.833784e-04
elapsed=5.308175e+01 cycle=8127 time=5.412401e+00 dt=5.827346e-04
elapsed=5.373571e+01 cycle=8128 time=5.412984e+00 dt=5.820808e-04
elapsed=5.438641e+01 cycle=8129 time=5.413566e+00 dt=5.814167e-04
elapsed=5.507113e+01 cycle=8130 time=5.414147e+00 dt=5.807421e-04
elapsed=5.577178e+01 cycle=8131 time=5.414728e+00 dt=5.800568e-04
elapsed=5.644524e+01 cycle=8132 time=5.415308e+00 dt=5.793606e-04
elapsed=5.709665e+01 cycle=8133 time=5.415887e+00 dt=5.786532e-04
elapsed=5.775406e+01 cycle=8134 time=5.416466e+00 dt=5.779345e-04
elapsed=5.843423e+01 cycle=8135 time=5.417044e+00 dt=5.772041e-04
elapsed=5.913434e+01 cycle=8136 time=5.417621e+00 dt=5.764619e-04
elapsed=5.982698e+01 cycle=8137 time=5.418198e+00 dt=5.757075e-04
elapsed=6.050474e+01 cycle=8138 time=5.418773e+00 dt=5.749408e-04
elapsed=6.116191e+01 cycle=8139 time=5.419348e+00 dt=5.741613e-04
elapsed=6.180799e+01 cycle=8140 time=5.419922e+00 dt=5.733687e-04
elapsed=6.245622e+01 cycle=8141 time=5.420496e+00 dt=5.725628e-04
elapsed=6.324957e+01 cycle=8142 time=5.421068e+00 dt=5.717432e-04
elapsed=6.393850e+01 cycle=8143 time=5.421640e+00 dt=5.709094e-04
elapsed=6.462448e+01 cycle=8144 time=5.422211e+00 dt=5.700612e-04
elapsed=6.528331e+01 cycle=8145 time=5.422781e+00 dt=5.691982e-04
elapsed=6.593084e+01 cycle=8146 time=5.423350e+00 dt=5.683200e-04
elapsed=6.657525e+01 cycle=8147 time=5.423919e+00 dt=5.674261e-04
elapsed=6.725407e+01 cycle=8148 time=5.424486e+00 dt=5.665161e-04
elapsed=6.793127e+01 cycle=8149 time=5.425052e+00 dt=5.655897e-04
elapsed=6.860670e+01 cycle=8150 time=5.425618e+00 dt=5.646464e-04
elapsed=6.937549e+01 cycle=8151 time=5.426183e+00 dt=5.636858e-04
elapsed=7.002201e+01 cycle=8152 time=5.426746e+00 dt=5.627074e-04
elapsed=7.067366e+01 cycle=8153 time=5.427309e+00 dt=5.617109e-04
elapsed=7.135296e+01 cycle=8154 time=5.427871e+00 dt=5.606956e-04
elapsed=7.203077e+01 cycle=8155 time=5.428431e+00 dt=5.596612e-04
elapsed=7.270896e+01 cycle=8156 time=5.428991e+00 dt=5.586072e-04
elapsed=7.337702e+01 cycle=8157 time=5.429550e+00 dt=5.575329e-04
elapsed=7.402402e+01 cycle=8158 time=5.430107e+00 dt=5.564380e-04
elapsed=7.468194e+01 cycle=8159 time=5.430664e+00 dt=5.553218e-04
elapsed=7.535100e+01 cycle=8160 time=5.431219e+00 dt=5.541837e-04
elapsed=7.602588e+01 cycle=8161 time=5.431773e+00 dt=5.530231e-04
elapsed=7.670854e+01 cycle=8162 time=5.432326e+00 dt=5.518394e-04
elapsed=7.737724e+01 cycle=8163 time=5.432878e+00 dt=5.506318e-04
elapsed=7.802781e+01 cycle=8164 time=5.433429e+00 dt=5.493998e-04
elapsed=7.868102e+01 cycle=8165 time=5.433978e+00 dt=5.481425e-04
elapsed=7.936336e+01 cycle=8166 time=5.434526e+00 dt=5.468593e-04
elapsed=8.004450e+01 cycle=8167 time=5.435073e+00 dt=5.455492e-04
elapsed=8.073066e+01 cycle=8168 time=5.435619e+00 dt=5.442116e-04
elapsed=8.140166e+01 cycle=8169 time=5.436163e+00 dt=5.428456e-04
elapsed=8.205397e+01 cycle=8170 time=5.436706e+00 dt=5.414503e-04
elapsed=8.270940e+01 cycle=8171 time=5.437247e+00 dt=5.400247e-04
elapsed=8.337620e+01 cycle=8172 time=5.437787e+00 dt=5.385681e-04
elapsed=8.409175e+01 cycle=8173 time=5.438326e+00 dt=5.370794e-04
elapsed=8.477206e+01 cycle=8174 time=5.438863e+00 dt=5.355577e-04
elapsed=8.552591e+01 cycle=8175 time=5.439398e+00 dt=5.340019e-04
elapsed=8.616808e+01 cycle=8176 time=5.439932e+00 dt=5.324109e-04
elapsed=8.681415e+01 cycle=8177 time=5.440465e+00 dt=5.307836e-04
elapsed=8.747076e+01 cycle=8178 time=5.440996e+00 dt=5.291190e-04
elapsed=8.815358e+01 cycle=8179 time=5.441525e+00 dt=5.274157e-04
elapsed=8.882867e+01 cycle=8180 time=5.442052e+00 dt=5.256726e-04
