# time,dt,profile,min_alpha,min_chi,min_metric_minor,max_beta,max_Gamma,invalid_points,coordinate_global_volume,coordinate_global_gamma_rms,coordinate_global_chi_gradient_rms,coordinate_global_lapse_gradient_rms,coordinate_global_damping_rms,coordinate_core_r_le_0p25_volume,coordinate_core_r_le_0p25_gamma_rms,coordinate_core_r_le_0p25_chi_gradient_rms,coordinate_core_r_le_0p25_lapse_gradient_rms,coordinate_core_r_le_0p25_damping_rms,coordinate_ah_0p25_to_1_volume,coordinate_ah_0p25_to_1_gamma_rms,coordinate_ah_0p25_to_1_chi_gradient_rms,coordinate_ah_0p25_to_1_lapse_gradient_rms,coordinate_ah_0p25_to_1_damping_rms,coordinate_ext_2_to_8_volume,coordinate_ext_2_to_8_gamma_rms,coordinate_ext_2_to_8_chi_gradient_rms,coordinate_ext_2_to_8_lapse_gradient_rms,coordinate_ext_2_to_8_damping_rms,proper_global_volume,proper_global_gamma_rms,proper_global_chi_gradient_rms,proper_global_lapse_gradient_rms,proper_global_damping_rms,proper_core_r_le_0p25_volume,proper_core_r_le_0p25_gamma_rms,proper_core_r_le_0p25_chi_gradient_rms,proper_core_r_le_0p25_lapse_gradient_rms,proper_core_r_le_0p25_damping_rms,proper_ah_0p25_to_1_volume,proper_ah_0p25_to_1_gamma_rms,proper_ah_0p25_to_1_chi_gradient_rms,proper_ah_0p25_to_1_lapse_gradient_rms,proper_ah_0p25_to_1_damping_rms,proper_ext_2_to_8_volume,proper_ext_2_to_8_gamma_rms,proper_ext_2_to_8_chi_gradient_rms,proper_ext_2_to_8_lapse_gradient_rms,proper_ext_2_to_8_damping_rms
0,0.015625,candidate_c,0.045365018047222858,0.0020579848624248565,1.1246293070893809,0,3.3374714952671413e-15,0,8000,2.8639562698953045e-16,0.0096315654464948774,0.0096315894530427867,0,0.030517578125,1.2691499978027825e-15,5.9810500271209846e-05,4.3472356618714309e-05,0,4.119873046875,1.6603491199087972e-15,0.018906056542012401,0.018906045583086648,0,2100.921630859375,3.9501306694335423e-16,0.015317329557523711,0.015317341109390273,0,11966.136840531673,4.2011249580166518e-16,0.011049836189341217,0.011049872474435909,0,326.87883471661183,1.2691499978027825e-15,5.9810500271209839e-05,4.3472356618714309e-05,0,187.13090831906197,1.2951682949582424e-15,0.01181349224715302,0.011814682534986682,0,3557.7913648986387,4.2545542390561011e-16,0.016551152894454586,0.016551165706967675,0
0.10000000000000001,0.012500000000000011,candidate_c,0.045399921341659148,0.0020531010308362796,1.1246293077904945,5.6019746941877165e-05,0.001754621110213778,0,8000,2.6394598464213135e-05,0.0096316612145827575,0.0096307476071585112,1.7034986008227933e-06,0.030517578125,0.00062637374039761838,5.9967441219241275e-05,4.3378193258023425e-05,4.201042158887011e-05,4.119873046875,0.0010601529320519931,0.018909900850253722,0.018903676446690575,6.7610374791422071e-05,2100.921630859375,3.2042844857135354e-06,0.015317472756321593,0.015315826444160697,3.1331124977571735e-07,11967.306999995817,0.00019965583766238498,0.011049546433075475,0.011047999199877241,1.2820225070227002e-05,328.04587678154553,0.00062637374039761827,5.9967441219241282e-05,4.3378193258023425e-05,4.2010421588870116e-05,187.12186834614798,0.0013495573185427195,0.011816735548446002,0.011814591662795948,8.5070237005993834e-05,3557.7981075037551,4.5153394387106157e-06,0.016551354157206676,0.016549230707345573,4.2915472771888708e-07
0.20937500000000001,0.015625,candidate_c,0.045448394719971801,0.0020479169968190747,1.1246293106667542,0.00045805529980548541,0.006932633966112811,0,8000,0.00011148679410904348,0.0096319828066939103,0.0096279179015973208,1.4534045821571428e-05,0.030517578125,0.0029215688412958089,6.0167148314251778e-05,4.3316170360865256e-05,0.00036621190944890417,4.119873046875,0.0044370192380332471,0.018923789983551157,0.018896384935431356,0.0005738542729305247,2100.921630859375,1.4174561027605595e-05,0.015317956568491489,0.015310700117910496,2.7438139986350677e-06,11968.585844039237,0.00085058974925776511,0.011049809234152238,0.011042923152495721,0.00010937713653879705,329.29227256738858,0.0029215688412958093,6.0167148314251785e-05,4.331617036086525e-05,0.00036621190944890412,187.11392688922189,0.0055205973872174087,0.011827578321435965,0.011813932101234485,0.00071796770080012986,3557.8208389861047,1.9976121318944314e-05,0.016552033195561616,0.01654268201302201,3.7592663569074057e-06
0.25,0.015625,candidate_c,0.045471217471543549,0.0020461253529391139,1.1246293129010378,0.00074024110186748948,0.009408139035478524,0,8000,0.00015596963153290727,0.0096321594444320341,0.0096263643232883927,2.399068940139137e-05,0.030517578125,0.0041463961487019684,6.0255693757957716e-05,4.3309746326391667e-05,0.00061456238533313143,4.119873046875,0.0061769485630699802,0.018932008167481276,0.01889279591457714,0.0009440960882999952,2100.921630859375,2.0307625734715406e-05,0.015318222873133936,0.015307871487603122,4.5931751748212809e-06,11969.033016871312,0.0011830887434259576,0.011050077366127122,0.011040254579532368,0.00018032074283207377,329.72487334719693,0.0041463961487019675,6.025569375795771e-05,4.330974632639166e-05,0.00061456238533313132,187.10671603300807,0.0075926675862729356,0.011834003072245291,0.011813880691045591,0.0011730356153969758,3557.8333244671112,2.8620743114261986e-05,0.016552406355819883,0.016539068728152913,6.2934053007821832e-06
0.40625,0.015625,candidate_c,0.045601686451525618,0.0020407834527112916,1.124629334776392,0.0025385788221564268,0.020219727491647032,0,8000,0.0003761339796467472,0.0096331274045124479,0.0096178771793447443,9.0286167308170515e-05,0.030517578125,0.009161456125471994,6.0733969694782929e-05,4.3420020670984084e-05,0.0022879140681758298,4.119873046875,0.014505392671591028,0.018983631444765326,0.018877712727465894,0.0034886287199909975,2100.921630859375,5.5020281045992067e-05,0.015319679563104552,0.015292301196236327,1.8562096039044816e-05,11970.354557874552,0.0026241298726546853,0.011052125829775231,0.011026222636492788,0.00065254017733886371,331.02033869301135,0.009161456125471994,6.0733969694782929e-05,4.3420020670984084e-05,0.0022879140681758298,187.01903727421191,0.016761017963190721,0.011874849468876554,0.01181747446004794,0.0041676078288942634,3557.901326458089,7.7561147410130541e-05,0.016554440107361793,0.016519182280432979,2.5443326431537861e-05
0.5,0.015625,candidate_c,0.045724408962626605,0.0020393234278343426,1.1246293644586829,0.0041112148479731797,0.026790829139315936,0,8000,0.00053494119681610209,0.0096339298936091704,0.009610883205391536,0.00015453997408116174,0.030517578125,0.011625619341968402,6.1168206633809856e-05,4.3622960948297833e-05,0.0036934453325157875,4.119873046875,0.020178430547610669,0.019033856342327529,0.018870071040680062,0.0058813053814629956,2100.921630859375,8.5042817311481342e-05,0.015320877236411599,0.015279356712560284,3.3506477118642244e-05,11970.67529973982,0.003455367226776336,0.011054242944906258,0.011015057969683516,0.0010652009886601723,331.37588633317745,0.011625619341968402,6.1168206633809856e-05,4.3622960948297833e-05,0.0036934453325157871,186.89708110848687,0.022341477131784349,0.011914791853289518,0.011824443198667618,0.0068183150202571789,3557.9569552385328,0.00011990312739823831,0.01655610300675197,0.016502654204748397,4.594367806062157e-05
0.609375,0.015625,candidate_c,0.045918785423231773,0.0020396821266588207,1.1246294212244408,0.0062900480704714459,0.034033196317709166,0,8000,0.00073574026271609858,0.0096350803213076028,0.0096009302092009696,0.00025234682191996809,0.030517578125,0.014022204786681222,6.1846205359053673e-05,4.4017029865317883e-05,0.005512926388311864,4.119873046875,0.02689360922640786,0.019115466031706482,0.018864826559158294,0.0093964609544644247,2100.921630859375,0.00012984192941995295,0.015322570512787712,0.015260799119576779,5.8614984333072969e-05,11970.478328700276,0.0043520786440864496,0.011057659390678962,0.010999540120545302,0.0016292238448195359,331.28847645201409,0.014022204786681222,6.1846205359053686e-05,4.4017029865317883e-05,0.0055129263883118649,186.67315774916153,0.028437051650624458,0.011979296977541085,0.011838775998074348,0.010502058470446884,3558.0353587707718,0.00018310212358807964,0.016558440107038882,0.016478967741674098,8.0410556080495654e-05
0.703125,0.015625,candidate_c,0.046132694041091146,0.0020418995649423865,1.1246294911586265,0.008336135173651199,0.03970282284557744,0,8000,0.00091659627956581623,0.0096362543928263603,0.0095908656704458348,0.00035441852730107548,0.030517578125,0.015886531423761088,6.2587315734319524e-05,4.4502221873031465e-05,0.0071493714285883764,4.119873046875,0.032487357576849327,0.019207876512725448,0.018864488133657618,0.012910638613596273,2100.921630859375,0.00017753518399316219,0.01532426491234495,0.015241897965148776,8.7693047829858755e-05,11969.779114371779,0.0050759078637466291,0.011061454877875229,0.010984155378874573,0.0021612824030925559,330.74896979423619,0.015886531423761088,6.2587315734319524e-05,4.4502221873031458e-05,0.0071493714285883764,186.40835672733334,0.033276980626669075,0.012051597633090071,0.011856967405973555,0.014008357001429708,3558.1136787688165,0.00025039945636398452,0.016560762437172579,0.016454854260786966,0.00012035657517552574
0.8125,0.015625,candidate_c,0.046440300555755439,0.0020468260512141964,1.1246295973602618,0.010879504263367631,0.045941010777861634,0,8000,0.0011343325959095561,0.009637850998670627,0.0095773356762709257,0.00049268052076598633,0.030517578125,0.017957930305845912,6.3651682237273759e-05,4.5253444655966502e-05,0.0091054480618453903,4.119873046875,0.038685743763614527,0.019343870449246594,0.01886940872456561,0.017437954618000625,2100.921630859375,0.00024532617078172099,0.015326510258649598,0.015216307339707715,0.00013162787388020568,11968.319426679467,0.0058868968206064309,0.0110669534752585,0.010963821376321516,0.00282077054561516,329.55557375596396,0.017957930305845915,6.3651682237273746e-05,4.5253444655966495e-05,0.0091054480618453903,186.01547707771016,0.038573888546117742,0.012156947184156023,0.011885297568463985,0.018358611565027789,3558.2173834294254,0.00034607385326347064,0.016563814119423859,0.016422226432913255,0.00018076197993165035
0.90625,0.015625,candidate_c,0.046755709758655485,0.0020531173239909796,1.1246297073270604,0.013130077248877787,0.050962560152677375,0,8000,0.0013251957217679854,0.009639421995197902,0.0095642027193511159,0.00062589419411169145,0.030517578125,0.019701950134374709,6.4745645202491319e-05,4.6067066660742103e-05,0.010806553076452939,4.119873046875,0.043711944922902077,0.019485030632640218,0.018878059912081913,0.021570988560173848,2100.921630859375,0.00031503878437715054,0.015328652385075889,0.01519129477119939,0.00017885738366831428,11966.508371782429,0.0065660526301891571,0.011072626593112254,0.010944371781538068,0.0034099846803364209,328.04197182330023,0.019701950134374709,6.4745645202491319e-05,4.606706666074211e-05,0.010806553076452939,185.60895392116944,0.042916365570437667,0.012265533206537251,0.011915566676123824,0.022230164669358714,3558.3162549715321,0.00044447344805395572,0.016566697017595906,0.016390358939272518,0.00024575255774602364
