# Nx1 Nx2 Nx3 Ncycle region weighting sampled_volume cell_count C_rms H_rms M_rms Z_rms H_linf M_linf
0256 0512 0001 00249 box coordinate 5.1200000000000000e+02 757760 7.7836927536594770e-06 6.4209144772413982e-06 3.5285136936684320e-06 1.2949266259898588e-06 2.4503857598595635e-04 5.9481791099110809e-05
0256 0512 0001 00249 box proper 1.0586609989210749e+03 757760 7.8382488944679225e-06 6.3391229404931043e-06 3.2562095514676480e-06 1.6051803446568482e-06 2.4503857598595635e-04 5.9481791099110809e-05
0256 0512 0001 00249 r<=1 coordinate 1.5737304687500000e+00 6446 2.1143451813190618e-09 1.6942144040800624e-09 1.2622140060617865e-09 1.8014799402874966e-11 7.6899069346596037e-09 3.2484191944826714e-09
0256 0512 0001 00249 r<=1 proper 6.7143302007753416e+00 6446 2.1178135114360925e-09 1.6963036563319335e-09 1.2652034047245680e-09 1.8093929925943744e-11 7.6899069346596037e-09 3.2484191944826714e-09
