diss,C_t6p5,C_t9p2,first_transaction_time,first_accepted_refinement_time,first_late_refinement_after_t6p5,requested_refine_total,created_leaf_total,max_leaf_count,max_ref_level,terminal_time,terminal_axisTau,terminal_C,terminal_H,terminal_M,terminal_Z,minimum_chi,minimum_metric_pivot,max_axisKret_log10_deviation_from_diss0p02,peak_hbm_used_mib,segment_exit_statuses,status
0.02,0.0032850020249102435,1.0321172218073384,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,9.5,5.795481468297021,2.305383136659569,1.8400065454041779,0.1520713066850428,0.0039400335101005286,0.3213600814342499,0.19738458469774756,0.0,5815.0,0;0,REACHED_T9P5
0.05,0.0026934456375568737,0.6923577575460332,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,9.5,5.79583952612291,1.3829557188037522,1.066682100814285,0.11606279014811534,0.0029328938591165607,0.32136017084121704,0.19738458469774756,0.027975065679196387,5815.0,0;0,REACHED_T9P5
0.10,0.002223800874203182,0.390464198624487,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,9.5,5.796324646583001,0.6894309621184509,0.49562130440725366,0.08059558452544681,0.0023610188930232624,0.3213602900505066,0.19738458469774756,0.055533430334148814,5815.0,0;0,REACHED_T9P5
0.20,0.0018501978194133397,0.1675276910149798,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,9.5,5.797052622006338,0.2611962209566032,0.15855876955466663,0.04757579470830488,0.0020294755304127512,0.32136043906211853,0.19738458469774756,0.08605541838577535,36577.0,0;0,REACHED_T9P5
0.50,0.0015175926401299622,0.043688664577228975,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,9.5,5.7984435934434915,0.0610804492459119,0.020858652752419257,0.019116451274084408,0.0016476861295488816,0.3213607966899872,0.19738458469774756,0.11035556851314787,5815.0,0;0,REACHED_T9P5
