coordinate_time,resolution,region,min_chi,min_metric_spd_pivot,same_level_shared_node_spread,coarse_fine_shared_node_spread
0.0,n128,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n128,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n256,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n256,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n512,trusted_core,0.3322444558143616,0.19738458469774756,0.0,0.0
0.0,n512,full_domain,0.3322444558143616,0.19738458469774756,0.0,0.0
0.25,n128,trusted_core,0.33609632540063406,0.22630614127604412,0.0,0.0
0.25,n128,full_domain,0.33609632540063406,0.22630614127604412,0.0,0.0
0.25,n256,trusted_core,0.3360825888530437,0.22661893197883506,0.0,0.0
0.25,n256,full_domain,0.3360825888530437,0.22661893197883506,0.0,0.0
0.25,n512,trusted_core,0.3360817513556929,0.22661884956705278,0.0,0.0
0.25,n512,full_domain,0.3360817513556929,0.22661884956705278,0.0,0.0
0.5,n128,trusted_core,0.3442172008413686,0.2846119956138787,0.0,0.0
0.5,n128,full_domain,0.3442172008413686,0.2846119956138787,0.0,0.0
0.5,n256,trusted_core,0.3441947929493907,0.28487661744992815,0.0,0.0
0.5,n256,full_domain,0.3441947929493907,0.28487661744992815,0.0,0.0
0.5,n512,trusted_core,0.34419276741102567,0.28497928470021316,0.0,0.0
0.5,n512,full_domain,0.34419276741102567,0.28497928470021316,0.0,0.0
1.0,n128,trusted_core,0.327308427385757,0.43645885091794556,0.0,0.0
1.0,n128,full_domain,0.327308427385757,0.43645885091794556,0.0,0.0
1.0,n256,trusted_core,0.32729045794048406,0.43722350890462447,0.0,0.0
1.0,n256,full_domain,0.32729045794048406,0.43722350890462447,0.0,0.0
1.0,n512,trusted_core,0.32729270354647616,0.4372476684920816,0.0,0.0
1.0,n512,full_domain,0.32729270354647616,0.4372476684920816,0.0,0.0
1.5,n128,trusted_core,0.32112701257397924,0.6070291552525056,0.0,0.0
1.5,n128,full_domain,0.32112701257397924,0.6070291552525056,0.0,0.0
1.5,n256,trusted_core,0.3213558815859637,0.6069421622381329,0.0,0.0
1.5,n256,full_domain,0.3213558815859637,0.6069421622381329,0.0,0.0
1.5,n512,trusted_core,0.3213720031599329,0.6069411399522826,0.0,0.0
1.5,n512,full_domain,0.3213720031599329,0.6069411399522826,0.0,0.0
2.0,n128,trusted_core,0.32599842132263207,0.6961717630749196,0.0,0.0
2.0,n128,full_domain,0.32599842132263207,0.6961717630749196,0.0,0.0
2.0,n256,trusted_core,0.32633252763019965,0.6961638178275674,0.0,0.0
2.0,n256,full_domain,0.32633252763019965,0.6961638178275674,0.0,0.0
2.0,n512,trusted_core,0.3263556782744766,0.6961643075704019,0.0,0.0
2.0,n512,full_domain,0.3263556782744766,0.6961643075704019,0.0,0.0
