family,component_count,parent_block_count,PR_relative_l2,PR_max_abs,PR_edge_band_relative_l2,PR_interior_relative_l2,PR_max_location,D1_O6_O4_relative_l2,D1_O6_O4_max_abs,D2_O6_O4_relative_l2,D2_O6_O4_max_abs,block_nyquist_i_rms,block_nyquist_j_rms,block_nyquist_ij_rms,block_nyquist_max
chi,1,4,0.0001561983767540236,0.002638208023501676,0.0002361700463638993,1.855641904821478e-06,"{'value': 0.002638208023501676, 'gid': 28, 'component': 'z4c_chi', 'active_i': 3, 'active_j': 31, 'rho': 5.109375, 'z': -0.015625, 'within_four_cells_of_block_edge': True}",0.010292515111697664,0.009295002769481253,0.0403093146549952,0.3202776529807032,0.02553268753096488,0.03815748854495908,0.0010092928872065202,0.04700380464343716
K,1,4,0.35748882773535734,3.726796647804255,0.39363826040393673,0.005791761041299833,"{'value': 3.726796647804255, 'gid': 28, 'component': 'z4c_Khat', 'active_i': 3, 'active_j': 31, 'rho': 5.109375, 'z': -0.015625, 'within_four_cells_of_block_edge': True}",0.09946171456761832,16.539314544377675,0.073007992249698,671.8569518816457,0.060818960106251777,0.043001522667311706,0.00017425831493537742,0.08532485757021843
Atilde,6,4,0.2870829006063485,0.851918752088812,0.3288316493997776,0.01690882932372239,"{'value': 0.851918752088812, 'gid': 28, 'component': 'z4c_Ayy', 'active_i': 3, 'active_j': 31, 'rho': 5.109375, 'z': -0.015625, 'within_four_cells_of_block_edge': True}",0.0754563390401159,3.892005766190799,0.052796518851180425,126.67104412050094,0.02273610774151669,0.030909309749919237,0.0007264337130506914,0.0673452249791612
Gammatilde,3,4,0.01514885119017058,0.06689964966795595,0.023509989981331168,0.0002812985430334879,"{'value': 0.06689964966795595, 'gid': 28, 'component': 'z4c_Gamy', 'active_i': 3, 'active_j': 31, 'rho': 5.109375, 'z': -0.015625, 'within_four_cells_of_block_edge': True}",0.030935953662488892,0.24912149075547785,0.09448718316876106,23.585350081112466,0.03153431717577997,0.02558049534799927,0.0006148117054650353,0.04635612561938267
gammatilde,6,4,0.00010877487945453707,0.00394145138532731,0.00016452559770678904,2.3075663159099603e-06,"{'value': 0.00394145138532731, 'gid': 28, 'component': 'z4c_gzz', 'active_i': 3, 'active_j': 31, 'rho': 5.109375, 'z': -0.015625, 'within_four_cells_of_block_edge': True}",0.0076357332231989285,0.015341039553849023,0.05614818527006203,0.7374082967529265,0.0189812497933617,0.028051333818521783,0.0009344861105222696,0.05009889305997832
