diss,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power
0.02,0.0,0.0,0,32,0.3317209780216217,0.19738458469774756,0.9999998618315257,1.9769680708678297,-4.0
0.02,0.1554455752226037,0.25239728765678654,93,50,0.33599236607551575,0.22638511428243646,0.9999998172782543,1.976968632381844,-4.0
0.02,0.3104069574995065,0.5040083378180226,151,44,0.344062477350235,0.2859504554535732,0.99999986365408,1.976969845575137,-4.0
0.02,0.4628855806542382,0.7515878356031671,196,44,0.33958709239959717,0.3525283605297851,0.9999998642947123,1.9769727433012703,-4.0
0.02,0.6170875106119276,1.001964564307453,238,44,0.32723376154899597,0.43632097791181224,0.9999998582017238,1.9769767086966104,-4.0
0.02,0.7735332934885227,1.2559825348492695,278,44,0.3222666382789612,0.5323264569194492,0.9999998587695202,1.9769830379480808,-4.0
0.02,0.9250600167314654,1.502009723274411,315,44,0.3213600814342499,0.6074627495466771,0.9999998593351108,1.9769908160120238,-4.0
0.02,1.081952573280081,1.7567424898220665,352,44,0.32295870780944824,0.6609682757965203,0.9999998549298791,1.9770013462321496,-4.0
0.02,1.2343289578220378,2.0041327005191922,387,44,0.32585689425468445,0.694377563705828,0.999999862216887,1.9770138867374911,-4.0
0.02,1.387509142391019,2.2528137941239863,422,44,0.3291209638118744,0.7154114367947102,0.9999998638239045,1.9770287356648866,-4.0
0.02,1.5399355241846155,2.5002524330555738,457,44,0.3323763906955719,0.7284207756715801,0.9999998576363684,1.9770464821862694,-4.0
0.02,1.6954169867614353,2.7526262553674243,493,44,0.3355082869529724,0.737396134081294,0.9999998582276887,1.9770677779449526,-4.0
0.02,1.8496360374205159,3.00292232696495,529,44,0.3382635712623596,0.7437828063183503,0.999999862826115,1.9770927408035948,-4.0
0.02,2.00270811551443,3.25132599008157,565,44,0.3407408595085144,0.7485109613883267,0.9999998566333573,1.977120365478749,-4.0
0.02,2.159019718633561,3.504955836124646,602,44,0.3430698812007904,0.7532443455073263,0.9999998571366259,1.9771521909858052,-4.0
0.02,2.3102532679594496,3.750323164247853,638,44,0.3451709747314453,0.7568282197837277,0.9999998607168626,1.9771864702884634,-4.0
0.02,2.4649304294608076,4.001270994058924,675,44,0.3472065329551697,0.7608447976359116,0.9999998615345592,1.9772258377900476,-4.0
0.02,2.6189351333336615,4.251153769883675,712,44,0.34900298714637756,0.7640923047933654,0.9999998611363198,1.9772686641364652,-4.0
0.02,2.7722910160145693,4.500066753059087,749,44,0.3506890535354614,0.7676070995523645,0.9999998566746171,1.977315455573793,-4.0
