diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.02,0.0,0.0,R4,C,1.3840910029346725e-06,1141.0689141071855,1.1726826281631262e-07,0.00047874771265271176,3.875,-0.125,4.0,0.0
0.02,0.0,0.0,R4,H,1.3537014188740079e-06,1141.0689141071855,1.1540042373202753e-07,0.0004770499945152551,3.875,-0.125,4.0,0.0
0.02,0.0,0.0,R4,M,0.0,1141.0689141071855,0.0,0.0,0.0,-4.0,0.0,-4.0
0.02,0.0,0.0,R4,Z,7.597400312957967e-09,1141.0689141071855,4.669594277178711e-10,2.0141215313484147e-05,3.875,-0.125,4.0,0.0
0.02,0.0,0.0,R8,C,0.0006850460432450883,6867.697340557753,3.911899354771891e-05,0.005980632079563001,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,R8,H,0.0006815194336669424,6867.697340557753,3.9074666148472876e-05,0.005977977998554707,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,R8,M,0.0,6867.697340557753,0.0,0.0,0.0,-8.0,0.0,-8.0
0.02,0.0,0.0,R8,Z,8.816500925019459e-07,6867.697340557753,1.5430093490057476e-08,0.00010646245129491397,5.125,-0.125,5.125,0.0
0.02,0.0,0.0,R12,C,0.0006850460718118196,17565.79789342099,3.911899354771891e-05,0.005980632079563001,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,R12,H,0.0006815194399779816,17565.79789342099,3.9074666148472876e-05,0.005977977998554707,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,R12,M,0.0,17565.79789342099,0.0,0.0,0.0,-12.0,0.0,-12.0
0.02,0.0,0.0,R12,Z,8.816556564248726e-07,17565.79789342099,1.5430093490057476e-08,0.00010646245129491397,5.125,-0.125,5.125,0.0
0.02,0.0,0.0,full,C,0.0006854074260927119,47760.672142924894,3.911899354771891e-05,0.005980632079563001,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,full,H,0.0006818807942574769,47760.672142924894,3.9074666148472876e-05,0.005977977998554707,5.25,-0.125,5.25,0.0
0.02,0.0,0.0,full,M,0.0,47760.672142924894,0.0,0.0,0.0,-16.0,0.0,-16.0
0.02,0.0,0.0,full,Z,8.816556564248726e-07,47760.672142924894,1.5430093490057476e-08,0.00010646245129491397,5.125,-0.125,5.125,0.0
0.02,0.25239728765678654,0.1554455752226037,R4,C,6.13094218969404e-07,1139.9617688340666,1.1661382699370629e-08,0.00031641507293530196,4.0,0.0,4.0,0.0
0.02,0.25239728765678654,0.1554455752226037,R4,H,1.2259602898958752e-07,1139.9617688340666,8.983398733317897e-09,0.00027260431670583785,4.0,0.0,4.0,0.0
0.02,0.25239728765678654,0.1554455752226037,R4,M,1.3645905589797864e-08,1139.9617688340666,4.860157844678178e-10,3.9782098638540843e-05,3.875,-0.0625,4.0,0.0
0.02,0.25239728765678654,0.1554455752226037,R4,Z,1.1724023330983234e-07,1139.9617688340666,2.4597350316421537e-09,7.786290057457274e-05,3.9375,-0.125,4.0,0.0
0.02,0.25239728765678654,0.1554455752226037,R8,C,0.00046403690114233596,6871.950940468328,1.4986811969269657e-06,0.0037118828631635807,5.46875,-0.0625,5.46875,-0.0625
0.02,0.25239728765678654,0.1554455752226037,R8,H,0.0003434724546921962,6871.950940468328,1.3546145686459728e-06,0.00354052078910172,5.34375,-0.21875,5.40625,0.0
