diss,C_t6p5,C_t9p2,first_transaction_time,first_accepted_refinement_time,first_late_refinement_after_t6p5,requested_refine_total,created_leaf_total,max_leaf_count,max_ref_level,terminal_time,terminal_axisTau,terminal_C,terminal_H,terminal_M,terminal_Z,minimum_chi,minimum_metric_pivot,max_axisKret_log10_deviation_from_diss0p02,peak_hbm_used_mib,segment_exit_statuses,status
0.02,0.0032850020249102435,,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,6.5,3.986939311468817,0.0032850020249102435,0.00035072198130721725,0.0004291440909235062,0.0005054432201775184,0.3213600814342499,0.19738458469774756,0.0,5815.0,0,REACHED_T6P5
0.05,0.0026934456375568737,,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,6.5,3.986930160418594,0.0026934456375568737,0.00030424160288897265,0.000385755998834149,0.0003962741223053714,0.32136017084121704,0.19738458469774756,0.02797918090830942,5815.0,0,REACHED_T6P5
0.10,0.002223800874203182,,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,6.5,3.9869159641820273,0.002223800874203182,0.0002617731421869723,0.00033563494223272985,0.0003164460804857285,0.3213602900505066,0.19738458469774756,0.055553653237121026,5815.0,0,REACHED_T6P5
0.20,0.0018501978194133397,,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,6.5,3.986890356854062,0.0018501978194133397,0.00022375797379743932,0.00027327832984404857,0.00026297363024505813,0.32136043906211853,0.19738458469774756,0.08607198618247436,36577.0,0,REACHED_T6P5
0.50,0.0015175926401299622,,0.010823312937405826,0.010823312937405826,,4,18,50,2.0,6.5,3.986826892199771,0.0015175926401299622,0.00019108459541168383,0.00018711659677235164,0.00022916424543835604,0.3213607966899872,0.19738458469774756,0.11038862581870035,5815.0,0,REACHED_T6P5
