job	queue	node	pbs_exit	walltime	result
8775444	debug	x4217c7s0b0n0	0	00:12:04	PVC estimator evolved-cycle restart gate PASS
8775474	capacity	x4301c1s7b0n0	143	02:15:54	fine T5 fail-closed near t=1.63M
8775631	capacity	x4217c0s5b0n0	0	01:01:15	harness completed; medium and coarse T5 both recorded FAIL
