resolution	meshblocks	cells_per_meshblock	last_logged_cycle	wall_seconds	active_zone_cycles_per_second_lower_bound
coarse	34	32^3	300	706.65	472983
medium	34	48^3	460	2929.05	590519
fine	34	64^3	610	8136.59	668200
