time	resolution	dx	finite	bad_state	gh_l2	reduction_l2	all_H_l2	all_M_l2	lt1_H_l2	lt1_M_l2	r2to4_H_l2	if2_H_l2	delta_q	delta_p	e_G	e_alpha	feedback	G_condition	relative_lapse_min	physical_lapse_min	char_max	effective_cfl
0.5	coarse	0.0625	True	0.0	0.0001811010202829927	6.651773258701489e-06	1.219963744352933	0.0014768993669412387	1.7718491020559792	0.0021444976063904582	1.0397528740974593e-06	1.7912462952198567e-06	0.0	0.0	0.01020467619556044	0.01541812995535662	0.0	1.008899542337707	1.000000465815273	0.00954121150084435	0.8271489386420998	0.05000151610979188
0.5	medium	0.041666666666666664	True	0.0	4.665446459261436e-05	1.734288104978266e-06	1.0389044751950243	0.0005659381343593983	1.2397768097023023	0.00067440846952843	2.2137379764959988e-07	4.0079974106627377e-07	0.0	0.0	0.01039509550740702	0.01570639718270712	0.0	1.008914111576108	1.000000052418724	0.004530774807243232	0.8276849143713888	0.05000100252721468
0.5	fine	0.03125	True	0.0	1.7578685932381028e-05	1.0115355035855989e-06	0.806715579312959	0.00023884706650813232	0.8848338464265821	0.0002607165486797154	8.207259820616711e-08	1.578425136137157e-07	0.0	0.0	0.01011261962442069	0.01527748638663167	0.0	1.008833548174066	1.000000014366452	0.002636548528340881	0.8279501231198413	0.05000074213382527
1.0	coarse	0.0625	True	0.0	0.0047714058216000756	0.0003183223968577796	1.220227739567249	0.011699725558515115	1.772136007594543	0.016988395325226703	2.5237387126115424e-06	5.987856468243982e-06	0.0	0.0	0.07637767430234244	0.1226707341332335	0.0	1.059751284152049	0.999433009610902	0.009542709955328679	0.8277124583360094	0.05000437766537068
1.0	medium	0.041666666666666664	True	0.0	0.0012940287991154292	0.0001025371317533065	1.0387379840487077	0.0033076567297067485	1.2395950340024064	0.003941957197598992	9.85538538298469e-07	2.4407052199601095e-06	0.0	0.0	0.07437722342035322	0.1194574437841167	0.0	1.059975615939354	0.9999039851301993	0.00453076978214589	0.8282399337848861	0.05000287530676571
1.0	fine	0.03125	True	0.0	0.00044018200459905476	3.279787866858461e-05	0.8066811793150896	0.001527343445941139	0.8847946862599345	0.0016691212556958898	5.550647324788223e-07	1.3754421045340348e-06	0.0	0.0	0.07410299101769795	0.1189815733367002	0.0	1.0603501766981	1.000000144206349	0.002636548870670065	0.8285067325948674	0.05000214806972481
1.5	coarse	0.0625	True	0.0	0.16528308330872257	0.01700163289863928	1.2257284375077862	0.17183560927778155	1.7803711170391434	0.24960817568335836	7.628159250577409e-06	2.0688086243739688e-05	0.0	0.0	-0.1697740781928239	-0.4823864629878521	0.0	1.220386549388336	0.9901135804987188	0.00953283142013425	0.8288464067705196	0.05000674586971582
1.5	medium	0.041666666666666664	True	0.0	0.07414685400863182	0.005072129316603388	1.0401017349183794	0.06371896432450998	1.2408177643802178	0.07603554434037553	3.5309622878276404e-06	9.31989582363288e-06	0.0	0.0	-0.1704441174310407	-0.4880843908452079	0.0	1.225135554124891	0.9938539675700614	0.004533516626176489	0.8293586945503982	0.05000443497315447
1.5	fine	0.03125	True	0.0	0.03899580889626674	0.001862003224746873	0.8071049437862244	0.023703341421638126	0.8845555632387603	0.0259977282935927	2.1275855799059187e-06	5.555054709904608e-06	0.0	0.0	-0.1653665558149222	-0.471906388095532	0.0	1.226963662475832	0.9979636858683372	0.002636509809963191	0.8296195863323667	0.05000330761469203
1.6	coarse	0.0625	True	0.0	0.7343659112257436	0.03917646336639567	1.2392170019981616	0.32566352281756267	1.8007506934403654	0.4732896458294546	9.444152265434017e-06	2.4841258144875564e-05	0.0	0.0	-0.2805952163062866	-1.120019633064009	0.0	1.274892016236799	0.9796972765333835	0.00947474374036021	0.8291171961445303	0.0500070358391707
1.6	medium	0.041666666666666664	True	0.0	0.4199512488887486	0.016722689259837258	1.0492532628234423	0.12464649803817125	1.2513816834813591	0.14873086766572333	4.873279969852034e-06	1.1475815466612933e-05	0.0	0.0	-0.2845958417680644	-1.162270122516207	0.0	1.280983740825699	0.9776734068766324	0.004538984904136714	0.8296459900626152	0.05000463953325259
1.6	fine	0.03125	True	0.0	0.2015641179494885	0.007727048261896603	0.8076716852835817	0.05245547032190498	0.8846396368675422	0.057536524405824414	3.0579866362588596e-06	6.887845690668693e-06	0.0	0.0	-0.2774915215533427	-1.131484364971567	0.0	1.281474644127433	0.9967504845910152	0.002636483682349853	0.8298997689869483	0.0500034572798008
