resolution	dx_min	last_history_time	last_logged_cycle_time	last_logged_dt	first_fatal_evidence	run_exit_status
coarse	0.0625	1.600432186115412	1.611025	0.005295167	invalid effective timestep before next cycle-10 diagnostic	143
medium	0.0416666666666667	1.603304556604595	1.642029	0.003518406	controller conditioning invalid at stage_time=1.646229 generation=1841	1
fine	0.03125	1.602108119969874	1.631120	0.002636311	invalid effective timestep before next cycle-10 diagnostic	143
